joint,rms_error_rad,max_abs_error_rad,target_range_rad,pos_range_rad,range_ratio_pos_over_target,vel_abs_p95_rad_s,best_delay_ms,best_delay_corr
left_hip_pitch_joint,0.7169242551994105,1.6027879999999999,2.621703,0.535559,0.2042790506781279,1.65403,139.9959588312078,0.3363391325192194
left_hip_roll_joint,0.5721717850634498,1.62646,1.7,0.24313970000000001,0.1430233529411765,0.788659,99.99711345086273,0.19705339440421574
left_hip_yaw_joint,0.4160618943796663,1.395813,2.56514,0.517343,0.2016821693942631,1.53129,59.99826807051763,0.4721769769203569
left_knee_pitch_joint,0.400681649035114,0.942166,1.10587,0.9856018000000001,0.8912456256160309,2.61761,139.9959588312078,0.33580362913271555
left_ankle_pitch_joint,0.1641725884264853,0.8151930000000001,0.76,0.62107,0.8171973684210526,1.7024,59.99826807051763,0.3489442502641221
left_ankle_roll_joint,0.2274448184265024,0.6950944,1.1805219999999998,0.662345,0.5610611238079426,3.16395,59.99826807051763,0.4738146757965681
right_hip_pitch_joint,0.6221572428788082,1.522457,2.865344,0.962013,0.33574083949431555,2.43349,139.9959588312078,0.01903909671521287
right_hip_roll_joint,0.39735585300517756,1.618022,1.7,0.279381,0.16434176470588235,0.782521,79.99769076069018,0.25291740911623495
right_hip_yaw_joint,0.3054073927595132,1.221881,1.839422,0.522904,0.28427625634574344,1.7952,79.99769076069018,0.268180889754876
right_knee_pitch_joint,0.5910215805826126,1.39412,1.67221,1.4112814,0.8439618229767792,4.70434,149.99567017629408,0.14559977494586487
right_ankle_pitch_joint,0.3104202419719401,0.838813,0.76,0.879467,1.1571934210526316,2.18646,-129.99624748612155,-0.31330348278027925
right_ankle_roll_joint,0.321930682059945,0.7281405,1.28,0.566182,0.44232968749999996,3.72431,59.99826807051763,0.23774319066525484
