joint,rms_error_rad,max_abs_error_rad,target_range_rad,pos_range_rad,range_ratio_pos_over_target,vel_abs_p95_rad_s,best_delay_ms,best_delay_corr
left_hip_pitch_joint,0.2715623804114329,0.803183,1.087201,0.373167,0.3432364392600816,2.27392,129.99164777144284,0.9462336672328306
left_hip_roll_joint,0.5515363656637461,1.4998209,1.648,0.237144,0.14389805825242719,1.05187,189.98779289672416,0.8474150243417106
left_hip_yaw_joint,0.18835688450745214,0.557502,0.973313,0.3512807,0.36091236837481877,1.83455,59.996145125281316,0.661291807589955
left_knee_pitch_joint,0.2319128939955156,0.565657,1.06176,0.3869790000000001,0.3644693716094033,2.17644,79.99486016704175,0.9441620392274668
left_ankle_pitch_joint,0.3504622080305469,0.78152,0.76,0.27607000000000004,0.3632500000000001,2.68401,-139.99100529232308,0.6664899800337268
left_ankle_roll_joint,0.16899015216261395,0.6023724,1.047232,0.322045,0.3075202056468863,1.61885,39.997430083520875,0.7749016487673391
right_hip_pitch_joint,0.24155038380772104,0.725849,1.1363159999999999,0.33660900000000005,0.2962283378919245,1.4108,149.9903628132033,0.8107055674876174
right_hip_roll_joint,0.5043169377312937,1.4839185,1.6757199999999999,0.19523510000000002,0.11650818752536225,0.718426,199.9871504176044,0.8161659264381295
right_hip_yaw_joint,0.20381983829802,0.5800304000000001,0.8742909999999999,0.487476,0.557567217322379,1.21214,-199.9871504176044,0.4415495184216521
right_knee_pitch_joint,0.2589038401831336,0.5992770000000001,1.0226165,0.431135,0.4215998861743381,2.73564,69.99550264616154,0.920478441247202
right_ankle_pitch_joint,0.2840657257837047,0.784346,0.76,0.29712700000000003,0.39095657894736846,2.25827,-219.98586545936482,0.3111098587631878
right_ankle_roll_joint,0.2790696623553327,0.5756425,0.746945,0.4016845,0.537769849185683,2.82174,89.99421768792197,0.9411909742150827
