timestamp_ns,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint
1775801474342631809,0.00920582,0.00306892,0.00920582,0.00920582,-4.15792e-07,-0.0031414,0.00306892,0.00920582,0.00920582,-0.00920582,0.00191602,-0.00628301
1775801474343067767,0.00306892,0.00306892,-0.00306892,0.00306892,-1.24725e-06,-0.00942324,-0.00306892,0.00306892,-0.00306892,-0.00306892,-0.0019155,6.68658e-07
1775801474343808864,0.00306892,0.00306892,-0.00306892,0.00306892,-1.24725e-06,-0.00942324,-0.00306892,0.00306892,-0.00306892,-0.00306892,-0.0019155,6.68658e-07
1775801474344756487,0.00306892,0.00920582,0.00920582,0.00306892,-4.15792e-07,-0.0031414,0.00306892,0.00306892,-0.00920582,-0.00306892,0.00191602,-0.00628301
1775801474345724976,0.00306892,0.00920582,0.0153437,0.00306892,-0.00191602,-0.006283,0.00306892,0.00306892,0.00306892,-0.00306892,-0.0019155,6.6953e-07
1775801474346772259,0.00306892,0.00306892,-0.00306892,0.00306892,-4.15792e-07,-0.0031414,0.00920582,0.00920582,0.00306892,-0.00306892,1.22463e-06,-0.00942327
1775801474347716701,-0.00306892,0.00306892,0.00306892,0.00306892,0.00191549,6.81887e-07,0.00306892,0.00306892,0.00920582,-0.00306892,4.08253e-07,-0.00314142
1775801474348718660,0.00306892,0.00306892,-0.0153437,0.00306892,-4.15792e-07,-0.0031414,0.00306892,0.00306892,0.00920582,-0.00306892,0.0019155,-6.6953e-07
1775801474349786909,0.00306892,-0.00306892,0.0153437,0.00306892,-0.00191602,-0.006283,0.00306892,0.00306892,-0.00306892,-0.00306892,4.08253e-07,-0.00314142
1775801474350797937,0.00306892,0.00306892,0.00920582,0.00306892,-1.24725e-06,-0.00942324,0.00306892,0.00306892,0.00306892,-0.00306892,-0.00191438,-0.00628167
1775801474351812214,0.00306892,0.00920582,0.00306892,0.00306892,0.00191436,-0.00628164,0.00306892,0.00306892,-0.00920582,-0.00306892,-0.00191438,-0.00628167
