ankle_kp,ankle_kd,dataset,window,side,axis,role,n,p25_ms,p50_ms,p75_ms,p90_ms
25.0,0.4,real,swing,left,pitch,—,5,30.0,30.0,50.0,68.0
25.0,0.4,real,swing,left,roll,—,6,67.5,125.0,167.5,190.0
25.0,0.4,real,swing,right,pitch,—,5,50.0,120.0,200.0,200.0
25.0,0.4,real,swing,right,roll,—,5,10.0,50.0,50.0,140.0
25.0,0.4,real,touchdown,left,pitch,—,2,32.5,35.0,37.5,39.0
25.0,0.4,real,touchdown,left,roll,—,1,40.0,40.0,40.0,40.0
25.0,0.4,real,touchdown,right,pitch,—,1,40.0,40.0,40.0,40.0
25.0,0.4,real,touchdown,right,roll,—,3,20.0,40.0,40.0,40.0
25.0,0.4,sim,swing,left,pitch,—,4,105.0,125.0,147.5,179.0
25.0,0.4,sim,swing,left,roll,—,4,27.5,35.0,80.0,152.0
25.0,0.4,sim,swing,right,pitch,—,4,20.0,45.0,90.0,126.0
25.0,0.4,sim,swing,right,roll,—,6,15.0,70.0,110.0,155.0
25.0,0.4,sim,touchdown,left,pitch,—,2,32.5,35.0,37.5,39.0
25.0,0.4,sim,touchdown,left,roll,—,4,17.5,25.0,35.0,44.0
25.0,0.4,sim,touchdown,right,pitch,—,6,20.0,25.0,30.0,35.0
25.0,0.4,sim,touchdown,right,roll,—,5,20.0,30.0,40.0,40.0
30.0,0.4,real,swing,left,pitch,—,4,7.5,30.0,50.0,50.0
30.0,0.4,real,swing,left,roll,—,6,25.0,45.0,80.0,95.0
30.0,0.4,real,swing,right,pitch,—,6,45.0,100.0,162.5,190.0
30.0,0.4,real,swing,right,roll,—,4,62.5,80.0,110.0,164.0
30.0,0.4,real,touchdown,left,pitch,—,2,2.5,5.0,7.5,9.0
30.0,0.4,real,touchdown,left,roll,—,3,0.0,0.0,10.0,16.0
30.0,0.4,real,touchdown,right,pitch,—,2,10.0,20.0,30.0,36.0
30.0,0.4,real,touchdown,right,roll,—,4,22.5,35.0,40.0,40.0
35.0,0.5,real,swing,left,pitch,—,3,25.0,50.0,50.0,50.0
35.0,0.5,real,swing,left,roll,—,5,10.0,20.0,80.0,116.0
35.0,0.5,real,swing,right,pitch,—,3,105.0,110.0,130.0,142.0
35.0,0.5,real,swing,right,roll,—,3,100.0,110.0,150.0,174.0
35.0,0.5,real,touchdown,left,pitch,—,2,17.5,25.0,32.5,37.0
35.0,0.5,real,touchdown,left,roll,—,3,10.0,20.0,30.0,36.0
