ankle_kp,ankle_kd,dataset,window,side,axis,n,target_freq_p50_hz,joint_freq_p50_hz,joint_freq_p75_hz,ratio_p50
25.0,0.4,real,swing,left,pitch,3,3.125,3.03,3.078,0.97
25.0,0.4,real,swing,left,roll,3,3.03,3.03,3.078,1.0
25.0,0.4,real,swing,right,pitch,3,3.03,3.03,3.03,1.0
25.0,0.4,real,swing,right,roll,3,3.03,3.03,3.03,1.0
25.0,0.4,real,touchdown,left,pitch,3,6.667,6.667,6.905,1.0
25.0,0.4,real,touchdown,left,roll,3,6.667,6.667,6.905,1.0
25.0,0.4,real,touchdown,right,pitch,3,6.667,6.667,6.667,1.0
25.0,0.4,real,touchdown,right,roll,3,6.667,6.667,6.667,1.0
25.0,0.4,sim,swing,left,pitch,4,3.078,3.03,3.054,0.98
25.0,0.4,sim,swing,left,roll,4,3.03,3.03,3.054,1.0
25.0,0.4,sim,swing,right,pitch,2,2.941,2.941,2.941,1.0
25.0,0.4,sim,swing,right,roll,2,2.941,2.941,2.941,1.0
25.0,0.4,sim,touchdown,left,pitch,2,6.667,10.0,11.667,1.5
25.0,0.4,sim,touchdown,left,roll,2,6.667,10.0,11.667,1.5
25.0,0.4,sim,touchdown,right,pitch,4,6.25,6.25,6.354,1.0
25.0,0.4,sim,touchdown,right,roll,4,6.25,6.25,6.354,1.0
30.0,0.4,real,swing,left,pitch,3,3.125,3.03,3.078,0.97
30.0,0.4,real,swing,left,roll,3,3.125,3.03,3.078,0.97
30.0,0.4,real,swing,right,pitch,3,3.125,3.125,3.125,1.0
30.0,0.4,real,swing,right,roll,3,3.125,3.125,4.688,1.0
30.0,0.4,real,touchdown,left,pitch,3,20.001,6.667,6.667,0.33
30.0,0.4,real,touchdown,left,roll,3,26.668,6.667,10.001,0.25
30.0,0.4,real,touchdown,right,pitch,3,6.667,6.667,6.667,1.0
30.0,0.4,real,touchdown,right,roll,3,6.667,6.667,6.667,1.0
35.0,0.5,real,swing,left,pitch,3,3.125,3.125,3.125,1.0
35.0,0.5,real,swing,left,roll,3,3.125,3.125,3.125,1.0
35.0,0.5,real,swing,right,pitch,3,3.03,,,
35.0,0.5,real,swing,right,roll,3,3.03,,,
35.0,0.5,real,touchdown,left,pitch,3,13.333,6.667,6.667,0.5
35.0,0.5,real,touchdown,left,roll,3,12.5,6.667,6.667,0.53
35.0,0.5,real,touchdown,right,pitch,3,6.667,,,
35.0,0.5,real,touchdown,right,roll,3,6.667,,,
35.0,0.5,sim,swing,left,pitch,3,6.25,3.125,3.125,0.5
35.0,0.5,sim,swing,left,roll,3,3.125,3.125,3.125,1.0
35.0,0.5,sim,swing,right,pitch,3,3.031,3.031,3.078,1.0
35.0,0.5,sim,swing,right,roll,3,3.031,3.031,3.078,1.0
35.0,0.5,sim,touchdown,left,pitch,3,7.143,7.143,7.143,1.0
35.0,0.5,sim,touchdown,left,roll,3,7.143,7.143,7.143,1.0
35.0,0.5,sim,touchdown,right,pitch,3,6.667,6.667,6.905,1.0
35.0,0.5,sim,touchdown,right,roll,3,6.667,6.667,6.905,1.0
40.0,0.5,sim,swing,left,pitch,3,3.03,3.03,3.03,1.0
40.0,0.5,sim,swing,left,roll,3,3.03,6.061,6.061,2.0
40.0,0.5,sim,swing,right,pitch,3,3.03,3.03,3.03,1.0
40.0,0.5,sim,swing,right,roll,3,3.03,3.03,3.03,1.0
40.0,0.5,sim,touchdown,left,pitch,3,6.667,6.667,6.667,1.0
40.0,0.5,sim,touchdown,left,roll,3,6.667,6.667,6.667,1.0
40.0,0.5,sim,touchdown,right,pitch,3,6.667,6.667,6.667,1.0
40.0,0.5,sim,touchdown,right,roll,3,6.667,6.667,6.667,1.0
40.0,0.8,real,swing,left,pitch,3,3.031,3.031,3.031,1.0
40.0,0.8,real,swing,left,roll,3,3.031,5.883,5.972,1.94
40.0,0.8,real,swing,right,pitch,3,3.125,3.031,3.078,0.97
40.0,0.8,real,swing,right,roll,3,3.125,6.061,6.156,1.94
40.0,0.8,real,touchdown,left,pitch,3,6.667,6.667,6.667,1.0
40.0,0.8,real,touchdown,left,roll,3,6.667,6.667,6.667,1.0
40.0,0.8,real,touchdown,right,pitch,3,6.667,6.667,6.667,1.0
40.0,0.8,real,touchdown,right,roll,3,6.667,6.667,6.667,1.0
50.0,0.8,sim,swing,left,pitch,3,5.883,3.031,3.031,0.52
50.0,0.8,sim,swing,left,roll,3,3.031,5.883,5.972,1.94
50.0,0.8,sim,swing,right,pitch,3,3.031,3.031,3.078,1.0
50.0,0.8,sim,swing,right,roll,3,3.031,3.031,3.078,1.0
50.0,0.8,sim,touchdown,left,pitch,3,6.667,6.667,6.667,1.0
50.0,0.8,sim,touchdown,left,roll,3,6.667,6.667,6.667,1.0
50.0,0.8,sim,touchdown,right,pitch,3,7.144,7.144,7.144,1.0
50.0,0.8,sim,touchdown,right,roll,3,7.144,7.144,7.144,1.0
