window,axis,role,delay_pct,tau_ms,j_eff,omega_max_rads,kp_max_stable,kp_opt_80pct,kd_opt_zeta07,kp_cand,kd_cand,omega_n_rads,zeta_current,omega_d_rads,freq_d_hz,stability_margin_rads,is_stable,kd_min_for_stability
swing,pitch,—,p50,65.0,0.110318,24.167,64.43,41.23,2.986,25,0.4,15.054,0.12,14.944,2.378,9.113,True,0.0
swing,pitch,—,p50,65.0,0.110318,24.167,64.43,41.23,2.986,30,0.4,16.491,0.11,16.391,2.609,7.676,True,0.0
swing,pitch,—,p50,65.0,0.110318,24.167,64.43,41.23,2.986,35,0.5,17.812,0.127,17.667,2.812,6.355,True,0.0
swing,pitch,—,p50,65.0,0.110318,24.167,64.43,41.23,2.986,40,0.5,19.042,0.119,18.906,3.009,5.125,True,0.0
swing,pitch,—,p50,65.0,0.110318,24.167,64.43,41.23,2.986,40,0.8,19.042,0.19,18.693,2.975,5.125,True,0.0
swing,pitch,—,p50,65.0,0.110318,24.167,64.43,41.23,2.986,50,0.8,21.289,0.17,20.978,3.339,2.878,True,0.0
swing,pitch,—,p75,122.5,0.110318,12.824,18.14,11.61,1.5844,25,0.4,15.054,0.12,14.944,2.378,-2.23,False,0.4653
swing,pitch,—,p75,122.5,0.110318,12.824,18.14,11.61,1.5844,30,0.4,16.491,0.11,16.391,2.609,-3.667,False,0.8769
swing,pitch,—,p75,122.5,0.110318,12.824,18.14,11.61,1.5844,35,0.5,17.812,0.127,17.667,2.812,-4.988,False,1.3764
swing,pitch,—,p75,122.5,0.110318,12.824,18.14,11.61,1.5844,40,0.5,19.042,0.119,18.906,3.009,-6.218,False,2.0033
swing,pitch,—,p75,122.5,0.110318,12.824,18.14,11.61,1.5844,40,0.8,19.042,0.19,18.693,2.975,-6.218,False,2.0033
swing,pitch,—,p75,122.5,0.110318,12.824,18.14,11.61,1.5844,50,0.8,21.289,0.17,20.978,3.339,-8.466,False,3.9736
swing,pitch,—,p90,179.0,0.110318,8.776,8.5,5.44,1.0843,25,0.4,15.054,0.12,14.944,2.378,-6.278,False,3.4633
swing,pitch,—,p90,179.0,0.110318,8.776,8.5,5.44,1.0843,30,0.4,16.491,0.11,16.391,2.609,-7.715,False,9.4615
swing,pitch,—,p90,179.0,0.110318,8.776,8.5,5.44,1.0843,35,0.5,17.812,0.127,17.667,2.812,-9.036,False,
swing,pitch,—,p90,179.0,0.110318,8.776,8.5,5.44,1.0843,40,0.5,19.042,0.119,18.906,3.009,-10.266,False,
swing,pitch,—,p90,179.0,0.110318,8.776,8.5,5.44,1.0843,40,0.8,19.042,0.19,18.693,2.975,-10.266,False,
swing,pitch,—,p90,179.0,0.110318,8.776,8.5,5.44,1.0843,50,0.8,21.289,0.17,20.978,3.339,-12.513,False,
swing,roll,—,p50,60.0,0.080218,26.182,54.99,35.19,2.3523,25,0.4,17.654,0.141,17.477,2.782,8.529,True,0.0
swing,roll,—,p50,60.0,0.080218,26.182,54.99,35.19,2.3523,30,0.4,19.339,0.129,19.177,3.052,6.844,True,0.0
swing,roll,—,p50,60.0,0.080218,26.182,54.99,35.19,2.3523,35,0.5,20.888,0.149,20.654,3.287,5.294,True,0.0
swing,roll,—,p50,60.0,0.080218,26.182,54.99,35.19,2.3523,40,0.5,22.33,0.14,22.112,3.519,3.852,True,0.0
swing,roll,—,p50,60.0,0.080218,26.182,54.99,35.19,2.3523,40,0.8,22.33,0.223,21.766,3.464,3.852,True,0.0
swing,roll,—,p50,60.0,0.080218,26.182,54.99,35.19,2.3523,50,0.8,24.966,0.2,24.463,3.893,1.216,True,0.0
swing,roll,—,p75,120.0,0.080218,13.091,13.75,8.8,1.1761,25,0.4,17.654,0.141,17.477,2.782,-4.563,False,0.8634
swing,roll,—,p75,120.0,0.080218,13.091,13.75,8.8,1.1761,30,0.4,19.339,0.129,19.177,3.052,-6.248,False,1.4444
swing,roll,—,p75,120.0,0.080218,13.091,13.75,8.8,1.1761,35,0.5,20.888,0.149,20.654,3.287,-7.797,False,2.2735
swing,roll,—,p75,120.0,0.080218,13.091,13.75,8.8,1.1761,40,0.5,22.33,0.14,22.112,3.519,-9.24,False,3.5966
swing,roll,—,p75,120.0,0.080218,13.091,13.75,8.8,1.1761,40,0.8,22.33,0.223,21.766,3.464,-9.24,False,3.5966
swing,roll,—,p75,120.0,0.080218,13.091,13.75,8.8,1.1761,50,0.8,24.966,0.2,24.463,3.893,-11.875,False,13.637
swing,roll,—,p90,190.0,0.080218,8.267,5.48,3.51,0.7428,25,0.4,17.654,0.141,17.477,2.782,-9.386,False,
swing,roll,—,p90,190.0,0.080218,8.267,5.48,3.51,0.7428,30,0.4,19.339,0.129,19.177,3.052,-11.071,False,
swing,roll,—,p90,190.0,0.080218,8.267,5.48,3.51,0.7428,35,0.5,20.888,0.149,20.654,3.287,-12.621,False,
swing,roll,—,p90,190.0,0.080218,8.267,5.48,3.51,0.7428,40,0.5,22.33,0.14,22.112,3.519,-14.063,False,
swing,roll,—,p90,190.0,0.080218,8.267,5.48,3.51,0.7428,40,0.8,22.33,0.223,21.766,3.464,-14.063,False,
swing,roll,—,p90,190.0,0.080218,8.267,5.48,3.51,0.7428,50,0.8,24.966,0.2,24.463,3.893,-16.699,False,
touchdown,pitch,—,p50,35.0,0.022793,44.883,45.92,29.39,1.1458,25,0.4,33.118,0.265,31.935,5.083,11.765,True,0.0
touchdown,pitch,—,p50,35.0,0.022793,44.883,45.92,29.39,1.1458,30,0.4,36.279,0.242,35.202,5.603,8.604,True,0.0
touchdown,pitch,—,p50,35.0,0.022793,44.883,45.92,29.39,1.1458,35,0.5,39.186,0.28,37.62,5.987,5.697,True,0.0
touchdown,pitch,—,p50,35.0,0.022793,44.883,45.92,29.39,1.1458,40,0.5,41.892,0.262,40.43,6.435,2.991,True,0.0
touchdown,pitch,—,p50,35.0,0.022793,44.883,45.92,29.39,1.1458,40,0.8,41.892,0.419,38.039,6.054,2.991,True,0.0
touchdown,pitch,—,p50,35.0,0.022793,44.883,45.92,29.39,1.1458,50,0.8,46.836,0.375,43.424,6.911,-1.953,False,0.0731
touchdown,pitch,—,p75,40.0,0.022793,39.273,35.15,22.5,1.0026,25,0.4,33.118,0.265,31.935,5.083,6.154,True,0.0
touchdown,pitch,—,p75,40.0,0.022793,39.273,35.15,22.5,1.0026,30,0.4,36.279,0.242,35.202,5.603,2.993,True,0.0
touchdown,pitch,—,p75,40.0,0.022793,39.273,35.15,22.5,1.0026,35,0.5,39.186,0.28,37.62,5.987,0.086,True,0.0
touchdown,pitch,—,p75,40.0,0.022793,39.273,35.15,22.5,1.0026,40,0.5,41.892,0.262,40.43,6.435,-2.619,False,0.1004
touchdown,pitch,—,p75,40.0,0.022793,39.273,35.15,22.5,1.0026,40,0.8,41.892,0.419,38.039,6.054,-2.619,False,0.1004
touchdown,pitch,—,p75,40.0,0.022793,39.273,35.15,22.5,1.0026,50,0.8,46.836,0.375,43.424,6.911,-7.564,False,0.3332
touchdown,pitch,—,p90,40.0,0.022793,39.272,35.15,22.5,1.0025,25,0.4,33.118,0.265,31.935,5.083,6.153,True,0.0
touchdown,pitch,—,p90,40.0,0.022793,39.272,35.15,22.5,1.0025,30,0.4,36.279,0.242,35.202,5.603,2.992,True,0.0
touchdown,pitch,—,p90,40.0,0.022793,39.272,35.15,22.5,1.0025,35,0.5,39.186,0.28,37.62,5.987,0.086,True,0.0
touchdown,pitch,—,p90,40.0,0.022793,39.272,35.15,22.5,1.0025,40,0.5,41.892,0.262,40.43,6.435,-2.62,False,0.1004
touchdown,pitch,—,p90,40.0,0.022793,39.272,35.15,22.5,1.0025,40,0.8,41.892,0.419,38.039,6.054,-2.62,False,0.1004
touchdown,pitch,—,p90,40.0,0.022793,39.272,35.15,22.5,1.0025,50,0.8,46.836,0.375,43.424,6.911,-7.565,False,0.3332
touchdown,roll,—,p50,30.0,0.022793,52.365,62.5,40.0,1.3368,25,0.4,33.118,0.265,31.935,5.083,19.247,True,0.0
touchdown,roll,—,p50,30.0,0.022793,52.365,62.5,40.0,1.3368,30,0.4,36.279,0.242,35.202,5.603,16.086,True,0.0
touchdown,roll,—,p50,30.0,0.022793,52.365,62.5,40.0,1.3368,35,0.5,39.186,0.28,37.62,5.987,13.179,True,0.0
touchdown,roll,—,p50,30.0,0.022793,52.365,62.5,40.0,1.3368,40,0.5,41.892,0.262,40.43,6.435,10.473,True,0.0
touchdown,roll,—,p50,30.0,0.022793,52.365,62.5,40.0,1.3368,40,0.8,41.892,0.419,38.039,6.054,10.473,True,0.0
touchdown,roll,—,p50,30.0,0.022793,52.365,62.5,40.0,1.3368,50,0.8,46.836,0.375,43.424,6.911,5.528,True,0.0
touchdown,roll,—,p75,40.0,0.022793,39.272,35.15,22.5,1.0025,25,0.4,33.118,0.265,31.935,5.083,6.154,True,0.0
touchdown,roll,—,p75,40.0,0.022793,39.272,35.15,22.5,1.0025,30,0.4,36.279,0.242,35.202,5.603,2.993,True,0.0
touchdown,roll,—,p75,40.0,0.022793,39.272,35.15,22.5,1.0025,35,0.5,39.186,0.28,37.62,5.987,0.086,True,0.0
touchdown,roll,—,p75,40.0,0.022793,39.272,35.15,22.5,1.0025,40,0.5,41.892,0.262,40.43,6.435,-2.62,False,0.1004
touchdown,roll,—,p75,40.0,0.022793,39.272,35.15,22.5,1.0025,40,0.8,41.892,0.419,38.039,6.054,-2.62,False,0.1004
touchdown,roll,—,p75,40.0,0.022793,39.272,35.15,22.5,1.0025,50,0.8,46.836,0.375,43.424,6.911,-7.564,False,0.3332
touchdown,roll,—,p90,40.0,0.022793,39.27,35.15,22.5,1.0025,25,0.4,33.118,0.265,31.935,5.083,6.152,True,0.0
touchdown,roll,—,p90,40.0,0.022793,39.27,35.15,22.5,1.0025,30,0.4,36.279,0.242,35.202,5.603,2.991,True,0.0
touchdown,roll,—,p90,40.0,0.022793,39.27,35.15,22.5,1.0025,35,0.5,39.186,0.28,37.62,5.987,0.084,True,0.0
touchdown,roll,—,p90,40.0,0.022793,39.27,35.15,22.5,1.0025,40,0.5,41.892,0.262,40.43,6.435,-2.622,False,0.1005
touchdown,roll,—,p90,40.0,0.022793,39.27,35.15,22.5,1.0025,40,0.8,41.892,0.419,38.039,6.054,-2.622,False,0.1005
touchdown,roll,—,p90,40.0,0.022793,39.27,35.15,22.5,1.0025,50,0.8,46.836,0.375,43.424,6.911,-7.566,False,0.3333
stance,pitch,stance_leg,p50,95.0,0.110318,16.536,30.17,19.31,2.0432,25,0.4,15.054,0.12,14.944,2.378,1.483,True,0.0
stance,pitch,stance_leg,p50,95.0,0.110318,16.536,30.17,19.31,2.0432,30,0.4,16.491,0.11,16.391,2.609,0.046,True,0.0
stance,pitch,stance_leg,p50,95.0,0.110318,16.536,30.17,19.31,2.0432,35,0.5,17.812,0.127,17.667,2.812,-1.275,False,0.2392
stance,pitch,stance_leg,p50,95.0,0.110318,16.536,30.17,19.31,2.0432,40,0.5,19.042,0.119,18.906,3.009,-2.505,False,0.5096
stance,pitch,stance_leg,p50,95.0,0.110318,16.536,30.17,19.31,2.0432,40,0.8,19.042,0.19,18.693,2.975,-2.505,False,0.5096
stance,pitch,stance_leg,p50,95.0,0.110318,16.536,30.17,19.31,2.0432,50,0.8,21.289,0.17,20.978,3.339,-4.753,False,1.1388
stance,pitch,stance_leg,p75,170.0,0.110318,9.24,9.42,6.03,1.1417,25,0.4,15.054,0.12,14.944,2.378,-5.814,False,2.5213
stance,pitch,stance_leg,p75,170.0,0.110318,9.24,9.42,6.03,1.1417,30,0.4,16.491,0.11,16.391,2.609,-7.251,False,5.1727
stance,pitch,stance_leg,p75,170.0,0.110318,9.24,9.42,6.03,1.1417,35,0.5,17.812,0.127,17.667,2.812,-8.572,False,17.2281
stance,pitch,stance_leg,p75,170.0,0.110318,9.24,9.42,6.03,1.1417,40,0.5,19.042,0.119,18.906,3.009,-9.802,False,
stance,pitch,stance_leg,p75,170.0,0.110318,9.24,9.42,6.03,1.1417,40,0.8,19.042,0.19,18.693,2.975,-9.802,False,
stance,pitch,stance_leg,p75,170.0,0.110318,9.24,9.42,6.03,1.1417,50,0.8,21.289,0.17,20.978,3.339,-12.049,False,
stance,pitch,stance_leg,p90,197.0,0.110318,7.975,7.02,4.49,0.9854,25,0.4,15.054,0.12,14.944,2.378,-7.079,False,9.3071
stance,pitch,stance_leg,p90,197.0,0.110318,7.975,7.02,4.49,0.9854,30,0.4,16.491,0.11,16.391,2.609,-8.515,False,
stance,pitch,stance_leg,p90,197.0,0.110318,7.975,7.02,4.49,0.9854,35,0.5,17.812,0.127,17.667,2.812,-9.837,False,
stance,pitch,stance_leg,p90,197.0,0.110318,7.975,7.02,4.49,0.9854,40,0.5,19.042,0.119,18.906,3.009,-11.067,False,
stance,pitch,stance_leg,p90,197.0,0.110318,7.975,7.02,4.49,0.9854,40,0.8,19.042,0.19,18.693,2.975,-11.067,False,
stance,pitch,stance_leg,p90,197.0,0.110318,7.975,7.02,4.49,0.9854,50,0.8,21.289,0.17,20.978,3.339,-13.314,False,
stance,pitch,swing_leg,p50,150.0,0.110318,10.475,12.1,7.75,1.2942,25,0.4,15.054,0.12,14.944,2.378,-4.579,False,1.3614
stance,pitch,swing_leg,p50,150.0,0.110318,10.475,12.1,7.75,1.2942,30,0.4,16.491,0.11,16.391,2.609,-6.016,False,2.3026
stance,pitch,swing_leg,p50,150.0,0.110318,10.475,12.1,7.75,1.2942,35,0.5,17.812,0.127,17.667,2.812,-7.337,False,3.8634
stance,pitch,swing_leg,p50,150.0,0.110318,10.475,12.1,7.75,1.2942,40,0.5,19.042,0.119,18.906,3.009,-8.567,False,7.1411
