window,axis,delay_pct,tau_ms,omega_max_rads,kp_max_no_kd,kp_opt_80pct,kp_candidate,omega_n_rads,kd_min,kd_for_zeta_target,kd_recommended,zeta_with_kd_rec,stability_margin_rads,is_stable_with_kd_rec
swing,pitch,p50,70.0,22.443,51.02,32.66,32.655786392565496,17.954,0.0,2.5464,2.5464,0.7,4.489,True
swing,pitch,p50,70.0,22.443,51.02,32.66,51.024666238383574,22.443,0.0,3.183,3.183,0.7,0.0,True
swing,pitch,p50,70.0,22.443,51.02,32.66,25.0,15.709,0.0,2.228,2.228,0.7,6.733,True
swing,pitch,p50,70.0,22.443,51.02,32.66,30.0,17.209,0.0,2.4406,2.4406,0.7,5.234,True
swing,pitch,p50,70.0,22.443,51.02,32.66,35.0,18.587,0.0,2.6362,2.6362,0.7,3.855,True
swing,pitch,p50,70.0,22.443,51.02,32.66,40.0,19.871,0.0,2.8182,2.8182,0.7,2.572,True
swing,pitch,p50,70.0,22.443,51.02,32.66,50.0,22.216,0.0,3.1509,3.1509,0.7,0.226,True
swing,pitch,p75,120.0,13.091,17.36,11.11,11.110713726300586,10.473,0.0,1.4853,1.4853,0.7,2.618,True
swing,pitch,p75,120.0,13.091,17.36,11.11,17.360490197344664,13.091,0.0,1.8566,1.8566,0.7,0.0,True
swing,pitch,p75,120.0,13.091,17.36,11.11,25.0,15.709,0.5171,2.228,2.228,0.7,-2.618,True
swing,pitch,p75,120.0,13.091,17.36,11.11,30.0,17.209,0.9391,2.4406,2.4406,0.7,-4.118,True
swing,pitch,p75,120.0,13.091,17.36,11.11,35.0,18.587,1.4601,2.6362,2.6362,0.7,-5.497,True
swing,pitch,p75,120.0,13.091,17.36,11.11,40.0,19.871,2.1297,2.8182,2.8182,0.7,-6.78,True
swing,pitch,p75,120.0,13.091,17.36,11.11,50.0,22.216,4.3676,3.1509,4.3676,0.97,-9.125,False
swing,pitch,p90,160.0,9.818,9.77,6.25,6.250223540948216,7.855,0.0,1.114,1.114,0.7,1.964,True
swing,pitch,p90,160.0,9.818,9.77,6.25,9.765974282731586,9.818,0.0,1.3925,1.3925,0.7,0.0,True
swing,pitch,p90,160.0,9.818,9.77,6.25,25.0,15.709,2.1902,2.228,2.228,0.7,-5.891,True
swing,pitch,p90,160.0,9.818,9.77,6.25,30.0,17.209,4.2594,2.4406,4.2594,1.222,-7.39,False
swing,pitch,p90,160.0,9.818,9.77,6.25,35.0,18.587,11.1094,2.6362,11.1094,2.95,-8.769,False
swing,pitch,p90,160.0,9.818,9.77,6.25,40.0,19.871,,2.8182,2.8182,0.7,-10.052,False
swing,pitch,p90,160.0,9.818,9.77,6.25,50.0,22.216,,3.1509,3.1509,0.7,-12.398,False
swing,roll,p50,50.0,31.418,100.0,64.0,64.00000000000003,25.135,0.0,3.5648,3.5648,0.7,6.284,True
swing,roll,p50,50.0,31.418,100.0,64.0,100.00000000000003,31.418,0.0,4.456,4.456,0.7,0.0,True
swing,roll,p50,50.0,31.418,100.0,64.0,25.0,15.709,0.0,2.228,2.228,0.7,15.709,True
swing,roll,p50,50.0,31.418,100.0,64.0,30.0,17.209,0.0,2.4406,2.4406,0.7,14.21,True
swing,roll,p50,50.0,31.418,100.0,64.0,35.0,18.587,0.0,2.6362,2.6362,0.7,12.831,True
swing,roll,p50,50.0,31.418,100.0,64.0,40.0,19.871,0.0,2.8182,2.8182,0.7,11.548,True
swing,roll,p50,50.0,31.418,100.0,64.0,50.0,22.216,0.0,3.1509,3.1509,0.7,9.202,True
swing,roll,p75,100.0,15.709,25.0,16.0,16.000000000000004,12.567,0.0,1.7824,1.7824,0.7,3.142,True
swing,roll,p75,100.0,15.709,25.0,16.0,25.0,15.709,0.0,2.228,2.228,0.7,0.0,True
swing,roll,p75,100.0,15.709,25.0,16.0,25.0,15.709,0.0,2.228,2.228,0.7,0.0,True
swing,roll,p75,100.0,15.709,25.0,16.0,30.0,17.209,0.2633,2.4406,2.4406,0.7,-1.499,True
swing,roll,p75,100.0,15.709,25.0,16.0,35.0,18.587,0.5574,2.6362,2.6362,0.7,-2.878,True
swing,roll,p75,100.0,15.709,25.0,16.0,40.0,19.871,0.8896,2.8182,2.8182,0.7,-4.162,True
swing,roll,p75,100.0,15.709,25.0,16.0,50.0,22.216,1.7132,3.1509,3.1509,0.7,-6.507,True
swing,roll,p90,150.0,10.473,11.11,7.11,7.110732452506198,8.378,0.0,1.1882,1.1882,0.7,2.095,True
swing,roll,p90,150.0,10.473,11.11,7.11,11.110519457040933,10.473,0.0,1.4853,1.4853,0.7,0.0,True
swing,roll,p90,150.0,10.473,11.11,7.11,25.0,15.709,1.5916,2.228,2.228,0.7,-5.237,True
swing,roll,p90,150.0,10.473,11.11,7.11,30.0,17.209,2.7779,2.4406,2.7779,0.797,-6.736,False
swing,roll,p90,150.0,10.473,11.11,7.11,35.0,18.587,5.1009,2.6362,5.1009,1.354,-8.115,False
swing,roll,p90,150.0,10.473,11.11,7.11,40.0,19.871,12.3842,2.8182,12.3842,3.076,-9.398,False
swing,roll,p90,150.0,10.473,11.11,7.11,50.0,22.216,,3.1509,3.1509,0.7,-11.744,False
touchdown,pitch,p50,20.0,78.544,624.96,399.98,399.97615733773375,62.835,0.0,8.9117,8.9117,0.7,15.709,True
touchdown,pitch,p50,20.0,78.544,624.96,399.98,624.9627458402089,78.544,0.0,11.1396,11.1396,0.7,0.0,True
touchdown,pitch,p50,20.0,78.544,624.96,399.98,25.0,15.709,0.0,2.228,2.228,0.7,62.834,True
touchdown,pitch,p50,20.0,78.544,624.96,399.98,30.0,17.209,0.0,2.4406,2.4406,0.7,61.335,True
touchdown,pitch,p50,20.0,78.544,624.96,399.98,35.0,18.587,0.0,2.6362,2.6362,0.7,59.956,True
touchdown,pitch,p50,20.0,78.544,624.96,399.98,40.0,19.871,0.0,2.8182,2.8182,0.7,58.673,True
touchdown,pitch,p50,20.0,78.544,624.96,399.98,50.0,22.216,0.0,3.1509,3.1509,0.7,56.327,True
