kp_case,ankle_kp,ankle_kd,window,axis,delay_pct,tau_ms,omega_max_rads,omega_n_rads,zeta,omega_d_rads,freq_n_hz,freq_d_hz,stability_margin_rads,is_stable
kp25_kd0.4,25.0,0.4,swing,pitch,p50,70.0,22.443,15.709,0.126,15.585,2.5,2.48,6.733,True
kp25_kd0.4,25.0,0.4,swing,pitch,p75,120.0,13.091,15.709,0.126,15.585,2.5,2.48,-2.618,False
kp25_kd0.4,25.0,0.4,swing,pitch,p90,160.0,9.818,15.709,0.126,15.585,2.5,2.48,-5.891,False
kp25_kd0.4,25.0,0.4,swing,roll,p50,50.0,31.418,15.709,0.126,15.585,2.5,2.48,15.709,True
kp25_kd0.4,25.0,0.4,swing,roll,p75,100.0,15.709,15.709,0.126,15.585,2.5,2.48,0.0,False
kp25_kd0.4,25.0,0.4,swing,roll,p90,150.0,10.473,15.709,0.126,15.585,2.5,2.48,-5.237,False
kp25_kd0.4,25.0,0.4,touchdown,pitch,p50,20.0,78.544,15.709,0.126,15.585,2.5,2.48,62.834,True
kp25_kd0.4,25.0,0.4,touchdown,pitch,p75,30.0,52.36,15.709,0.126,15.585,2.5,2.48,36.651,True
kp25_kd0.4,25.0,0.4,touchdown,pitch,p90,40.0,39.272,15.709,0.126,15.585,2.5,2.48,23.563,True
kp25_kd0.4,25.0,0.4,touchdown,roll,p50,30.0,52.364,15.709,0.126,15.585,2.5,2.48,36.654,True
kp25_kd0.4,25.0,0.4,touchdown,roll,p75,40.0,39.273,15.709,0.126,15.585,2.5,2.48,23.564,True
kp25_kd0.4,25.0,0.4,touchdown,roll,p90,40.0,39.271,15.709,0.126,15.585,2.5,2.48,23.562,True
kp30_kd0.4,30.0,0.4,swing,pitch,p50,70.0,22.443,17.209,0.115,17.095,2.739,2.721,5.234,True
kp30_kd0.4,30.0,0.4,swing,pitch,p75,120.0,13.091,17.209,0.115,17.095,2.739,2.721,-4.118,False
kp30_kd0.4,30.0,0.4,swing,pitch,p90,160.0,9.818,17.209,0.115,17.095,2.739,2.721,-7.39,False
kp30_kd0.4,30.0,0.4,swing,roll,p50,50.0,31.418,17.209,0.115,17.095,2.739,2.721,14.21,True
kp30_kd0.4,30.0,0.4,swing,roll,p75,100.0,15.709,17.209,0.115,17.095,2.739,2.721,-1.499,False
kp30_kd0.4,30.0,0.4,swing,roll,p90,150.0,10.473,17.209,0.115,17.095,2.739,2.721,-6.736,False
kp30_kd0.4,30.0,0.4,touchdown,pitch,p50,20.0,78.544,17.209,0.115,17.095,2.739,2.721,61.335,True
kp30_kd0.4,30.0,0.4,touchdown,pitch,p75,30.0,52.36,17.209,0.115,17.095,2.739,2.721,35.151,True
kp30_kd0.4,30.0,0.4,touchdown,pitch,p90,40.0,39.272,17.209,0.115,17.095,2.739,2.721,22.063,True
kp30_kd0.4,30.0,0.4,touchdown,roll,p50,30.0,52.364,17.209,0.115,17.095,2.739,2.721,35.155,True
kp30_kd0.4,30.0,0.4,touchdown,roll,p75,40.0,39.273,17.209,0.115,17.095,2.739,2.721,22.064,True
kp30_kd0.4,30.0,0.4,touchdown,roll,p90,40.0,39.271,17.209,0.115,17.095,2.739,2.721,22.062,True
kp35_kd0.5,35.0,0.5,swing,pitch,p50,70.0,22.443,18.587,0.133,18.423,2.958,2.932,3.855,True
kp35_kd0.5,35.0,0.5,swing,pitch,p75,120.0,13.091,18.587,0.133,18.423,2.958,2.932,-5.497,False
kp35_kd0.5,35.0,0.5,swing,pitch,p90,160.0,9.818,18.587,0.133,18.423,2.958,2.932,-8.769,False
kp35_kd0.5,35.0,0.5,swing,roll,p50,50.0,31.418,18.587,0.133,18.423,2.958,2.932,12.831,True
kp35_kd0.5,35.0,0.5,swing,roll,p75,100.0,15.709,18.587,0.133,18.423,2.958,2.932,-2.878,False
kp35_kd0.5,35.0,0.5,swing,roll,p90,150.0,10.473,18.587,0.133,18.423,2.958,2.932,-8.115,False
kp35_kd0.5,35.0,0.5,touchdown,pitch,p50,20.0,78.544,18.587,0.133,18.423,2.958,2.932,59.956,True
kp35_kd0.5,35.0,0.5,touchdown,pitch,p75,30.0,52.36,18.587,0.133,18.423,2.958,2.932,33.773,True
kp35_kd0.5,35.0,0.5,touchdown,pitch,p90,40.0,39.272,18.587,0.133,18.423,2.958,2.932,20.684,True
kp35_kd0.5,35.0,0.5,touchdown,roll,p50,30.0,52.364,18.587,0.133,18.423,2.958,2.932,33.776,True
kp35_kd0.5,35.0,0.5,touchdown,roll,p75,40.0,39.273,18.587,0.133,18.423,2.958,2.932,20.685,True
kp35_kd0.5,35.0,0.5,touchdown,roll,p90,40.0,39.271,18.587,0.133,18.423,2.958,2.932,20.684,True
kp40_kd0.8,40.0,0.8,swing,pitch,p50,70.0,22.443,19.871,0.199,19.474,3.163,3.099,2.572,True
kp40_kd0.8,40.0,0.8,swing,pitch,p75,120.0,13.091,19.871,0.199,19.474,3.163,3.099,-6.78,False
kp40_kd0.8,40.0,0.8,swing,pitch,p90,160.0,9.818,19.871,0.199,19.474,3.163,3.099,-10.052,False
kp40_kd0.8,40.0,0.8,swing,roll,p50,50.0,31.418,19.871,0.199,19.474,3.163,3.099,11.548,True
kp40_kd0.8,40.0,0.8,swing,roll,p75,100.0,15.709,19.871,0.199,19.474,3.163,3.099,-4.162,False
kp40_kd0.8,40.0,0.8,swing,roll,p90,150.0,10.473,19.871,0.199,19.474,3.163,3.099,-9.398,False
kp40_kd0.8,40.0,0.8,touchdown,pitch,p50,20.0,78.544,19.871,0.199,19.474,3.163,3.099,58.673,True
kp40_kd0.8,40.0,0.8,touchdown,pitch,p75,30.0,52.36,19.871,0.199,19.474,3.163,3.099,32.489,True
kp40_kd0.8,40.0,0.8,touchdown,pitch,p90,40.0,39.272,19.871,0.199,19.474,3.163,3.099,19.401,True
kp40_kd0.8,40.0,0.8,touchdown,roll,p50,30.0,52.364,19.871,0.199,19.474,3.163,3.099,32.493,True
kp40_kd0.8,40.0,0.8,touchdown,roll,p75,40.0,39.273,19.871,0.199,19.474,3.163,3.099,19.402,True
kp40_kd0.8,40.0,0.8,touchdown,roll,p90,40.0,39.271,19.871,0.199,19.474,3.163,3.099,19.4,True
kp40_kd0.5,40.0,0.5,swing,pitch,p50,70.0,22.443,19.871,0.124,19.717,3.163,3.138,2.572,True
kp40_kd0.5,40.0,0.5,swing,pitch,p75,120.0,13.091,19.871,0.124,19.717,3.163,3.138,-6.78,False
kp40_kd0.5,40.0,0.5,swing,pitch,p90,160.0,9.818,19.871,0.124,19.717,3.163,3.138,-10.052,False
kp40_kd0.5,40.0,0.5,swing,roll,p50,50.0,31.418,19.871,0.124,19.717,3.163,3.138,11.548,True
kp40_kd0.5,40.0,0.5,swing,roll,p75,100.0,15.709,19.871,0.124,19.717,3.163,3.138,-4.162,False
kp40_kd0.5,40.0,0.5,swing,roll,p90,150.0,10.473,19.871,0.124,19.717,3.163,3.138,-9.398,False
kp40_kd0.5,40.0,0.5,touchdown,pitch,p50,20.0,78.544,19.871,0.124,19.717,3.163,3.138,58.673,True
kp40_kd0.5,40.0,0.5,touchdown,pitch,p75,30.0,52.36,19.871,0.124,19.717,3.163,3.138,32.489,True
kp40_kd0.5,40.0,0.5,touchdown,pitch,p90,40.0,39.272,19.871,0.124,19.717,3.163,3.138,19.401,True
kp40_kd0.5,40.0,0.5,touchdown,roll,p50,30.0,52.364,19.871,0.124,19.717,3.163,3.138,32.493,True
