source,kpkd,kp,kd,side,axis,e_rms_rad,e_rms_swing,e_rms_stance,fn_th_hz,fn_frf_hz,fn_err_hz,fn_stance_hz,jeff_hat,zeta_th,G_fn,zeta_frf,coh_at_fn,zeta_ld,G_fn_sw,zeta_frf_sw,coh_fn_sw,fn_frf_sw,tau_th_ms,tau_frf_ms,delay_ms,xcorr_peak,Mr_th,PM_th_deg,PM_frf_deg,PM_frf_sw_deg,A_peak,DeltaLR,n_td,n_lo,n_swing_segs,n_zeta_ld_ok
real,25/0.4,25,0.4,left,ankle_pitch,0.32392,0.32892,0.30235,2.562,4.0,2.75,3.333,0.03957,0.1288,0.1181,4.2344,0.231,,,,,3.125,482.5,14.7,70.0,0.06,3.916,12.88,423.44,,1.551,1.011,23,22,1,0
real,25/0.4,25,0.4,left,ankle_roll,0.28308,0.29281,0.23861,2.562,3.25,2.75,3.333,0.05995,0.1288,0.132,3.7891,0.252,,,,,3.125,482.5,16.4,40.0,0.257,3.916,12.88,378.91,,1.87,0.908,23,22,1,0
real,25/0.4,25,0.4,right,ankle_pitch,0.32031,0.30984,0.3265,2.562,3.75,2.75,3.333,0.04503,0.1288,0.1696,2.9486,0.144,,,,,3.125,482.5,21.1,110.0,-0.048,3.916,12.88,294.86,,1.745,1.011,21,21,2,0
real,25/0.4,25,0.4,right,ankle_roll,0.31188,0.23066,0.35216,2.562,3.75,2.75,3.974,0.04503,0.1288,0.1571,3.1832,0.065,,,,,,482.5,19.5,40.0,0.176,3.916,12.88,318.32,,1.958,0.908,21,21,2,0
real,30/0.4,30,0.4,left,ankle_pitch,0.4063,0.27428,0.43246,2.806,,3.0,3.334,,0.1175,0.3737,1.3381,0.058,,3.9277,0.1273,1.0,3.125,482.5,42.4,30.0,0.067,4.283,11.75,133.81,12.73,1.462,1.797,19,21,1,0
real,30/0.4,30,0.4,left,ankle_roll,0.48884,0.23722,0.53252,2.806,,4.25,4.0,,0.1175,0.8195,0.6101,0.53,,2.9032,0.1722,1.0,3.125,482.5,93.0,10.0,0.279,4.283,11.75,61.01,17.22,1.685,2.002,19,21,1,0
real,30/0.4,30,0.4,right,ankle_pitch,0.22609,0.2166,0.33216,2.806,,2.75,3.334,,0.1175,0.3597,1.3901,0.061,,2.7747,0.1802,0.24,3.125,482.5,40.8,150.0,0.062,4.283,11.75,139.01,18.02,1.543,1.797,19,20,1,0
real,30/0.4,30,0.4,right,ankle_roll,0.24412,0.24648,0.20803,2.806,3.75,2.75,3.974,0.05403,0.1175,0.062,8.0613,0.018,,3.3554,0.149,0.551,3.125,482.5,7.0,70.0,0.197,4.283,11.75,806.13,14.9,1.649,2.002,19,20,1,0
real,35/0.5,35,0.5,left,ankle_pitch,0.58713,0.59532,0.31175,3.031,3.5,4.25,3.333,0.07237,0.136,0.2187,2.2866,0.177,,,,,,386.0,23.0,-20.0,0.209,3.71,13.6,228.66,,1.302,1.723,9,9,0,0
real,35/0.5,35,0.5,left,ankle_roll,0.15942,0.15591,0.23176,3.031,4.25,2.75,3.333,0.04908,0.136,0.4441,1.1259,0.382,,,,,,386.0,46.6,50.0,0.433,3.71,13.6,112.59,,1.906,0.488,9,9,0,0
