source,kpkd,kp,kd,file,side,axis,reference,reference_valid_ratio,duration_s,fs_hz,n_td,e_rms_rad,e_rms_swing_rad,e_rms_stance_rad,fn_full_err_hz,fn_full_prominence,fn_swing_hz,fn_swing_prominence,fn_swing_resolution_hz,n_swing_freq_windows,fn_stance_hz,fn_stance_prominence,fn_stance_resolution_hz,n_stance_freq_windows,jeff_hat,transfer_gain,transfer_phase_deg,transfer_coherence,transfer_gain_delay_aligned,transfer_phase_delay_aligned_deg,transfer_coherence_delay_aligned,delay_ms_median,delay_ms_iqr,delay_lag_samples,e_rms_delay_aligned_rad,delay_corr_median,n_delay_valid,n_delay_total,zeta_hat,zeta_r2,tau_hat_ms,Mr_hat_zeta,PM_hat_deg,n_zeta_events,n_zeta_total,A_peak,n_A_peak,fn_theory_hz,zeta_theory,tau_theory_ms,Mr_theory,PM_theory_deg,quality_flags,DeltaLR_eRMS
real,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,left,ankle_pitch,raw,1.0,14.17911,100.00384,23,0.32392,0.32892,0.30235,2.75011,19.26758,2.5642,1.15549,0.15061,3.0,3.29683,4.4928,1.07531,23.0,0.09631,0.05503,-108.4041,0.04061,0.05121,-146.38503,0.03419,109.99578,194.99251,11.0,0.3256,0.79445,23.0,23.0,,,,,,0.0,23.0,1.9214,23.0,2.56169,0.12876,482.5,3.91565,14.67259,low_coherence;low_zeta_r2;few_zeta_events,1.01129
real,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,left,ankle_pitch,lpf,0.0,14.17911,100.00384,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56169,0.12876,482.5,3.91565,14.67259,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,left,ankle_roll,raw,1.0,14.17911,100.00384,23,0.28308,0.29281,0.23861,2.75011,15.36928,2.5642,1.27358,0.15061,3.0,3.29683,6.0122,1.07531,23.0,0.09631,0.07202,2.69121,0.17731,0.07066,-21.38862,0.17531,29.99885,289.98886,3.0,0.28111,0.9084,23.0,23.0,0.44947,0.28908,95.9445,1.2453,47.58484,1.0,23.0,1.91114,23.0,2.56169,0.12876,482.5,3.91565,14.67259,low_coherence;low_zeta_r2;few_zeta_events,0.90767
real,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,left,ankle_roll,lpf,0.0,14.17911,100.00384,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56169,0.12876,482.5,3.91565,14.67259,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,right,ankle_pitch,raw,1.0,14.17911,100.00384,21,0.32031,0.30984,0.3265,2.75011,11.94108,4.34799,1.0,3.33346,5.0,3.29683,6.54025,1.087,21.0,0.0335,0.11258,-113.14163,0.09068,0.10398,123.75721,0.09225,79.99693,149.99424,8.0,0.31878,0.77477,21.0,21.0,0.0824,0.41682,583.87991,6.08876,9.4207,3.0,21.0,1.55029,21.0,2.56169,0.12876,482.5,3.91565,14.67259,low_coherence,1.01129
real,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,right,ankle_pitch,lpf,0.0,14.17911,100.00384,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56169,0.12876,482.5,3.91565,14.67259,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,right,ankle_roll,raw,1.0,14.17911,100.00384,21,0.31188,0.23066,0.35216,2.75011,13.52765,4.34799,1.0,3.33346,5.0,4.39577,6.74605,1.087,21.0,0.0335,0.19114,179.37022,0.0444,0.18827,64.20621,0.04198,69.99731,349.98656,7.0,0.31155,0.83833,21.0,21.0,0.10811,0.47902,332.93061,4.65206,12.34007,3.0,21.0,1.79853,21.0,2.56169,0.12876,482.5,3.91565,14.67259,low_coherence,0.90767
real,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,right,ankle_roll,lpf,0.0,14.17911,100.00384,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56169,0.12876,482.5,3.91565,14.67259,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,30/0.4,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,left,ankle_pitch,raw,1.0,24.13919,100.00512,19,0.4063,0.27428,0.43246,3.00015,13.64123,3.44845,1.25033,3.22597,3.0,3.26104,6.67352,1.07532,19.0,0.0639,0.89955,130.28984,0.38461,0.89955,130.28984,0.38461,0.0,389.98003,0.0,0.4063,0.797,17.0,17.0,0.19068,0.59623,251.25845,2.67123,21.57706,5.0,19.0,2.25833,19.0,2.80619,0.11755,482.5,4.28337,13.40692,ok,1.79707
real,30/0.4,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,left,ankle_pitch,lpf,0.0,24.13919,100.00512,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80619,0.11755,482.5,4.28337,13.40692,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,30/0.4,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,left,ankle_roll,raw,1.0,24.13919,100.00512,19,0.48884,0.23722,0.53252,4.25022,6.4559,3.44845,1.18304,3.22597,3.0,3.26104,6.9675,1.07532,19.0,0.0639,0.76671,152.58979,0.26314,0.76883,177.84162,0.26024,-19.99898,184.99053,-2.0,0.49022,0.88255,19.0,19.0,0.49286,0.28829,86.16124,1.16593,51.24868,1.0,19.0,1.447,19.0,2.80619,0.11755,482.5,4.28337,13.40692,low_coherence;low_zeta_r2;few_zeta_events,2.00245
real,30/0.4,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,left,ankle_roll,lpf,0.0,24.13919,100.00512,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80619,0.11755,482.5,4.28337,13.40692,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,30/0.4,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,right,ankle_pitch,raw,1.0,24.13919,100.00512,19,0.22609,0.2166,0.33216,2.75014,5.41488,2.63171,1.09894,0.05791,9.0,3.26104,5.21132,1.07532,19.0,0.10972,0.13789,124.95708,0.0328,0.13789,124.95708,0.0328,0.0,259.98669,0.0,0.22609,0.7091,17.0,18.0,0.12394,0.43898,390.72961,4.06542,14.12925,1.0,19.0,1.88861,19.0,2.80619,0.11755,482.5,4.28337,13.40692,low_coherence;few_zeta_events,1.79707
real,30/0.4,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,right,ankle_pitch,lpf,0.0,24.13919,100.00512,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80619,0.11755,482.5,4.28337,13.40692,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,30/0.4,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,right,ankle_roll,raw,1.0,24.13919,100.00512,19,0.24412,0.24648,0.20803,2.75014,5.33122,5.26343,1.04707,0.05791,9.0,4.34805,5.2228,1.07532,19.0,0.02743,0.6887,167.94817,0.11514,0.6887,167.94817,0.11514,0.0,137.49296,0.0,0.24412,0.74145,18.0,19.0,0.09615,0.37475,378.93713,5.2245,10.98356,3.0,19.0,1.75487,19.0,2.80619,0.11755,482.5,4.28337,13.40692,low_coherence,2.00245
real,30/0.4,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,right,ankle_roll,lpf,0.0,24.13919,100.00512,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80619,0.11755,482.5,4.28337,13.40692,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,left,ankle_pitch,raw,1.0,22.04926,100.00128,9,0.58713,0.59532,0.31175,4.25005,77.14326,4.27757,1994.3177,0.05217,1.0,3.26091,5.20821,1.07528,9.0,0.04845,0.00145,126.82139,0.01129,0.00138,-56.57788,0.00905,99.99872,222.49715,10.0,0.58852,0.83321,8.0,8.0,0.11148,0.49281,442.39589,4.51327,12.72109,2.0,9.0,1.41298,9.0,3.03103,0.13603,386.0,3.71008,15.49045,low_coherence;few_zeta_events,1.72272
real,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,left,ankle_pitch,lpf,0.0,22.04926,100.00128,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03103,0.13603,386.0,3.71008,15.49045,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,left,ankle_roll,raw,1.0,22.04926,100.00128,9,0.15942,0.15591,0.23176,2.75004,5.8839,2.8691,2646.13699,0.05217,1.0,3.26091,6.71593,1.07528,9.0,0.1077,0.14501,55.79792,0.19533,0.15708,149.26591,0.20945,-99.99872,219.99718,-10.0,0.17547,0.94727,9.0,9.0,0.18552,0.71069,266.25053,2.74273,21.00797,2.0,9.0,1.51196,9.0,3.03103,0.13603,386.0,3.71008,15.49045,low_coherence;few_zeta_events,0.48798
real,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,left,ankle_roll,lpf,0.0,22.04926,100.00128,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03103,0.13603,386.0,3.71008,15.49045,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,right,ankle_pitch,raw,1.0,22.04926,100.00128,9,0.34082,0.3004,0.34374,2.75004,17.17012,,,,0.0,3.29675,6.46576,1.08697,9.0,,0.00148,41.77565,0.00672,0.0016,-44.4111,0.00754,99.99872,349.99552,10.0,0.34119,1.128,5.0,5.0,0.0935,0.39576,516.68315,5.37104,10.68302,2.0,9.0,1.19188,9.0,3.03103,0.13603,386.0,3.71008,15.49045,low_coherence;few_zeta_events,1.72272
real,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,right,ankle_pitch,lpf,0.0,22.04926,100.00128,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03103,0.13603,386.0,3.71008,15.49045,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,right,ankle_roll,raw,1.0,22.04926,100.00128,9,0.32669,0.20019,0.33446,4.25005,40.40072,,,,0.0,3.29675,5.08612,1.08697,9.0,,0.00234,153.80593,0.00665,0.00234,-177.30637,0.00666,-19.99974,129.99834,-2.0,0.32698,0.81052,5.0,5.0,0.10527,0.55544,456.06068,4.77636,12.01772,1.0,9.0,1.63661,9.0,3.03103,0.13603,386.0,3.71008,15.49045,low_coherence;few_zeta_events,0.48798
real,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,right,ankle_roll,lpf,0.0,22.04926,100.00128,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03103,0.13603,386.0,3.71008,15.49045,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,40/0.8,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,left,ankle_pitch,raw,1.0,9.2892,100.00896,10,0.19894,0.18307,0.29535,3.00027,3.66956,4.28121,54.95214,0.17125,1.0,3.26116,4.54464,1.07537,10.0,0.05528,0.0963,134.84293,0.28514,0.09001,57.37717,0.23699,49.99552,134.9879,5.0,0.19586,0.68483,10.0,10.0,0.12703,0.49124,381.07632,3.96825,14.47705,1.0,10.0,1.48491,10.0,3.24031,0.20359,241.25,2.5084,22.99647,low_coherence;few_zeta_events,0.4589
real,40/0.8,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,left,ankle_pitch,lpf,0.0,9.2892,100.00896,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24031,0.20359,241.25,2.5084,22.99647,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,40/0.8,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,left,ankle_roll,raw,1.0,9.2892,100.00896,10,0.23239,0.23287,0.22858,2.75025,5.22867,2.91122,65.74794,0.17125,1.0,5.43527,5.5438,1.07537,10.0,0.11955,0.07013,32.70527,0.11167,0.06749,1.44452,0.1113,29.99731,154.98611,3.0,0.22723,0.90639,10.0,10.0,0.12623,0.29611,474.8809,3.99284,14.38744,2.0,10.0,2.02863,10.0,3.24031,0.20359,241.25,2.5084,22.99647,low_coherence;low_zeta_r2;few_zeta_events,1.1857
real,40/0.8,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,left,ankle_roll,lpf,0.0,9.2892,100.00896,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24031,0.20359,241.25,2.5084,22.99647,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,40/0.8,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,right,ankle_pitch,raw,1.0,9.2892,100.00896,11,0.43352,0.24908,0.47986,2.2502,5.24413,4.16704,1.0,4.16704,1.0,3.297,6.81818,1.07537,11.0,0.05835,0.4749,-177.59961,0.11562,0.46287,109.25653,0.09429,49.99552,229.97939,5.0,0.43314,0.75738,11.0,11.0,0.17804,0.75706,266.79557,2.85389,20.18087,2.0,11.0,1.48131,11.0,3.24031,0.20359,241.25,2.5084,22.99647,low_coherence;few_zeta_events,0.4589
real,40/0.8,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,right,ankle_pitch,lpf,0.0,9.2892,100.00896,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24031,0.20359,241.25,2.5084,22.99647,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
real,40/0.8,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,right,ankle_roll,raw,1.0,9.2892,100.00896,11,0.19599,0.28217,0.15671,5.25047,3.18507,4.16704,1.0,4.16704,1.0,5.495,7.08494,1.07537,11.0,0.05835,0.53973,76.49454,0.2263,0.53754,-154.40151,0.22675,-89.99194,154.98611,-9.0,0.19559,0.82804,11.0,11.0,0.07479,0.32361,631.43641,6.70431,8.55406,2.0,11.0,1.95412,11.0,3.24031,0.20359,241.25,2.5084,22.99647,low_coherence;low_zeta_r2;few_zeta_events,1.1857
real,40/0.8,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,right,ankle_roll,lpf,0.0,9.2892,100.00896,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24031,0.20359,241.25,2.5084,22.99647,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,ankle_pitch,raw,1.0,14.86528,100.00128,42,0.28807,0.31129,0.25838,2.75004,28.60356,3.22585,1.17774,3.22585,1.0,3.26091,6.42571,1.07528,41.0,0.06085,0.14843,164.50169,0.88771,0.14517,-118.84677,0.86287,-74.99904,259.99667,-7.0,0.26162,0.60106,42.0,42.0,0.16834,0.40224,285.7874,3.01313,19.10399,3.0,42.0,2.40646,41.0,2.56169,0.12876,482.5,3.91565,14.67259,ok,1.1657
sim,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,ankle_pitch,lpf,0.0,14.86528,100.00128,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56169,0.12876,482.5,3.91565,14.67259,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,ankle_roll,raw,1.0,14.86528,100.00128,42,0.26034,0.28968,0.22128,2.75004,57.52887,3.22585,1.35355,3.22585,1.0,3.26091,4.62479,1.07528,41.0,0.06085,0.46058,103.24977,0.93645,0.43268,59.2594,0.92548,44.99942,199.99744,4.0,0.25491,0.82241,42.0,42.0,0.06885,0.26828,707.19854,7.27937,7.87718,11.0,42.0,1.32243,41.0,2.56169,0.12876,482.5,3.91565,14.67259,low_zeta_r2,1.43048
sim,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,ankle_roll,lpf,0.0,14.86528,100.00128,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56169,0.12876,482.5,3.91565,14.67259,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,ankle_pitch,raw,0.99933,14.86528,100.00128,41,0.24712,0.28745,0.19424,2.75004,17.7166,,,,0.0,3.26091,3.83316,1.07528,41.0,,0.17644,50.32461,0.97077,0.17653,29.57752,0.97105,19.99974,199.99744,2.0,0.25229,0.75717,41.0,41.0,0.52634,0.28087,78.84432,1.11723,53.90225,10.0,41.0,2.24789,41.0,2.56169,0.12876,482.5,3.91565,14.67259,low_zeta_r2,1.1657
sim,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,ankle_pitch,lpf,0.0,14.86528,100.00128,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56169,0.12876,482.5,3.91565,14.67259,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,ankle_roll,raw,0.99933,14.86528,100.00128,41,0.182,0.17957,0.18458,4.25005,31.34516,,,,0.0,4.34788,3.00354,1.07528,41.0,,0.07333,54.62487,0.75201,0.07333,54.62487,0.75201,0.0,259.99667,0.0,0.182,0.79737,41.0,41.0,0.09175,0.31788,397.27461,5.47255,10.48429,3.0,41.0,1.29502,41.0,2.56169,0.12876,482.5,3.91565,14.67259,low_zeta_r2,1.43048
sim,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,ankle_roll,lpf,0.0,14.86528,100.00128,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56169,0.12876,482.5,3.91565,14.67259,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,left,ankle_pitch,raw,1.0,15.52579,100.0064,40,0.27347,0.26875,0.28614,2.75018,30.93731,3.22601,1.33371,2.3811,15.0,3.26108,7.65862,1.07534,39.0,0.08519,0.18517,144.83626,0.87483,0.18568,-56.22447,0.77371,-149.9904,259.98336,-15.0,0.2232,0.90152,40.0,40.0,0.17874,0.65167,270.91479,2.84317,20.2578,2.0,40.0,2.33519,39.0,3.03103,0.13603,386.0,3.71008,15.49045,few_zeta_events,1.07233
sim,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,left,ankle_pitch,lpf,0.0,15.52579,100.0064,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03103,0.13603,386.0,3.71008,15.49045,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,left,ankle_roll,raw,1.0,15.52579,100.0064,40,0.19594,0.21733,0.11782,2.75018,81.66497,3.22601,1.15291,2.3811,15.0,3.26108,4.67868,1.07534,39.0,0.08519,0.80049,82.16847,0.978,0.80074,61.1578,0.9777,19.99872,342.47808,2.0,0.18613,0.84404,40.0,40.0,0.12211,0.28813,396.67224,4.12542,13.92274,1.0,40.0,0.48344,39.0,3.03103,0.13603,386.0,3.71008,15.49045,low_zeta_r2;few_zeta_events,1.41107
sim,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,left,ankle_roll,lpf,0.0,15.52579,100.0064,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03103,0.13603,386.0,3.71008,15.49045,empty_reference;low_coherence;low_zeta_r2;few_zeta_events;few_delay_windows;weak_stance_peak,
sim,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,right,ankle_pitch,raw,1.0,15.52579,100.0064,44,0.25503,0.26044,0.24948,2.75018,16.96427,4.16693,1.0,4.16693,1.0,3.26108,2.95415,1.07534,43.0,0.05106,0.36607,-136.627,0.93308,0.36607,-136.627,0.93308,0.0,29.99808,0.0,0.25503,0.78377,44.0,44.0,0.43505,0.26824,101.01598,1.27641,46.31372,8.0,44.0,3.44007,42.0,3.03103,0.13603,386.0,3.71008,15.49045,low_zeta_r2,1.07233
