source,kpkd,kp,kd,axis,reference,reference_valid_ratio,e_rms_rad,e_rms_delay_aligned_rad,e_rms_swing_rad,e_rms_stance_rad,fn_swing_hz,fn_stance_hz,jeff_hat,transfer_gain,transfer_coherence,transfer_gain_delay_aligned,transfer_coherence_delay_aligned,delay_ms_median,delay_ms_iqr,delay_lag_samples,zeta_hat,zeta_r2,tau_hat_ms,A_peak,DeltaLR_eRMS,fn_theory_hz,zeta_theory,tau_theory_ms,PM_theory_deg,n_td,n_delay_valid,n_delay_total,n_zeta_events,n_zeta_total
real,25/0.4,25.0,0.4,ankle_pitch,lpf,0.0,,,,,,,,,,,,,,,,,,,,2.56169,0.12876,482.5,14.67259,44,0.0,0.0,0.0,0.0
real,25/0.4,25.0,0.4,ankle_pitch,raw,1.0,0.32212,0.32219,0.31938,0.31442,3.4561,3.29683,0.0649,0.0838,0.06564,0.0776,0.06322,94.99636,172.49338,9.5,0.0824,0.41682,583.87991,1.73584,1.01129,2.56169,0.12876,482.5,14.67259,44,44.0,44.0,3.0,44.0
real,25/0.4,25.0,0.4,ankle_roll,lpf,0.0,,,,,,,,,,,,,,,,,,,,2.56169,0.12876,482.5,14.67259,44,0.0,0.0,0.0,0.0
real,25/0.4,25.0,0.4,ankle_roll,raw,1.0,0.29748,0.29633,0.26174,0.29538,3.4561,3.8463,0.0649,0.13158,0.11086,0.12946,0.10864,49.99808,319.98771,5.0,0.27879,0.38405,214.43756,1.85484,0.90767,2.56169,0.12876,482.5,14.67259,44,44.0,44.0,4.0,44.0
real,30/0.4,30.0,0.4,ankle_pitch,lpf,0.0,,,,,,,,,,,,,,,,,,,,2.80619,0.11755,482.5,13.40692,38,0.0,0.0,0.0,0.0
real,30/0.4,30.0,0.4,ankle_pitch,raw,1.0,0.3162,0.3162,0.24544,0.38231,3.04008,3.26104,0.08681,0.51872,0.2087,0.51872,0.2087,0.0,324.98336,0.0,0.15731,0.5176,320.99403,2.07347,1.79707,2.80619,0.11755,482.5,13.40692,38,34.0,35.0,6.0,38.0
real,30/0.4,30.0,0.4,ankle_roll,lpf,0.0,,,,,,,,,,,,,,,,,,,,2.80619,0.11755,482.5,13.40692,38,0.0,0.0,0.0,0.0
real,30/0.4,30.0,0.4,ankle_roll,raw,1.0,0.36648,0.36717,0.24185,0.37028,4.35594,3.80454,0.04566,0.7277,0.18914,0.72876,0.18769,-9.99949,161.24174,-1.0,0.2945,0.33152,232.54919,1.60094,2.00245,2.80619,0.11755,482.5,13.40692,38,37.0,38.0,4.0,38.0
real,35/0.5,35.0,0.5,ankle_pitch,lpf,0.0,,,,,,,,,,,,,,,,,,,,3.03103,0.13603,386.0,15.49045,18,0.0,0.0,0.0,0.0
real,35/0.5,35.0,0.5,ankle_pitch,raw,1.0,0.46398,0.46486,0.44786,0.32774,4.27757,3.27883,0.04845,0.00146,0.009,0.00149,0.0083,99.99872,286.24634,10.0,0.10249,0.44429,479.53952,1.30243,1.72272,3.03103,0.13603,386.0,15.49045,18,13.0,13.0,4.0,18.0
