dataset,case_label,ankle_kp,ankle_kd,diag_csv,step_index,stance_side,window,side,role,axis,stance_start_sec,stance_end_sec,duration_sec,sample_count,lag_ms,corr,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,joint_dominant_freq_hz,joint_direction_change_rate_hz,joint_extrema_rate_hz,tracking_err_rms_rad
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,stance,left,stance_leg,pitch,1777514424.8788,1777514425.0889,0.2101,22,190.01,1.0,0.668166,0.251166,1.529866,0.358294,4.5451,4.7616,4.7616,0.047756
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,stance,left,stance_leg,roll,1777514424.8788,1777514425.0889,0.2101,22,120.01,0.7079,0.497427,0.157726,0.731614,0.257863,4.5451,4.7616,4.7616,0.300738
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,stance,right,swing_leg,pitch,1777514424.8788,1777514425.0889,0.2101,22,170.01,0.8097,0.533567,0.329162,1.864729,0.358995,4.5451,9.5231,4.7616,0.15635
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,stance,right,swing_leg,roll,1777514424.8788,1777514425.0889,0.2101,22,190.01,1.0,0.619157,0.206014,1.845845,0.376851,4.5451,14.2847,14.2847,0.106957
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,stance,right,stance_leg,pitch,1777514425.0889,1777514425.4289,0.34,35,90.01,0.6941,0.76,0.135672,1.804017,0.166605,2.8569,5.8819,2.941,0.233186
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,stance,right,stance_leg,roll,1777514425.0889,1777514425.4289,0.34,35,70.0,0.5645,0.651379,0.118576,1.387465,0.226508,2.8569,26.4687,26.4687,0.300009
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,stance,left,swing_leg,pitch,1777514425.0889,1777514425.4289,0.34,35,200.01,0.2419,0.356047,0.424065,1.11052,0.656064,2.8569,5.8819,2.941,0.184921
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,stance,left,swing_leg,roll,1777514425.0889,1777514425.4289,0.34,35,200.01,0.5651,0.557632,0.381341,0.870062,0.729021,2.8569,8.8229,8.8229,0.15737
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,stance,left,stance_leg,pitch,1777514425.4289,1777514425.7888,0.36,37,30.0,0.3214,0.25524,0.312523,0.616178,0.445703,2.7025,19.4431,19.4431,0.341729
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,stance,left,stance_leg,roll,1777514425.4289,1777514425.7888,0.36,37,50.0,0.6961,0.673297,0.477718,1.031972,0.979648,2.7025,11.1103,11.1103,0.337148
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,stance,right,swing_leg,pitch,1777514425.4289,1777514425.7888,0.36,37,0.0,0.0271,0.143998,0.484484,0.373395,0.761127,2.7025,11.1103,11.1103,0.174519
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,3,left,stance,right,swing_leg,roll,1777514425.4289,1777514425.7888,0.36,37,130.01,0.394,0.559855,0.121954,1.182721,0.341001,5.405,22.2207,22.2207,0.03261
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,stance,right,stance_leg,pitch,1777514425.7888,1777514426.0589,0.2701,28,0.0,0.0,0.0,0.084573,0.0,0.109047,3.5712,14.8138,14.8138,0.54183
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,stance,right,stance_leg,roll,1777514425.7888,1777514426.0589,0.2701,28,130.01,0.3658,0.630847,0.045805,1.563404,0.123847,3.5712,25.9241,25.9241,0.242185
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,stance,left,swing_leg,pitch,1777514425.7888,1777514426.0589,0.2701,28,190.01,0.6325,0.179124,0.382735,0.457386,0.580733,3.5712,3.7034,3.7034,0.143676
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,4,right,stance,left,swing_leg,roll,1777514425.7888,1777514426.0589,0.2701,28,130.01,0.2464,0.170717,0.446182,0.450603,0.875883,3.5712,7.4069,7.4069,0.136115
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,5,left,stance,left,stance_leg,pitch,1777514426.0589,1777514426.4787,0.4198,43,200.01,0.4225,0.19633,0.386351,0.494074,0.482798,4.6508,4.7616,0.0,0.472724
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,5,left,stance,left,stance_leg,roll,1777514426.0589,1777514426.4787,0.4198,43,90.01,0.5883,0.773813,0.127057,2.089031,0.357895,2.3254,19.0463,14.2847,0.334421
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,5,left,stance,right,swing_leg,pitch,1777514426.0589,1777514426.4787,0.4198,43,0.0,0.0499,0.340717,0.716825,1.509669,1.077719,2.3254,7.1424,7.1424,0.23822
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,5,left,stance,right,swing_leg,roll,1777514426.0589,1777514426.4787,0.4198,43,100.01,0.0978,0.891169,0.22615,2.056367,0.492854,2.3254,11.9039,11.9039,0.07741
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,6,right,stance,right,stance_leg,pitch,1777514426.4787,1777514426.7989,0.3202,33,130.01,0.2623,0.724678,0.233691,2.867225,0.457001,3.0301,12.4991,12.4991,0.077227
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,6,right,stance,right,stance_leg,roll,1777514426.4787,1777514426.7989,0.3202,33,200.01,0.2403,0.691872,0.16475,2.465674,0.467323,3.0301,12.4991,12.4991,0.264891
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,6,right,stance,left,swing_leg,pitch,1777514426.4787,1777514426.7989,0.3202,33,20.0,0.1375,0.295622,0.479698,1.169044,0.809004,3.0301,6.2496,3.1248,0.2061
real,25/0.4 all_ankles,25.0,0.4,t27_tracking_lag_b1_diag_20260430_100024.csv,6,right,stance,left,swing_leg,roll,1777514426.4787,1777514426.7989,0.3202,33,190.01,0.6271,0.489018,0.204837,1.05513,0.502022,3.0301,12.4991,12.4991,0.052418
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,1,left,stance,left,stance_leg,pitch,1777514594.9777,1777514595.1677,0.1901,20,170.0,1.0,0.649553,0.232244,1.745593,0.26395,5.0001,5.2633,5.2633,0.148207
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,1,left,stance,left,stance_leg,roll,1777514594.9777,1777514595.1677,0.1901,20,170.0,1.0,0.541634,0.200141,0.64726,0.310967,5.0001,5.2633,5.2633,0.372548
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,1,left,stance,right,swing_leg,pitch,1777514594.9777,1777514595.1677,0.1901,20,170.0,1.0,0.430199,0.481918,1.094527,0.491344,5.0001,5.2633,5.2633,0.268829
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,1,left,stance,right,swing_leg,roll,1777514594.9777,1777514595.1677,0.1901,20,80.0,0.8902,0.547487,0.16894,1.483342,0.248843,5.0001,10.5266,5.2633,0.076238
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,2,right,stance,right,stance_leg,pitch,1777514595.1677,1777514595.4576,0.2898,30,0.0,0.0,0.0,0.067511,0.0,0.127202,3.3334,6.8967,6.8967,0.454246
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,2,right,stance,right,stance_leg,roll,1777514595.1677,1777514595.4576,0.2898,30,190.0,0.5121,0.803881,0.057179,2.188329,0.102751,3.3334,37.932,37.932,0.287961
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,2,right,stance,left,swing_leg,pitch,1777514595.1677,1777514595.4576,0.2898,30,200.0,0.3016,0.203897,0.251881,0.81499,0.473604,3.3334,6.8967,6.8967,0.070041
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,2,right,stance,left,swing_leg,roll,1777514595.1677,1777514595.4576,0.2898,30,200.0,0.4218,0.061967,0.348932,0.286621,0.835536,3.3334,6.8967,6.8967,0.143094
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,3,left,stance,left,stance_leg,pitch,1777514595.4576,1777514595.8777,0.4201,43,170.0,0.3039,0.275981,0.42333,0.71907,0.658407,2.3256,7.143,4.762,0.440333
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,3,left,stance,left,stance_leg,roll,1777514595.4576,1777514595.8777,0.4201,43,90.0,0.4825,0.82222,0.457938,2.276881,1.109556,2.3256,14.2861,14.2861,0.28336
real,30/0.4 all_ankles,30.0,0.4,t27_tracking_lag_b1_diag_20260430_100314.csv,3,left,stance,right,swing_leg,pitch,1777514595.4576,1777514595.8777,0.4201,43,0.0,0.1404,0.470653,0.407722,1.54103,0.684364,2.3256,7.143,7.143,0.222722
