stage,case_label,diag_csv,side,axis,window,touchdown_time_sec,sample_count,dt_ms,output_mean_abs_rad,output_range_rad,output_std_rad,output_net_delta_abs_rad,output_path_length_rad,output_hp_rms_rad,output_vel_rms_radps,output_flip_rate,output_direction_change_rate_hz,output_extrema_rate_hz,output_dominant_freq_hz,joint_mean_abs_rad,joint_range_rad,joint_std_rad,joint_net_delta_abs_rad,joint_path_length_rad,joint_hp_rms_rad,joint_vel_rms_radps,joint_flip_rate,joint_direction_change_rate_hz,joint_extrema_rate_hz,joint_dominant_freq_hz,tracking_err_rms_rad,joint_to_output_hp_rms_ratio
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,roll,swing,1777514424.748999,33,9.99937121387261,0.07401508939393939,0.5834816,0.1432390732571199,0.5495812,0.69311636,0.02184941143477819,3.9585267397354684,0.26666666666666666,25.00157206416769,25.00157206416769,3.030493583535477,0.021067246242424238,0.0665162,0.019823146082126875,0.007249499999999999,0.14344395999999998,0.002784658213989327,0.526269464237609,0.22580645161290322,21.876375556146726,21.876375556146726,3.030493583535477,0.1656748716438113,0.1274477448649681
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,pitch,swing,1777514424.748999,33,9.99937121387261,0.2516596545454546,0.684143,0.16809083327801447,0.578087,1.2687518,0.06805443443672596,9.980246424268397,0.43333333333333335,40.62755460427249,37.502358096251534,3.030493583535477,0.2435968424242424,0.2657207,0.057489400249279315,0.20545470000000002,0.32600270000000003,0.013837677618058224,2.0957521006226676,0.03571428571428571,3.125196508020961,3.125196508020961,3.030493583535477,0.1354596124703417,0.20333249012485574
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,roll,swing,1777514424.748999,33,9.99937121387261,0.2616069121212121,0.4491229,0.13853302311902466,0.06819439999999999,1.1751668,0.03815427904621434,5.101060864210535,0.3225806451612903,31.251965080209608,31.251965080209608,3.030493583535477,0.04145860575757576,0.06714759000000001,0.01527057154984369,0.02284049,0.16208028999999996,0.006637595385668953,0.8379731904647963,0.23076923076923078,18.751179048125767,15.625982540104804,3.030493583535477,0.2542705267753883,0.1739672600713847
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,pitch,swing,1777514424.748999,33,9.99937121387261,0.3102691787878789,0.76,0.24576384518876096,0.0,1.632688,0.05032550909095802,9.015164338873591,0.1875,9.375589524062883,6.250393016041922,3.030493583535477,0.2758761818181818,0.037161,0.009957107799181342,0.010320000000000051,0.10531399999999996,0.003585696481783993,0.5219880139245644,0.391304347826087,28.12676857218865,15.625982540104804,3.030493583535477,0.2562284742682906,0.07125007866891574
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,roll,touchdown,1777514424.748999,14,9.99937121387261,0.4920565,0.253189,0.0725521483021006,0.209395,0.7474630000000001,0.05065136870054384,7.296136845897514,0.5833333333333334,53.84953983051502,53.84953983051502,14.28661260809582,0.03143354285714286,0.0369164,0.010970025289443066,0.0143912,0.06740319999999997,0.00458488502792812,0.6693234628097354,0.2,15.385582808718578,15.385582808718578,7.14330630404791,0.5285582567911805,0.0905184824330106
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,pitch,touchdown,1777514424.748999,14,9.99937121387261,0.24138568571428573,0.26427839999999997,0.08616546337963336,0.0499,0.7487128,0.04629188377740369,7.20006262341531,0.45454545454545453,38.463957021796446,30.771165617437156,7.14330630404791,0.03310328428571428,0.1782008,0.04598251070097068,0.120475,0.2359266,0.020451834458358513,2.7986720205866864,0.08333333333333333,7.692791404359289,7.692791404359289,7.14330630404791,0.2829973666906477,0.44180173260396893
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,roll,touchdown,1777514424.748999,14,9.99937121387261,0.025544108571428577,0.09236240000000001,0.030581198967243567,0.025691699999999998,0.16350130000000004,0.011235400236920807,1.6589239431676543,0.36363636363636365,30.771165617437156,30.771165617437156,7.14330630404791,0.022209142857142854,0.019817599999999998,0.006964161734574099,0.011509600000000002,0.0336862,0.0017976501374083358,0.32169816228178827,0.3,23.078374213077865,23.078374213077865,7.14330630404791,0.03759195589831345,0.15999876279449773
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,pitch,touchdown,1777514424.748999,14,9.99937121387261,0.3727686428571429,0.13178499999999999,0.04109312474752078,0.13178499999999999,0.3180189999999999,0.03258310425976745,4.260628774194776,0.25,15.385582808718578,7.692791404359289,7.14330630404791,0.28970692857142855,0.043293000000000026,0.013571819803571382,0.03712500000000002,0.04953500000000005,0.0024132206609328525,0.45048238124876455,0.1,7.692791404359289,0.0,7.14330630404791,0.08991824961517624,0.0740635588829582
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,roll,swing,1777514425.0488515,33,9.99937121387261,0.4071839393939394,0.43911100000000003,0.12072421038928993,0.054114999999999996,1.3827130000000003,0.03796479125314155,5.664040446034292,0.3548387096774194,34.37716158823057,34.37716158823057,3.030493583535477,0.05456159878787879,0.1914324,0.06577286097445921,0.1483415,0.2875353,0.005265079474404601,1.1211407327970224,0.10714285714285714,9.375589524062883,6.250393016041922,3.030493583535477,0.42796015872756404,0.13868321938867295
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,pitch,swing,1777514425.0488515,33,9.99937121387261,0.16433073909090906,0.59968,0.18563072620388446,0.59968,2.4426608,0.09653157002179953,13.573656283272593,0.3333333333333333,31.251965080209608,28.12676857218865,3.030493583535477,0.11417388121212121,0.3346218,0.11079243544047027,0.09424000000000002,0.5750036000000001,0.014354704283873483,2.470743377496132,0.03225806451612903,3.125196508020961,3.125196508020961,3.030493583535477,0.2484568231059093,0.14870476343264477
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,roll,swing,1777514425.0488515,33,9.99937121387261,0.06364679454545454,0.409935,0.0788490627614993,0.1774362,0.8026446,0.04636071336813915,5.523114618809974,0.3793103448275862,34.37716158823057,31.251965080209608,3.030493583535477,0.04284080878787879,0.1566286,0.05256150800681162,0.01554563,0.32807357,0.013567324881511434,1.7591764491691724,0.1724137931034483,15.625982540104804,12.500786032083845,3.030493583535477,0.0552365240398384,0.2926470258077482
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,pitch,swing,1777514425.0488515,33,9.99937121387261,0.31330839393939397,0.533567,0.11157748002122171,0.458126,1.3802259999999995,0.061458792910756996,7.713044025882035,0.32,25.00157206416769,15.625982540104804,3.030493583535477,0.3061847878787879,0.245279,0.0500036545390238,0.155514,0.34745400000000004,0.014488334677410761,1.9928650378938169,0.10344827586206896,9.375589524062883,6.250393016041922,3.030493583535477,0.11177732516074494,0.2357406319133043
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,roll,touchdown,1777514425.0488515,15,9.99937121387261,0.04736676957163333,0.2675069,0.08130000185621898,0.14295013,0.43569392999999995,0.04012558932183631,5.67978798783612,0.5833333333333334,50.00314412833537,50.00314412833537,6.667085883778051,0.06444739933333334,0.20101989999999997,0.057779342610689254,0.20101989999999997,0.2010199,0.00871053633881587,1.6220810653902002,0.0,0.0,0.0,6.667085883778051,0.07028148237094632,0.21708182947672258
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,pitch,touchdown,1777514425.0488515,15,9.99937121387261,0.22806957066666664,0.668166,0.1771273654326116,0.31110610000000005,1.3816519,0.10372725919878059,16.230369280558108,0.6153846153846154,57.14645043238328,57.14645043238328,6.667085883778051,0.23140013333333334,0.16951800000000003,0.06257977903430326,0.15315400000000004,0.18588200000000002,0.00530293697148797,1.5072451408987924,0.07692307692307693,7.14330630404791,7.14330630404791,6.667085883778051,0.22996218664058862,0.05112385126580411
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,roll,touchdown,1777514425.0488515,15,9.99937121387261,0.27436358666666666,0.672233,0.19246272970761272,0.672233,1.8073089999999998,0.1222870163972155,16.99386076307059,0.5,42.85983782428746,42.85983782428746,6.667085883778051,0.07015781800000001,0.2022283,0.05679323273102084,0.1998943,0.2722802999999999,0.021347109279978665,2.9346172471297187,0.3076923076923077,28.57322521619164,28.57322521619164,13.334171767556102,0.240934379264386,0.17456562363610617
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,pitch,touchdown,1777514425.0488515,15,9.99937121387261,0.2646064733333333,0.533567,0.14590547113227553,0.0,1.8790797999999997,0.14015574108330264,17.608827126467695,0.5384615384615384,50.00314412833537,50.00314412833537,20.00125765133415,0.08155977333333334,0.227369,0.06397079400871897,0.19703899999999996,0.27001620000000004,0.023047646177561512,3.2222715300414473,0.3,21.42991891214373,0.0,6.667085883778051,0.231264317816512,0.16444311163723907
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,roll,swing,1777514425.3588588,32,9.99937121387261,0.016651719799203126,0.2215119,0.03659563504660013,0.20206331,0.36873273,0.023854275013821005,3.2508948957767814,0.4642857142857143,41.93812088182967,38.71211158322739,9.375589524062883,0.0646588628125,0.201569,0.07029004161359365,0.0008057999999999954,0.4039438000000001,0.004281606699619932,1.5002524595423785,0.06666666666666667,6.452018597204565,6.452018597204565,3.125196508020961,0.07769112113109747,0.17949012062362818
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,pitch,swing,1777514425.3588588,32,9.99937121387261,0.25610126749999995,0.668166,0.11675867729833075,0.61054,1.03969,0.061005576858477566,7.722835210118424,0.4,38.71211158322739,38.71211158322739,6.250393016041922,0.20463384374999993,0.17805400000000002,0.060105524705049665,0.016435000000000033,0.339673,0.0032952375111521956,1.2480329522709221,0.06896551724137931,6.452018597204565,3.2260092986022824,3.125196508020961,0.156170515523637,0.05401534877371259
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,roll,swing,1777514425.3588588,32,9.99937121387261,0.32962162500000003,0.578572,0.1143300622996139,0.020903000000000005,1.797673,0.07214930718607322,10.318553936302292,0.41379310344827586,38.71211158322739,38.71211158322739,3.125196508020961,0.06278767406250002,0.07737223,0.019226366542293045,0.01825623,0.20804442999999995,0.009463996513241445,1.2038344398993825,0.2413793103448276,22.582065090215977,19.356055791613695,3.125196508020961,0.28088227313119407,0.1311723824157282
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,pitch,swing,1777514425.3588588,32,9.99937121387261,0.34442128437500014,0.533567,0.12273720485005751,0.406157,1.4729228,0.07910712639341776,9.813108523817602,0.5,22.582065090215977,19.356055791613695,3.125196508020961,0.09678140000000002,0.127251,0.04379911602824451,0.04336799999999999,0.22345120000000002,0.008919734392115079,1.2587925301961753,0.1111111111111111,9.678027895806848,0.0,3.125196508020961,0.2673639193599703,0.11275513090635107
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,roll,touchdown,1777514425.3588588,15,9.99937121387261,0.2197168506666667,0.6639237,0.2468940125940459,0.6639237,0.8719314800000002,0.06369046024624155,9.807455016081462,0.5,42.85983782428746,42.85983782428746,6.667085883778051,0.15562373999999998,0.381341,0.1478067736090624,0.305059,0.457623,0.015999246261253406,3.901359693925492,0.07692307692307693,7.14330630404791,7.14330630404791,6.667085883778051,0.49110653828698747,0.2512031817543278
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,pitch,touchdown,1777514425.3588588,15,9.99937121387261,0.30883212000000004,0.35604719999999995,0.10281656773219122,0.091255,0.9234153999999999,0.07527753094586007,10.0112807485099,0.4166666666666667,35.71653152023955,28.57322521619164,6.667085883778051,0.16608050533333335,0.46816199999999997,0.17184865129692595,0.45152899999999996,0.484795,0.012243126409853861,3.9330050895926503,0.07692307692307693,7.14330630404791,7.14330630404791,6.667085883778051,0.3321346972451609,0.16263985090928623
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,roll,touchdown,1777514425.3588588,15,9.99937121387261,0.10381245133333335,0.442321,0.12976933512716265,0.29542739999999995,0.8906139400000002,0.051367396980089235,8.33461643894861,0.4166666666666667,35.71653152023955,35.71653152023955,6.667085883778051,0.04017248533333333,0.1460562,0.0416837447903986,0.1193768,0.20033,0.011148874850721129,1.90300899508539,0.3076923076923077,28.57322521619164,28.57322521619164,6.667085883778051,0.13274983303882534,0.21704184961995637
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,pitch,touchdown,1777514425.3588588,15,9.99937121387261,0.2841055266666667,0.748834,0.28855279670177625,0.006863000000000008,1.5574890000000003,0.08671901219795355,16.045147771393076,0.45454545454545453,35.71653152023955,28.57322521619164,6.667085883778051,0.16953666666666667,0.035573999999999995,0.011275328096729107,0.016957,0.05420499999999995,0.0031475558085629725,0.5443422869279397,0.1111111111111111,7.14330630404791,0.0,6.667085883778051,0.3105085453784281,0.036296029311058624
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,roll,swing,1777514425.7388427,33,9.99937121387261,0.39402377272727257,0.6192342,0.1620515913273923,0.1552322,1.3515081999999996,0.04063648287565275,6.564182963675103,0.16666666666666666,15.625982540104804,12.500786032083845,3.030493583535477,0.1455392926060606,0.484384,0.16018300365880936,0.2176928,0.8111912,0.016029331504141615,3.2097729036952436,0.12903225806451613,12.500786032083845,12.500786032083845,3.030493583535477,0.4494168352590416,0.39445666479530755
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,pitch,swing,1777514425.7388427,33,9.99937121387261,0.40154593939393946,0.10843499999999995,0.024786061625547074,0.10843499999999995,0.2610269999999998,0.018046253503131222,2.4604437713857017,0.5714285714285714,12.500786032083845,9.375589524062883,15.152467917677386,0.10509785030303032,0.312523,0.1136582021650464,0.0615451,0.5650929,0.011336518246636338,2.4616130750027607,0.07142857142857142,6.250393016041922,3.125196508020961,3.030493583535477,0.40031398126233647,0.6281923416774196
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,roll,swing,1777514425.7388427,33,9.99937121387261,0.04963361787878788,0.19681477,0.035107760610404805,0.0603755,0.7276195400000001,0.029275313541857233,4.215135453079864,0.43333333333333335,40.62755460427249,40.62755460427249,6.060987167070954,0.047063741515151504,0.15988170000000002,0.0464551870319081,0.1182231,0.36547270000000004,0.005785389397624123,1.4915176057012451,0.10344827586206896,9.375589524062883,6.250393016041922,6.060987167070954,0.06444830017207388,0.1976200661131193
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,pitch,swing,1777514425.7388427,33,9.99937121387261,0.33069496666666676,0.76,0.17148189877534886,0.76,1.0625459999999993,0.04822780834788597,7.190317185110441,0.36363636363636365,25.00157206416769,21.876375556146726,6.060987167070954,0.2923721212121212,0.265631,0.10583584927062188,0.227869,0.30363499999999993,0.002796562126737705,1.243654820245484,0.08333333333333333,6.250393016041922,3.125196508020961,3.030493583535477,0.15538113886343244,0.05798650659314669
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,roll,touchdown,1777514425.7388427,14,9.99937121387261,0.027917104999999998,0.11512710000000001,0.03287617494714636,0.11512710000000001,0.3874683,0.027841289834892775,3.522938137382345,0.3333333333333333,30.771165617437156,30.771165617437156,21.42991891214373,0.14323108571428575,0.3040235,0.0946996199612205,0.16355920000000002,0.4444877999999999,0.02124858402306384,3.8115428558758504,0.08333333333333333,7.692791404359289,7.692791404359289,7.14330630404791,0.16293096844371943,0.7632040091918993
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,left,pitch,touchdown,1777514425.7388427,14,9.99937121387261,0.2501298571428571,0.25523999999999997,0.06106633044468606,0.122417,0.5233829999999999,0.04620282025883655,5.747540451413261,0.4166666666666667,38.463957021796446,38.463957021796446,14.28661260809582,0.08103122142857143,0.0680415,0.020975239283129544,0.012101,0.123982,0.006404360968765812,1.0707204656512228,0.08333333333333333,7.692791404359289,7.692791404359289,7.14330630404791,0.17849862318297943,0.13861407015605162
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,roll,touchdown,1777514425.7388427,14,9.99937121387261,0.16730347857142855,0.5598548,0.15976565248216873,0.4083508,1.4231424000000001,0.0936100110254151,12.869617697220043,0.5,46.15674842615573,46.15674842615573,7.14330630404791,0.026758924714285724,0.057128564,0.01795912616148531,0.044002599999999996,0.09273132799999997,0.004579826065752952,0.8461896520445502,0.3333333333333333,30.771165617437156,30.771165617437156,7.14330630404791,0.21417942346358704,0.048924532916778854
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,right,pitch,touchdown,1777514425.7388427,14,9.99937121387261,0.4100000000000001,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57322521619164,0.175985825,0.5013086,0.19794508918979134,0.5012936,0.505217,0.01813345210745096,5.266960297643231,0.18181818181818182,15.385582808718578,15.385582808718578,7.14330630404791,0.35926142569094266,nan
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,left,roll,swing,1777514594.847755,32,9.999666415469749,0.0626879305625,0.5483984,0.11777275114146446,0.39984780000000003,0.8186665000000001,0.037420047472246254,6.091605853103521,0.1724137931034483,16.129570315578203,12.903656252462563,3.1251042486432774,0.025904976000000003,0.1103335,0.029119835760028735,0.015989040000000003,0.24274963999999996,0.0063726504972761566,0.977420331642851,0.10344827586206896,9.677742189346922,9.677742189346922,3.1251042486432774,0.13970987971472923,0.17030043860854618
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,left,pitch,swing,1777514594.847755,32,9.999666415469749,0.25898140625,0.658281,0.11255915890213838,0.623621,0.990875,0.0775044713264715,10.090722316948225,0.39285714285714285,35.48505469427205,29.033226568040767,3.1251042486432774,0.24153418125,0.21112220000000004,0.04646550058759615,0.12598520000000002,0.3005152000000001,0.013773686008046147,1.863670483216997,0.08,6.451828126231281,0.0,3.1251042486432774,0.09886984406819908,0.17771472758039153
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,right,roll,swing,1777514594.847755,32,9.999666415469749,0.2748954625000001,0.5454732999999999,0.1503720586052069,0.10247979999999998,1.0169448,0.02953434279515526,4.612452536257058,0.2,19.355484378693845,19.355484378693845,3.1251042486432774,0.03459129062500001,0.0484166,0.014814246471120278,0.0100072,0.0954952,0.0018661930390725192,0.3805140297649926,0.2222222222222222,19.355484378693845,19.355484378693845,3.1251042486432774,0.2742224323103903,0.0631872207895767
