stage,case_label,diag_csv,event_seq,side,touchdown_time_sec,touchdown_source,first_contact_time_sec,stable_minus_first_contact_sec
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,0,left,1777514424.748999,kinematic_fk_hip,1777514424.748999,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,right,1777514425.0488515,kinematic_fk_hip,1777514425.0488515,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,left,1777514425.3588588,kinematic_fk_hip,1777514425.3588588,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,right,1777514425.7388427,kinematic_fk_hip,1777514425.7388427,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,4,left,1777514426.0589106,kinematic_fk_hip,1777514426.0589106,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,5,right,1777514426.4687335,kinematic_fk_hip,1777514426.4687335,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,6,left,1777514426.7389097,kinematic_fk_hip,1777514426.7389097,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,7,right,1777514427.1389344,kinematic_fk_hip,1777514427.1389344,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,8,left,1777514427.5289595,kinematic_fk_hip,1777514427.5289595,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,9,right,1777514427.9689636,kinematic_fk_hip,1777514427.9689636,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,10,left,1777514428.2489617,kinematic_fk_hip,1777514428.2489617,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,11,right,1777514428.638904,kinematic_fk_hip,1777514428.638904,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,12,left,1777514428.8788476,kinematic_fk_hip,1777514428.8788476,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,13,right,1777514429.3389041,kinematic_fk_hip,1777514429.3389041,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,14,left,1777514429.578989,kinematic_fk_hip,1777514429.5689797,0.010009288787841797
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,15,right,1777514429.9688644,kinematic_fk_hip,1777514429.9688644,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,16,left,1777514430.2589974,kinematic_fk_hip,1777514430.2589974,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,17,right,1777514430.5688643,kinematic_fk_hip,1777514430.5688643,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,18,left,1777514430.8988433,kinematic_fk_hip,1777514430.8988433,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,19,right,1777514431.3787649,kinematic_fk_hip,1777514431.3787649,0.0
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,20,left,1777514431.6586843,kinematic_fk_hip,1777514431.6586843,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,0,left,1777514594.847755,kinematic_fk_hip,1777514594.847755,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,1,right,1777514595.1277688,kinematic_fk_hip,1777514595.1277688,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,2,left,1777514595.4976962,kinematic_fk_hip,1777514595.4976962,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,3,right,1777514595.8676746,kinematic_fk_hip,1777514595.8676746,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,4,left,1777514596.1976144,kinematic_fk_hip,1777514596.1976144,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,5,right,1777514596.537712,kinematic_fk_hip,1777514596.537712,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,6,left,1777514596.9576745,kinematic_fk_hip,1777514596.9576745,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,7,right,1777514597.24785,kinematic_fk_hip,1777514597.24785,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,8,left,1777514597.5776699,kinematic_fk_hip,1777514597.5776699,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,9,right,1777514597.9776616,kinematic_fk_hip,1777514597.9776616,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,10,left,1777514598.2575877,kinematic_fk_hip,1777514598.2575877,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,11,right,1777514598.6878371,kinematic_fk_hip,1777514598.6878371,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,12,left,1777514599.0077395,kinematic_fk_hip,1777514599.0077395,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,13,right,1777514599.3876183,kinematic_fk_hip,1777514599.3876183,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,14,left,1777514599.627748,kinematic_fk_hip,1777514599.627748,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,15,right,1777514600.017671,kinematic_fk_hip,1777514600.017671,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,16,left,1777514600.3877642,kinematic_fk_hip,1777514600.3877642,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,17,right,1777514600.777647,kinematic_fk_hip,1777514600.777647,0.0
real,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,18,left,1777514601.1277936,kinematic_fk_hip,1777514601.1177294,0.010064125061035156
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,0,left,1777514825.8477206,kinematic_fk_hip,1777514825.8477206,0.0
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,1,right,1777514826.1375866,kinematic_fk_hip,1777514826.1375866,0.0
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,2,left,1777514826.4476342,kinematic_fk_hip,1777514826.4476342,0.0
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,3,right,1777514826.837477,kinematic_fk_hip,1777514826.837477,0.0
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,4,left,1777514827.1576958,kinematic_fk_hip,1777514827.1576958,0.0
real,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,5,right,1777514827.4676,kinematic_fk_hip,1777514827.4676,0.0
