stage,case_label,side,touchdown_count,same_side_period_count,same_side_period_mean_sec,same_side_period_std_sec
real,25/0.4 all_ankles,left,11,10,0.6909685134887695,0.05650350769734303
real,25/0.4 all_ankles,right,10,9,0.7033237086402045,0.0763029231983441
real,30/0.4 all_ankles,left,10,9,0.6977820661332872,0.05808508176220751
real,30/0.4 all_ankles,right,9,8,0.7062347829341888,0.04099488941883966
real,35/0.5 all_ankles,left,4,3,0.6333190600077311,0.06664620271504859
real,35/0.5 all_ankles,right,3,2,0.6650067567825317,0.04933288618200146
real,40/0.8 all_ankles,left,5,4,0.6799792051315308,0.02167372144993114
real,40/0.8 all_ankles,right,5,4,0.6874554753303528,0.06018668084997707
sim,25/0.4,left,21,20,0.6989994049072266,0.017136092100620795
sim,25/0.4,right,19,18,0.6994433403015137,0.01731418715271049
sim,35/0.5,left,21,20,0.6994972109794617,0.011911572186008227
sim,35/0.5,right,21,20,0.6994994401931762,0.0173340463793119
sim,40/0.5,left,25,24,0.6995834708213806,0.009552306273355711
sim,40/0.5,right,25,24,0.7000003556410471,0.013171272559378121
sim,50/0.8,left,26,25,0.6991993618011475,0.015229707925197115
sim,50/0.8,right,26,25,0.6999992465972901,0.02326624667077942
