kp_case,dataset,window,joint,psd_peak_hz,psd_peak_power,psd_band_power,target_dir_chg_hz,joint_dir_chg_hz,amplitude_gain,tracking_rms_rad,curve_count,psd_power_level,joint_dir_level,gain_level,tracking_rms_level,risk_score,interpretation
kp25_kd0.4,real,touchdown,ankle_pitch,6.256862223584045,13.74389248169665,86.02906329087656,26.817543651572407,7.280573888332406,1.340348320781632,0.27087001572560065,12,高,高,高,高,6,真抖风险：频域振荡能量高，且时域折返频繁；gain 高，存在过放大/过冲风险；tracking RMS 高，整体跟踪误差偏大
kp25_kd0.4,real,touchdown,ankle_roll,5.226056406374797,8.7017241851585,49.06788736900047,36.32655315352437,13.034822013911688,1.2307728291775788,0.22980662576401503,12,高,高,高,高,6,真抖风险：频域振荡能量高，且时域折返频繁；gain 高，存在过放大/过冲风险；tracking RMS 高，整体跟踪误差偏大
kp40_kd0.8,real,touchdown,ankle_roll,5.13365946949291,23.170016052375935,80.81644991903067,37.70204420100698,12.263085955906481,1.321722273520175,0.20973103086665215,12,高,高,高,高,6,真抖风险：频域振荡能量高，且时域折返频繁；gain 高，存在过放大/过冲风险；tracking RMS 高，整体跟踪误差偏大
kp40_kd0.5,sim,swing,ankle_pitch,6.430162521448622,17.19482590897834,66.81529132534209,17.09322686596064,10.377466910774812,0.4558847829216681,0.2764193161097587,12,高,高,低,高,6,真抖风险：频域振荡能量高，且时域折返频繁；但 gain 低，可能偏软或未跟上 target；tracking RMS 高，整体跟踪误差偏大
kp50_kd0.8,sim,swing,ankle_pitch,6.427698384006675,18.197661023699386,71.31697070855657,17.456123728147407,10.421482807379654,0.48376619516190106,0.26018140391057887,12,高,高,低,高,6,真抖风险：频域振荡能量高，且时域折返频繁；但 gain 低，可能偏软或未跟上 target；tracking RMS 高，整体跟踪误差偏大
kp25_kd0.4,real,swing,ankle_roll,5.226056406374797,8.7017241851585,49.06788736900047,32.34389757698461,15.631360627008123,0.635874031988357,0.22574706387216123,12,高,高,适中,高,5,真抖风险：频域振荡能量高，且时域折返频繁；tracking RMS 高，整体跟踪误差偏大
kp30_kd0.4,real,swing,ankle_roll,5.6100733871716315,9.887475338035555,37.07695982877527,31.36136074228479,15.268774520983968,0.5785043208504613,0.21686270021606704,12,高,高,适中,高,5,真抖风险：频域振荡能量高，且时域折返频繁；tracking RMS 高，整体跟踪误差偏大
kp30_kd0.4,real,touchdown,ankle_pitch,5.650599661346124,3.7520536399721864,20.62754841917598,23.810965761586285,5.952741440396571,1.457408606129139,0.2878525905529112,12,低,高,高,高,5,碎动/chatter：频域峰不强但折返多，可能是接触碎动、噪声或传动间隙；gain 高，存在过放大/过冲风险；tracking RMS 高，整体跟踪误差偏大
kp30_kd0.4,real,touchdown,ankle_roll,5.6100733871716315,9.887475338035555,37.07695982877527,41.07391593873634,14.28657945695177,1.0778424955448551,0.20501214104241325,12,高,高,适中,高,5,真抖风险：频域振荡能量高，且时域折返频繁；tracking RMS 高，整体跟踪误差偏大
kp40_kd0.8,real,swing,ankle_roll,5.13365946949291,23.170016052375935,80.81644991903067,34.06287897026443,16.142551528566084,1.6950560766805172,0.1977346207222118,12,高,高,高,低,5,真抖风险：频域振荡能量高，且时域折返频繁；gain 高，存在过放大/过冲风险
