dataset,condition_group,condition,joint,kp,kd,amp_rad,repeat_label,tracking_ratio,tail_tracking_ratio,active_overshoot_ratio,peak_time_sec,response_class,ringdown_valid,usable_zeta,reliable_fn,zeta_step,ringdown_freq_hz,f_n_closed_loop_hz,ringdown_overshoot_ratio,settling_time_ms,peak_count,valid_log_pairs,primary_peak_velocity,primary_peak_effort,source,notes
real,air,悬空,right_ankle_roll_joint,35.0,0.5,0.05,悬空,0.954175,1.0522,0.193796,0.088973,single_overshoot,True,True,False,0.072442,3.453893,3.462991,1.09894,nan,14.0,2.0,1.12495,2.527606,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,中大幅能跟踪，但释放后低阻尼振荡明显；4 s post_hold 未收敛。
real,air,悬空复测,right_ankle_roll_joint,35.0,0.5,0.05,悬空复测,0.998483,1.075476,0.264116,0.106082,single_overshoot,True,True,False,0.089228,18.860629,18.936161,1.0715,nan,3.0,2.0,1.178458,2.552674,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,0.05 rad 复测跟踪更接近 1，但 active 超调和 ringdown 频率高于首次；同幅值复测差异大，提示释放初态、摩擦/间隙或峰值检测敏感。
real,air,悬空复测2,right_ankle_roll_joint,35.0,0.5,0.05,悬空复测2,0.900629,0.969679,0.166179,0.091024,oscillatory_but_settling,True,True,False,0.092612,16.990164,17.063499,1.03616,nan,37.0,2.0,1.153267,2.503776,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,0.05 rad 第二次复测 post_hold 仅 2.29 s，不完全可比；active 超调较低，但 ringdown 仍不收敛，`f_n` 接近 0.05 首次复测和 0.15 复测。
real,ground,触地,right_ankle_roll_joint,35.0,0.5,0.05,触地,0.115942,0.157965,0.0,0.256881,undershoot_soft,True,True,False,0.00226,12.28372,12.283751,0.27994,nan,40.0,2.0,0.468019,4.701849,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地后 active 段严重欠跟踪：`actual_step=0.005797`，仅达命令约 11.6%；`peak_time=0.256881s` 超 walking 预算，`final_tracking_ratio=0.025269`。释放后仍有低阻尼 ringdown，`zeta_step=0.002260`，post_hold 约 3.24s 未收敛；与悬空同幅值形成强烈接触退化对照。
real,ground,触地复测2,right_ankle_roll_joint,35.0,0.5,0.05,触地复测2,0.150808,0.146771,0.0,0.214784,undershoot_soft,True,True,False,0.019401,26.753415,26.758451,0.45234,nan,107.0,1.0,0.354616,4.850121,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地复测2 仍严重欠跟踪：`actual_step=0.007540`，约 15.1%；`peak_time=0.214784s` 仍超 walking 预算，`final_tracking_ratio=0.082281`。post_hold 完整约 4.0s 仍不收敛；ringdown 峰值数增至 107、有效递减峰对仅 1，`f_n=26.758451 Hz` 更可能受高频小峰/折返影响，不能单独作为稳定模态。
real,ground,触地复测3,right_ankle_roll_joint,35.0,0.5,0.05,触地复测3,0.148449,0.155559,0.0,0.034049,undershoot_soft,False,False,False,nan,8.823529,nan,0.418,nan,7.0,0.0,0.350942,4.975224,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地复测3 仍严重欠跟踪：`actual_step=0.007422`，约 14.8%；这次 `peak_time=0.034049s` 回到 good，但 active 窗口仍未收敛。ringdown 无有效同号递减峰对，`invalid_reason=no_decreasing_same_sign_peak_pairs`；post_hold 约 2.23s 未收敛，`f_n` 不可用。
real,air,悬空,right_ankle_roll_joint,35.0,0.5,0.1,悬空,0.948378,0.997384,0.319234,0.09202,oscillatory_but_settling,True,True,False,0.201689,10.807306,11.034061,0.99662,nan,3.0,2.0,2.498135,4.723539,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,0.1 rad 下 active 超调更大；`f_n_closed_loop_hz=11.034061 Hz`。频率较 0.05 rad 明显变化，提示非线性或峰值估计受样本影响。
real,air,悬空复测,right_ankle_roll_joint,35.0,0.5,0.1,悬空复测,0.978835,1.025537,0.368967,0.090961,oscillatory_but_settling,True,True,False,0.245432,27.042672,27.895905,0.9927,nan,97.0,2.0,2.501441,4.86671,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,0.1 rad 复测 active 跟踪略好但超调更大；`peak_count=97`、有效递减峰对仅 2，ringdown 频率接近 0.15 rad 结果，仍不能视为稳定单一模态。
real,air,悬空复测2,right_ankle_roll_joint,35.0,0.5,0.1,悬空复测2,0.963795,1.013352,0.346982,0.092976,oscillatory_but_settling,True,True,True,0.16643,14.561622,14.767582,0.9927,nan,4.0,3.0,2.484668,4.795113,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,0.1 rad 第二次复测 active 指标接近前两次，ringdown 频率回到约 14.8 Hz；峰值数量较少、有效递减峰对 3，比 97 峰那次更干净。
real,ground,触地,right_ankle_roll_joint,35.0,0.5,0.1,触地,0.20502,0.250806,0.0,0.249939,undershoot_soft,True,True,False,0.037032,11.180287,11.187961,0.25453,nan,8.0,1.0,0.761766,7.550002,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地 `0.1 rad` 比 `0.05 rad` 幅值兑现略高，但仍严重欠跟踪：`actual_step=0.020502`，约 20.5%；`peak_time=0.249939s` 超 walking 预算，active 未收敛，`final_tracking_ratio=-0.022942`。释放后 ringdown 有效但只有 1 个有效递减峰对，post_hold 约 2.40s 未收敛。
