dataset,phase,role,step_index,joint,case_count,curve_count,mean_duration_sec,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
real,complete_support,support_leg,1,ankle_pitch,4,4,0.17999398708343506,23.36742529676222,5.644500275776855,20.58177021428436,5.644500275776855,5.338657119509476,5.338657119509476,0.578158,0.17104685,6.558868216961498,1.2623547109731046,0.2580120245033097
real,complete_support,support_leg,1,ankle_roll,4,4,0.17999398708343506,26.153080379240084,5.644500275776855,26.153080379240084,1.6686813519079038,5.338657119509476,5.338657119509476,0.517813025,0.245897275,3.4543311184120933,2.159925919831995,0.21635105094195028
real,complete_support,support_leg,1,hip_pitch,4,4,0.17999398708343506,32.44391376089668,1.190163841391091,32.44391376089668,1.190163841391091,11.132313518694305,5.338657119509476,1.207312475,0.22861424999999996,15.736814123465273,1.2746638005055853,0.5189892154036598
real,complete_support,support_leg,1,hip_roll,4,4,0.17999398708343506,20.037939478773005,8.50334546907585,17.532623574931456,4.049009034690086,5.338657119509476,5.338657119509476,0.7936747500000001,0.037055725,6.543251842239004,0.24181909887505765,0.2918728749674225
real,complete_support,support_leg,1,knee_pitch,4,4,0.17999398708343506,24.52263864967635,0.0,24.52263864967635,0.0,5.338657119509476,5.338657119509476,0.6929354999999999,0.3885345,5.488017601210654,2.1206726904379933,0.19634219964661317
real,complete_support,support_leg,2,ankle_pitch,4,4,0.31244415044784546,6.760534611547533,8.035361094821393,4.483258261587901,4.95146300265431,1.4957327651002423,3.1107432775652315,0.27183935,0.20222465,2.060122519017624,0.8925751640226497,0.4239420007506423
real,complete_support,support_leg,2,ankle_roll,4,4,0.31244415044784546,35.99816780097545,24.059945797856063,35.99816780097545,20.905047275900767,3.1107432775652315,3.891873269552522,0.7106785,0.10985969999999999,6.047832381489592,0.7906863562079393,0.23152871821413407
real,complete_support,support_leg,2,hip_pitch,4,4,0.31244415044784546,54.37249932647373,3.946239104807758,54.37249932647373,2.4045840672673684,5.507453423569869,3.8250612299020044,1.001515305,0.09410175000000001,12.503062213068105,0.505298521111583,0.21434842101915563
real,complete_support,support_leg,2,hip_roll,4,4,0.31244415044784546,34.513408068040896,9.561734973006795,32.91544574298098,4.864887404967958,3.1107432775652315,3.1107432775652315,1.5783375,0.07991207,13.166068215622316,0.3425029245013813,0.79554851994026
real,complete_support,support_leg,2,knee_pitch,4,4,0.31244415044784546,41.416237547708,4.681566408683848,40.68091024383191,2.348276779747842,3.1107432775652315,3.1107432775652315,0.4643587,0.259439,3.6287515406576794,1.1920912560203636,0.15278626072596652
