dataset,case_label,step_index,window,side,axis,hist_type,bin_label,count,bar,mean_joint_amplitude_rad,mean_amplitude_gain,mean_tracking_err_rms_rad
real,25/0.4 all_ankles,1,swing,left,pitch,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,left,pitch,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,left,pitch,frequency,"[2.50,5.00)",1,########,0.037573999999999996,0.2372410483713118,0.09739928343985065
real,25/0.4 all_ankles,1,swing,left,pitch,frequency,"[5.00,8.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,left,pitch,frequency,"[8.00,12.00)",1,########,0.03205898,0.3099882034422742,0.2970954787215917
real,25/0.4 all_ankles,1,swing,left,pitch,frequency,"[12.00,20.00)",1,########,0.004149999999999987,nan,0.009642181871858668
real,25/0.4 all_ankles,1,swing,left,pitch,frequency,"[20.00,1000.00)",3,########################,0.04471594,1.4944132893929865,0.21147971638460702
real,25/0.4 all_ankles,1,swing,left,pitch,amplitude,"[0.000,0.005)",1,############,0.004149999999999987,nan,0.009642181871858668
real,25/0.4 all_ankles,1,swing,left,pitch,amplitude,"[0.005,0.010)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,left,pitch,amplitude,"[0.010,0.020)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,left,pitch,amplitude,"[0.020,0.040)",2,########################,0.054193649999999996,1.9331328792670714,0.2619815135081357
real,25/0.4 all_ankles,1,swing,left,pitch,amplitude,"[0.040,0.080)",1,############,0.025760520000000002,0.6169741096448158,0.1104761221375497
real,25/0.4 all_ankles,1,swing,left,pitch,amplitude,"[0.080,1.000)",2,########################,0.03481649,0.273614625906793,0.19724738108072118
real,25/0.4 all_ankles,1,swing,left,roll,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,left,roll,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,left,roll,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,left,roll,frequency,"[5.00,8.00)",2,########################,0.043712669999999995,1.0120027921292272,0.1669235932513333
real,25/0.4 all_ankles,1,swing,left,roll,frequency,"[8.00,12.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,left,roll,frequency,"[12.00,20.00)",2,########################,0.007646184999999998,0.07032854984894263,0.25060097278136356
real,25/0.4 all_ankles,1,swing,left,roll,frequency,"[20.00,1000.00)",1,############,0.006545200000000001,0.0922573824793854,0.5662541691544855
real,25/0.4 all_ankles,1,swing,left,roll,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,left,roll,amplitude,"[0.005,0.010)",1,############,0.013430069999999999,nan,0.02337726660247556
real,25/0.4 all_ankles,1,swing,left,roll,amplitude,"[0.010,0.020)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,left,roll,amplitude,"[0.020,0.040)",2,########################,0.025806669999999997,1.0109350687047733,0.244477207061419
real,25/0.4 all_ankles,1,swing,left,roll,amplitude,"[0.040,0.080)",1,############,0.006545200000000001,0.0922573824793854,0.5662541691544855
real,25/0.4 all_ankles,1,swing,left,roll,amplitude,"[0.080,1.000)",1,############,0.037674299999999994,0.07246399669785,0.3227174513400802
real,25/0.4 all_ankles,1,swing,right,pitch,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,pitch,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,pitch,frequency,"[2.50,5.00)",1,########################,0.010444999999999982,0.017245393110758487,0.35013437797141544
real,25/0.4 all_ankles,1,swing,right,pitch,frequency,"[5.00,8.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,pitch,frequency,"[8.00,12.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,pitch,frequency,"[12.00,20.00)",1,########################,0.016419000000000017,0.0346477196951153,0.2584916960054036
real,25/0.4 all_ankles,1,swing,right,pitch,frequency,"[20.00,1000.00)",1,########################,0.014465999999999979,0.2592473118279568,0.07173518791360343
real,25/0.4 all_ankles,1,swing,right,pitch,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,pitch,amplitude,"[0.005,0.010)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,pitch,amplitude,"[0.010,0.020)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,pitch,amplitude,"[0.020,0.040)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,pitch,amplitude,"[0.040,0.080)",1,############,0.014465999999999979,0.2592473118279568,0.07173518791360343
real,25/0.4 all_ankles,1,swing,right,pitch,amplitude,"[0.080,1.000)",2,########################,0.013432,0.025946556402936895,0.3043130369884095
real,25/0.4 all_ankles,1,swing,right,roll,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,roll,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,roll,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,roll,frequency,"[5.00,8.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,roll,frequency,"[8.00,12.00)",1,########################,0.0059816,0.029756243159884593,0.2477383337432836
real,25/0.4 all_ankles,1,swing,right,roll,frequency,"[12.00,20.00)",1,########################,0.0035312,nan,0.3375117783969213
real,25/0.4 all_ankles,1,swing,right,roll,frequency,"[20.00,1000.00)",1,########################,0.0037503,nan,0.3325005421712121
real,25/0.4 all_ankles,1,swing,right,roll,amplitude,"[0.000,0.005)",2,########################,0.00364075,nan,0.3350061602840667
real,25/0.4 all_ankles,1,swing,right,roll,amplitude,"[0.005,0.010)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,roll,amplitude,"[0.010,0.020)",0,,nan,nan,nan
real,25/0.4 all_ankles,1,swing,right,roll,amplitude,"[0.020,0.040)",0,,nan,nan,nan
