dataset,case_label,diag_csv,step_index,touchdown_side,window,role,joint,phase_bin,norm_phase,pos_target_rad,joint_pos_rad
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,0,0.0,0.711887,0.551763
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,1,0.05,0.6743238,0.5751942000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,2,0.1,0.5951292,0.5949442
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,3,0.15,0.5803948,0.6085969999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,4,0.2,0.561113,0.6160752
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,5,0.25,0.500606,0.618108
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,6,0.3,0.5149204,0.6150019999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,7,0.35,0.4483944000000001,0.607791
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,8,0.4,0.2566759999999999,0.5970534000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,9,0.45,0.19071339999999998,0.5821352
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,10,0.5,0.350683,0.565185
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,11,0.55,-0.6416664000000005,0.529711
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,12,0.6,-0.4224733999999999,0.4843426
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,13,0.65,-0.4321677999999999,0.4378626
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,14,0.7,-0.013597380000000284,0.39629060000000005
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,15,0.75,-0.039971,0.358669
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,16,0.8,-0.3250864000000004,0.3311342
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,17,0.85,-0.4523265999999999,0.31314739999999996
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,18,0.9,-0.4462417999999999,0.30133619999999994
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,19,0.95,0.07030539999999938,0.291211
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,hip_pitch,20,1.0,0.524651,0.281011
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,0,0.0,0.553983,1.04648
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,1,0.05,0.4931786,1.094606
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,2,0.1,0.42683519999999997,1.1222159999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,3,0.15,0.337588,1.1177679999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,4,0.2,0.2428378,1.089742
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,5,0.25,0.155354,1.03267
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,6,0.3,0.11238140000000002,0.9479190000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,7,0.35,0.13044639999999996,0.8397714000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,8,0.4,0.24572400000000005,0.7103009999999998
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,9,0.45,0.3871888,0.5735836
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,10,0.5,0.366675,0.451477
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,11,0.55,0.5506958000000004,0.3717849999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,12,0.6,0.669804,0.31966680000000003
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,13,0.65,0.6536744,0.2748748
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,14,0.7,0.4860228000000001,0.24028220000000006
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,15,0.75,0.455897,0.209487
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,16,0.8,0.47549600000000003,0.1922296
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,17,0.85,0.460397,0.1842146
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,18,0.9,0.49243539999999997,0.18559540000000002
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,19,0.95,0.495707,0.1943006
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,knee_pitch,20,1.0,0.495649,0.207762
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,0,0.0,-0.291534,-0.276031
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,1,0.05,-0.289613,-0.2805786
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,2,0.1,-0.28934980000000005,-0.28223560000000003
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,3,0.15,-0.27064900000000003,-0.2839076
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,4,0.2,-0.2447974,-0.2822556
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,5,0.25,-0.210417,-0.280185
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,6,0.3,-0.17733700000000002,-0.2768598
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,7,0.35,-0.13851400000000003,-0.2710298
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,8,0.4,-0.09674567999999999,-0.2627026
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,9,0.45,-0.119892,-0.2517742
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,10,0.5,-0.24968,-0.209294
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,11,0.55,0.3191280000000001,-0.1052248999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,event_leg,ankle_pitch,12,0.6,0.23747320000000002,-0.012220300000000022
