bin_start_rad,bin_end_rad,count,ratio,case_label,diag_csv
0.0,0.05,33,0.4177215189873418,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
0.05,0.1,14,0.17721518987341772,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
0.1,0.15000000000000002,20,0.25316455696202533,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
0.15000000000000002,0.2,12,0.1518987341772152,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
0.0,0.05,7,0.0958904109589041,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
0.05,0.1,18,0.2465753424657534,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
0.1,0.15000000000000002,18,0.2465753424657534,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
0.15000000000000002,0.2,5,0.0684931506849315,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
0.2,0.25,2,0.0273972602739726,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
0.25,0.3,5,0.0684931506849315,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
0.30000000000000004,0.35000000000000003,9,0.1232876712328767,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
0.35000000000000003,0.4,2,0.0273972602739726,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
0.4,0.45,5,0.0684931506849315,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
0.45,0.5,2,0.0273972602739726,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
0.0,0.05,12,0.1791044776119403,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
0.05,0.1,18,0.26865671641791045,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
0.1,0.15000000000000002,4,0.05970149253731343,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
0.15000000000000002,0.2,6,0.08955223880597014,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
0.2,0.25,5,0.07462686567164178,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
0.25,0.3,5,0.07462686567164178,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
0.30000000000000004,0.35000000000000003,6,0.08955223880597014,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
0.35000000000000003,0.4,11,0.16417910447761194,40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv
0.0,0.05,35,0.4430379746835443,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
0.05,0.1,17,0.21518987341772153,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
0.1,0.15000000000000002,6,0.0759493670886076,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
0.15000000000000002,0.2,4,0.05063291139240506,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
0.2,0.25,4,0.05063291139240506,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
0.25,0.3,2,0.02531645569620253,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
0.30000000000000004,0.35000000000000003,2,0.02531645569620253,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
0.35000000000000003,0.4,5,0.06329113924050633,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
0.4,0.45,4,0.05063291139240506,25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv
0.0,0.05,31,0.4246575342465753,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
0.05,0.1,14,0.1917808219178082,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
0.1,0.15000000000000002,11,0.1506849315068493,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
0.15000000000000002,0.2,2,0.0273972602739726,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
0.2,0.25,4,0.0547945205479452,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
0.25,0.3,4,0.0547945205479452,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
0.30000000000000004,0.35000000000000003,3,0.0410958904109589,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
0.35000000000000003,0.4,4,0.0547945205479452,25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv
0.0,0.05,47,0.47,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
0.05,0.1,23,0.23,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
0.1,0.15000000000000002,6,0.06,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
0.15000000000000002,0.2,3,0.03,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
0.2,0.25,1,0.01,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
0.25,0.3,7,0.07,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
0.30000000000000004,0.35000000000000003,10,0.1,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
0.35000000000000003,0.4,3,0.03,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
0.0,0.05,33,0.4024390243902439,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
0.05,0.1,33,0.4024390243902439,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
0.1,0.15000000000000002,6,0.07317073170731707,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
0.15000000000000002,0.2,2,0.024390243902439025,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
0.25,0.3,1,0.012195121951219513,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
0.30000000000000004,0.35000000000000003,4,0.04878048780487805,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
0.35000000000000003,0.4,1,0.012195121951219513,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
0.4,0.45,2,0.024390243902439025,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
0.0,0.05,48,0.64,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
0.05,0.1,9,0.12,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
0.1,0.15000000000000002,2,0.02666666666666667,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
0.25,0.3,2,0.02666666666666667,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
0.30000000000000004,0.35000000000000003,1,0.013333333333333334,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
0.35000000000000003,0.4,5,0.06666666666666667,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
0.4,0.45,6,0.08,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
0.45,0.5,2,0.02666666666666667,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
0.0,0.05,43,0.4942528735632184,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
0.05,0.1,24,0.27586206896551724,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
0.1,0.15000000000000002,8,0.09195402298850575,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
0.15000000000000002,0.2,5,0.05747126436781609,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
0.2,0.25,1,0.011494252873563218,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
0.25,0.3,2,0.022988505747126436,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
0.35000000000000003,0.4,1,0.011494252873563218,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
0.4,0.45,3,0.034482758620689655,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
0.0,0.05,32,0.4,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
0.05,0.1,15,0.1875,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
0.1,0.15000000000000002,6,0.075,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
0.15000000000000002,0.2,3,0.0375,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
0.2,0.25,6,0.075,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
0.25,0.3,6,0.075,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
0.30000000000000004,0.35000000000000003,2,0.025,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
0.35000000000000003,0.4,6,0.075,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
0.4,0.45,4,0.05,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
