case_label,diag_csv,events,mean_pos_des_raw,mean_abs_pos_des_raw,mean_small_signal_ratio,min_abs_pos_des_raw,max_abs_pos_des_raw
35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv,3,0.08781771291666667,0.08781771291666667,0.5722222222222223,0.0246845,0.192296
50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv,3,-0.10538605190476191,0.17220526095238095,0.3619047619047619,0.026877,0.455484
40/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_162312.csv,3,-0.11774742549019608,0.17424914698340874,0.4631724484665661,0.020674,0.399148
25/0.5 right_roll,t27_tracking_lag_b1_diag_20260428_163825.csv,3,-0.08497040724089637,0.12469248337535012,0.6428571428571428,0.00109056,0.430725
25/0.5 all_ankles,t27_tracking_lag_b1_diag_20260428_164817.csv,3,-0.05772219703030302,0.11930526474747476,0.5684848484848485,0.000263118,0.381295
25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv,3,-0.05350346732230393,0.10691845559436275,0.7015931372549019,0.00161428,0.379099
25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,3,-0.016725521579365087,0.08160242048412697,0.8119047619047618,0.00385504,0.433528
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,3,-0.0733035268256579,0.09367952079861112,0.7951388888888888,0.0010246,0.499291
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,3,-0.0017996026742424208,0.07792970280050504,0.7894570707070706,0.000555644,0.435898
40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv,3,-0.09330936382053617,0.1433877556409964,0.5672134882661198,0.00472432,0.43919
