window,touchdown_time_sec,sample_count,mean_action_abs,mean_action_signed,action_joint_lag_ms,action_joint_corr,case_label,diag_csv
swing,1777360960.5793076,33,0.14468098484848485,0.14468098484848485,135.2977752685547,0.8083252600537353,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
touchdown,1777360960.5793076,14,0.35600704285714285,-0.3003690285714286,18.039703369140625,0.25126653564330526,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
swing,1777360961.2490673,33,0.05035202606060606,0.02025891575757575,90.19851684570312,0.3475704649253078,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
touchdown,1777360961.2490673,15,0.31700575999999997,-0.19977905333333335,135.2977752685547,0.0,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
swing,1777360961.9392443,33,0.03921421542424242,0.03129524572727273,189.41688537597656,0.5738729757814611,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
touchdown,1777360961.9392443,15,0.4881133933333333,-0.4113154066666667,36.07940673828125,0.12102310749116432,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
swing,1777360962.6291,33,0.08305193939393941,-0.015383709090909083,189.41688537597656,0.7316225739043769,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
touchdown,1777360962.6291,15,0.4295426066666667,-0.4295426066666667,135.2977752685547,0.0,35/0.5 retest_copy,t27_tracking_lag_b1_diag_20260428_152240.csv
swing,1777364002.7518833,32,0.06478242093750002,0.052690029062500005,194.37861442565918,0.19891983518944584,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
touchdown,1777364002.7518833,14,0.39564078571428574,-0.29399771428571425,27.768373489379883,0.4297386607395118,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
swing,1777364003.4819021,34,0.10624925264705881,0.013287117941176457,18.512248992919922,0.2286781204489003,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
touchdown,1777364003.4819021,15,0.4616051666666667,-0.4616051666666667,18.512248992919922,0.1758105680448959,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
swing,1777364004.1519642,34,0.061689365341176465,0.05958351289411764,9.256124496459961,0.2314177297210497,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
touchdown,1777364004.1519642,15,0.4546775933333333,-0.42286974,27.768373489379883,0.20750315091276808,50/0.8 right_roll,t27_tracking_lag_b1_diag_20260428_161322.csv
