dataset,side,phase_bin,norm_phase,mean_sole_roll_rad,mean_abs_sole_roll_rad,mean_sole_pitch_rad,mean_abs_sole_pitch_rad,mean_rel_height_m
baseline_35_0p5,left,0,0.0,0.16519110404366033,0.16519110404366033,0.27735354829725495,0.27735354829725495,0.020856860424836976
baseline_35_0p5,left,1,0.05,0.2052210507047154,0.2052210507047154,0.2974337569360862,0.2974337569360862,0.02482208670896499
baseline_35_0p5,left,2,0.1,0.2459244296263111,0.2459244296263111,0.31504212529426223,0.31504212529426223,0.02905966987929539
baseline_35_0p5,left,3,0.15,0.27886947749415286,0.27886947749415286,0.3180206851289382,0.3180206851289382,0.0365580084176771
baseline_35_0p5,left,4,0.2,0.30313945459883745,0.30313945459883745,0.31104004872723845,0.31104004872723845,0.04446594841147744
baseline_35_0p5,left,5,0.25,0.32683588410465236,0.32683588410465236,0.2946227314340145,0.2946227314340145,0.05219930415823654
baseline_35_0p5,left,6,0.3,0.34652850474799046,0.34652850474799046,0.2680243081988217,0.2680243081988217,0.059803094275276886
baseline_35_0p5,left,7,0.35,0.3656151625394494,0.3656151625394494,0.2397151692916275,0.2397151692916275,0.06732815354150523
baseline_35_0p5,left,8,0.4,0.3784236671056894,0.3784236671056894,0.21098461115019607,0.21098461115019607,0.07399384041790208
baseline_35_0p5,left,9,0.45,0.38027075610819433,0.38027075610819433,0.18393563047037217,0.18393563047037217,0.07835262040640079
baseline_35_0p5,left,10,0.5,0.3764192617542158,0.3764192617542158,0.1589168701344888,0.1589168701344888,0.08138976288144165
baseline_35_0p5,left,11,0.55,0.36081688188653616,0.36081688188653616,0.13689417155006806,0.13689417155006806,0.08214774128772842
baseline_35_0p5,left,12,0.6,0.3378851519356627,0.3378851519356627,0.11865905883988151,0.11865905883988151,0.08086918118987613
baseline_35_0p5,left,13,0.65,0.30659486071441555,0.30659486071441555,0.10840306125333087,0.10840306125333087,0.07764386889721323
baseline_35_0p5,left,14,0.7,0.26657538874477515,0.26657538874477515,0.1049711307376425,0.1320854103584546,0.07240595761792974
baseline_35_0p5,left,15,0.75,0.2217444173075239,0.2217444173075239,0.11540098781773657,0.14312190424112264,0.06573115273279831
baseline_35_0p5,left,16,0.8,0.17645471234142684,0.17645471234142684,0.13623812060883883,0.1440403630574169,0.0583217915542762
baseline_35_0p5,left,17,0.85,0.11936294989640822,0.11936294989640822,0.16673545410673488,0.16673545410673488,0.049292830584107224
baseline_35_0p5,left,18,0.9,0.057761285424910463,0.09167934377449236,0.20801621661185513,0.20801621661185513,0.039736570933406004
baseline_35_0p5,left,19,0.95,0.0010723148523023585,0.09903175594294289,0.24988849512880096,0.24988849512880096,0.03168820375802002
baseline_35_0p5,left,20,1.0,-0.06496522478858413,0.09664529136168643,0.29487378646795187,0.29487378646795187,0.022874638085947696
baseline_35_0p5,right,0,0.0,-0.17657314659290357,0.17657314659290357,0.39762017311201525,0.39762017311201525,0.02500455863760448
baseline_35_0p5,right,1,0.05,-0.22240124121469165,0.22240124121469165,0.3899097364620893,0.3899097364620893,0.032607040933609624
baseline_35_0p5,right,2,0.1,-0.25792398012309214,0.25792398012309214,0.37415641561226937,0.37415641561226937,0.04027297578731782
baseline_35_0p5,right,3,0.15,-0.28991489558423184,0.28991489558423184,0.35519548069362583,0.35519548069362583,0.04891543635765176
baseline_35_0p5,right,4,0.2,-0.3186645722610485,0.3186645722610485,0.3376452370442442,0.3376452370442442,0.05708171551339167
baseline_35_0p5,right,5,0.25,-0.34669103861097245,0.34669103861097245,0.31995510884175493,0.31995510884175493,0.06549781669313208
baseline_35_0p5,right,6,0.3,-0.3728388098058705,0.3728388098058705,0.30180327396119233,0.30180327396119233,0.07429675290964971
baseline_35_0p5,right,7,0.35,-0.39641899504306266,0.39641899504306266,0.28816155171408436,0.28816155171408436,0.08272674812822137
baseline_35_0p5,right,8,0.4,-0.4133413929908836,0.4133413929908836,0.2786221816792553,0.2786221816792553,0.09057348687288447
baseline_35_0p5,right,9,0.45,-0.41853729451570154,0.41853729451570154,0.2721946334285029,0.2721946334285029,0.09667870226175038
baseline_35_0p5,right,10,0.5,-0.41753646992472027,0.41753646992472027,0.2730494682567304,0.2730494682567304,0.10165054561280062
baseline_35_0p5,right,11,0.55,-0.4027785818695969,0.4027785818695969,0.2781271708682801,0.2781271708682801,0.10332376697828227
baseline_35_0p5,right,12,0.6,-0.38364306613469834,0.38364306613469834,0.28774350437111595,0.28774350437111595,0.10257245720860039
baseline_35_0p5,right,13,0.65,-0.3524666117441184,0.3524666117441184,0.301880862318727,0.301880862318727,0.09897842738399215
baseline_35_0p5,right,14,0.7,-0.32033004767157225,0.32033004767157225,0.3230388049792101,0.3230388049792101,0.09325479050998346
baseline_35_0p5,right,15,0.75,-0.2807639185891419,0.2807639185891419,0.34939082832016,0.34939082832016,0.08468966057809561
baseline_35_0p5,right,16,0.8,-0.2436906813831848,0.2436906813831848,0.3779484357163414,0.3779484357163414,0.0753782462361839
baseline_35_0p5,right,17,0.85,-0.20623359399210647,0.20623359399210647,0.40377516551525516,0.40377516551525516,0.06502255600582765
baseline_35_0p5,right,18,0.9,-0.16751005167357969,0.16751005167357969,0.4288802416395026,0.4288802416395026,0.05385026875196686
baseline_35_0p5,right,19,0.95,-0.116362932036844,0.116362932036844,0.45273918469757846,0.45273918469757846,0.04038310504561171
baseline_35_0p5,right,20,1.0,-0.06349506551088613,0.09808155396343388,0.4697866122081914,0.4697866122081914,0.02797673901599168
high_kp_right_roll_50_0p8,left,0,0.0,0.2128637376293291,0.2128637376293291,-0.047259828930737095,0.14455974259631557,0.024224431629177562
high_kp_right_roll_50_0p8,left,1,0.05,0.2530869443832473,0.2530869443832473,-0.08031773000931641,0.179897905712659,0.031681253183962574
high_kp_right_roll_50_0p8,left,2,0.1,0.2842823366427987,0.2842823366427987,-0.11565870180977844,0.206833157196689,0.03943067101314872
high_kp_right_roll_50_0p8,left,3,0.15,0.31639470658902835,0.31639470658902835,-0.1514796526577753,0.22154083707513322,0.048007369642076386
high_kp_right_roll_50_0p8,left,4,0.2,0.3405838032882144,0.3405838032882144,-0.18150376062021129,0.22257779442676323,0.05549580577628942
high_kp_right_roll_50_0p8,left,5,0.25,0.35947760664146045,0.35947760664146045,-0.20108605827749904,0.2074449747594565,0.06219119249239419
high_kp_right_roll_50_0p8,left,6,0.3,0.37106820709284377,0.37106820709284377,-0.21031657887769836,0.21031657887769836,0.06812784860419957
high_kp_right_roll_50_0p8,left,7,0.35,0.37688203655145075,0.37688203655145075,-0.21406324859882261,0.21406324859882261,0.07266328454368826
high_kp_right_roll_50_0p8,left,8,0.4,0.37930093340493504,0.37930093340493504,-0.21634173999732131,0.21634173999732131,0.07696887655009035
high_kp_right_roll_50_0p8,left,9,0.45,0.37362488647652026,0.37362488647652026,-0.2088584501314787,0.2088584501314787,0.08061312162924157
high_kp_right_roll_50_0p8,left,10,0.5,0.36120404959745817,0.36120404959745817,-0.19689886839158344,0.19689886839158344,0.08272670567486066
high_kp_right_roll_50_0p8,left,11,0.55,0.3463458313350801,0.3463458313350801,-0.18378209074273477,0.18378209074273477,0.08226971223090593
high_kp_right_roll_50_0p8,left,12,0.6,0.3257515858235749,0.3257515858235749,-0.16903457131332678,0.16903457131332678,0.08007141277915777
high_kp_right_roll_50_0p8,left,13,0.65,0.2963820404547353,0.2963820404547353,-0.1507769563573805,0.16377605484896787,0.07691079753194126
high_kp_right_roll_50_0p8,left,14,0.7,0.2617580453458694,0.2617580453458694,-0.1265435145202872,0.19930687380183368,0.07219387412352389
high_kp_right_roll_50_0p8,left,15,0.75,0.22256028044142329,0.22256028044142329,-0.09989819577462458,0.21865642275722866,0.06596158642456061
high_kp_right_roll_50_0p8,left,16,0.8,0.17621141020796582,0.17621141020796582,-0.06689616738655324,0.2244771523317245,0.05808635646565455
high_kp_right_roll_50_0p8,left,17,0.85,0.12979531775336664,0.12979531775336664,-0.03391052903537632,0.2201022479730983,0.04966223332932398
high_kp_right_roll_50_0p8,left,18,0.9,0.08052308480465412,0.08052308480465412,0.001036021877615742,0.19666465432486058,0.041674134930013526
high_kp_right_roll_50_0p8,left,19,0.95,0.018643893792089236,0.055050122982867045,0.030490006842927728,0.16453020057197398,0.032234236963735674
high_kp_right_roll_50_0p8,left,20,1.0,-0.03665866011250418,0.07428954676113364,0.05323897747120534,0.12206146755706038,0.024829979029861116
high_kp_right_roll_50_0p8,right,0,0.0,-0.153111770140261,0.153111770140261,-0.1896064328348395,0.1896064328348395,0.022773835164358575
high_kp_right_roll_50_0p8,right,1,0.05,-0.19130810998082778,0.19130810998082778,-0.2067196201498986,0.21332236033341212,0.03046539468741874
high_kp_right_roll_50_0p8,right,2,0.1,-0.21185271172032627,0.21185271172032627,-0.17737047127486508,0.18434457935608148,0.039202571044585216
high_kp_right_roll_50_0p8,right,3,0.15,-0.23010480590226018,0.23010480590226018,-0.13244213559445253,0.13416041301002016,0.04877976270112448
high_kp_right_roll_50_0p8,right,4,0.2,-0.24914630367089102,0.24914630367089102,-0.07379134189135242,0.07379134189135242,0.05834056382521159
high_kp_right_roll_50_0p8,right,5,0.25,-0.2749273075031353,0.2749273075031353,-0.00589571994941141,0.00589571994941141,0.06706098919897457
high_kp_right_roll_50_0p8,right,6,0.3,-0.3113458950126615,0.3113458950126615,0.0668049340178431,0.08703044139411695,0.0754356528904615
high_kp_right_roll_50_0p8,right,7,0.35,-0.3508494611135279,0.3508494611135279,0.13338588153658434,0.16344392301952174,0.0825368308771217
