side,first_contact_time_sec,first_contact_index,touchdown_time_sec,touchdown_index,touchdown_source,primary_flag,all_flags,has_large_foot_frame_residual_touchdown,has_foot_clearance_deficit,has_hip_knee_tracking_lag,has_early_knee_extension,has_tracking_lag,has_command_not_flat,max_swing_clearance_m,clearance_at_minus_50ms_m,clearance_peak_phase,foot_flat_error_touch_rad,sole_pitch_touch_rad,sole_roll_touch_rad,foot_flat_error_touch_raw_rad,sole_pitch_touch_raw_rad,sole_roll_touch_raw_rad,sole_pitch_bias_rad,sole_roll_bias_rad,sole_bias_sample_count,hip_err_minus_50ms_rad,knee_err_minus_50ms_rad,ankle_pitch_err_touch_rad,ankle_roll_err_touch_rad,knee_peak_to_touchdown_sec,cmd_linear_x,cmd_linear_y,cmd_angular_z,clearance_at_minus_100ms_m,clearance_at_minus_20ms_m,attitude_dominant_axis,touchdown_attitude_type,touchdown_pitch_sign,touchdown_roll_sign,touchdown_dominant_abs_rad,ankle_tracking_dominant_axis,ankle_tracking_dominant_abs_rad,dominant_joint,orthogonal_joint,foot_axis_touch_rad,minus_100ms_raw_rad,minus_100ms_q_rad,minus_100ms_tau_raw,minus_100ms_tau_lpf,minus_100ms_q_err_rad,minus_100ms_orthogonal_raw_rad,minus_100ms_orthogonal_q_rad,minus_100ms_raw_flattening_intent,minus_100ms_tau_lpf_ratio,minus_50ms_raw_rad,minus_50ms_q_rad,minus_50ms_tau_raw,minus_50ms_tau_lpf,minus_50ms_q_err_rad,minus_50ms_orthogonal_raw_rad,minus_50ms_orthogonal_q_rad,minus_50ms_raw_flattening_intent,minus_50ms_tau_lpf_ratio,minus_20ms_raw_rad,minus_20ms_q_rad,minus_20ms_tau_raw,minus_20ms_tau_lpf,minus_20ms_q_err_rad,minus_20ms_orthogonal_raw_rad,minus_20ms_orthogonal_q_rad,minus_20ms_raw_flattening_intent,minus_20ms_tau_lpf_ratio,touch_raw_rad,touch_q_rad,touch_tau_raw,touch_tau_lpf,touch_q_err_rad,touch_orthogonal_raw_rad,touch_orthogonal_q_rad,touch_raw_flattening_intent,touch_tau_lpf_ratio,raw_flattening_intent_count,raw_flattening_intent_ratio,tau_lpf_ratio_mean,dominant_joint_tracking_err_max_rad,dominant_joint_tracking_err_touch_rad,axis_coupling_score_rad,effective_delay_sec,effective_delay_raw_rad,effective_delay_q_rad,effective_delay_tau_raw,effective_delay_tau_lpf,effective_delay_q_err_rad,effective_delay_orthogonal_raw_rad,effective_delay_orthogonal_q_rad,effective_delay_raw_flattening_intent,effective_delay_to_touch_tracking_err_rad,effective_delay_tau_lpf_ratio,delay_10ms_window_start_sec,delay_10ms_window_end_sec,delay_10ms_sample_count,delay_10ms_raw_flattening_intent_ratio,delay_10ms_tau_lpf_ratio_mean,delay_10ms_raw_to_touch_tracking_err_mean_rad,delay_10ms_raw_abs_mean_rad,delay_10ms_root_cause,delay_20ms_window_start_sec,delay_20ms_window_end_sec,delay_20ms_sample_count,delay_20ms_raw_flattening_intent_ratio,delay_20ms_tau_lpf_ratio_mean,delay_20ms_raw_to_touch_tracking_err_mean_rad,delay_20ms_raw_abs_mean_rad,delay_20ms_root_cause,delay_30ms_window_start_sec,delay_30ms_window_end_sec,delay_30ms_sample_count,delay_30ms_raw_flattening_intent_ratio,delay_30ms_tau_lpf_ratio_mean,delay_30ms_raw_to_touch_tracking_err_mean_rad,delay_30ms_raw_abs_mean_rad,delay_30ms_root_cause,delay_sweep_root_cause_sequence,delay_sweep_is_stable,three_layer_root_cause,three_layer_rationale
right,1777515246.8988492,287.0,1777515246.8988492,287.0,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1.0,0.0,1.0,1.0,1.0,0.0,0.08464039211526997,0.014831374881935755,0.2125539096399812,0.21258829959689196,0.17653298679342047,0.11844783535080716,1.4903619813586229,0.1707635683364601,-1.4805467365835498,-0.005769418456960392,-1.598994571934357,36.0,0.312795,-0.19532899999999997,-0.27305999999999997,-0.880754,0.23000597953796387,0.4,0.0,0.0,0.029762711540529063,0.006058827409814949,pitch,heel_first_like,positive,positive,0.17653298679342047,ankle_roll,0.880754,right_ankle_pitch_joint,right_ankle_roll_joint,0.17653298679342047,-0.345766,-0.12178,-9.04853,-5.64716,-0.22398600000000002,-0.129097,-0.211745,0,0.6240969527647033,-0.41,-0.128239,-10.6469,-11.3717,-0.281761,-0.109906,-0.316377,0,1.068076153622181,-0.348575,-0.178355,-12.1113,-13.871,-0.17022,-0.271744,0.027011,0,1.1452940642210168,-0.41,-0.13694,-12.3126,-7.92716,-0.27305999999999997,-0.64,0.240754,0,0.6438250247713724,0.0,0.0,0.8703230488448184,0.281761,0.27305999999999997,0.11844783535080716,0.02,-0.348575,-0.178355,-12.1113,-13.871,-0.17022,-0.271744,0.027011,0,0.21163500000000002,1.1452940642210168,1777515246.8788493,1777515246.8988492,3.0,0.0,1.577743035618249,0.21935933333333332,0.3562993333333333,command_not_flat,1777515246.8688493,1777515246.8888493,2.0,0.0,2.2505036077793017,0.1617965,0.2987365,command_not_flat,1777515246.8588493,1777515246.8788493,2.0,0.0,1.0242902013275512,0.230066,0.367006,command_not_flat,command_not_flat -> command_not_flat -> command_not_flat,1,command_not_flat,"with 20 ms actuation delay compensation, raw intent still does not move the dominant ankle joint toward reducing the baseline-corrected foot-frame residual"
right,1777515244.758935,73.0,1777515244.758935,73.0,kinematic_fk_hip,foot_clearance_deficit,foot_clearance_deficit|hip_knee_tracking_lag|tracking_lag,0.0,1.0,1.0,0.0,1.0,0.0,0.0859736044583187,0.008818950608762088,0.2697798873752732,0.11827786454925003,-0.004326829510226189,0.11819869622259027,1.4808302940404727,-0.010096247967186582,-1.4807958757117667,-0.005769418456960392,-1.598994571934357,36.0,0.41039499999999995,-0.28157,-0.015960500000000002,-0.32492180000000004,0.17000985145568848,0.4,0.0,0.0,0.04630084642084581,-0.006393993200939974,roll,roll_positive_dominant,negative,positive,0.11819869622259027,ankle_roll,0.32492180000000004,right_ankle_roll_joint,right_ankle_pitch_joint,0.11819869622259027,0.0143832,0.0503016,-1.5459,-0.743278,-0.0359184,-0.273244,-0.319081,1,0.4808060029756129,0.0368982,0.0296991,0.968342,-0.854772,0.0071991,-0.41,-0.244743,0,0.8827170565771184,0.158582,-0.00424791,7.59288,3.21142,0.16282991,-0.41,-0.203337,1,0.4229515019333902,-0.339436,-0.0145142,-13.271,4.6593,-0.32492180000000004,-0.103533,-0.0875725,0,0.3510888403285359,2.0,0.5,0.5343908504536643,0.32492180000000004,0.32492180000000004,0.004326829510226189,0.02,0.158582,-0.00424791,7.59288,3.21142,0.16282991,-0.41,-0.203337,1,0.1730962,0.4229515019333902,1777515244.738935,1777515244.758935,2.0,0.0,4.959002748171539,0.16460965000000002,0.17482635000000002,command_not_flat,1777515244.728935,1777515244.748935,1.0,1.0,0.4229515019333902,0.1730962,0.158582,filter_delay,1777515244.718935,1777515244.738935,2.0,0.5,0.33320259451966827,0.1523582,0.137844,filter_delay,command_not_flat -> filter_delay -> filter_delay,0,residual_not_large_enough,"baseline-corrected foot-frame residual is small, so touchdown-side three-layer cause is not treated as a blocker"
right,1777515246.1590714,213.0,1777515246.1590714,213.0,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|tracking_lag,1.0,0.0,1.0,0.0,1.0,0.0,0.11845661268028024,0.02904636344415501,0.2413262003768776,0.42984713367924476,0.36980369475602987,0.21912048210300106,1.4270856519874693,0.3640342762990695,-1.379874089831356,-0.005769418456960392,-1.598994571934357,36.0,0.13468899999999995,-0.33604200000000006,-0.145082,-0.732352,0.18005776405334473,0.4,0.0,0.0,0.06494793998126458,0.01363464511722512,pitch,heel_first_like,positive,positive,0.36980369475602987,ankle_roll,0.732352,right_ankle_pitch_joint,right_ankle_roll_joint,0.36980369475602987,-0.333375,-0.401575,3.51771,3.38637,0.06820000000000004,-0.0603494,-0.349276,1,0.9626632098723317,-0.29591,-0.41278,10.7674,5.55327,0.11686999999999997,-0.0481609,-0.100358,1,0.5157484629529877,-0.41,-0.35686,1.48479,4.78926,-0.053139999999999965,-0.0175575,0.310188,0,3.2255470470571592,-0.41,-0.264918,-9.60675,-0.524804,-0.145082,-0.320347,0.412005,0,0.054628672547948065,2.0,0.5,1.1896468481076068,0.145082,0.145082,0.21912048210300106,0.02,-0.41,-0.35686,1.48479,4.78926,-0.053139999999999965,-0.0175575,0.310188,0,0.145082,3.2255470470571592,1777515246.1390715,1777515246.1590714,2.0,0.0,0.8277652857237425,0.145082,0.41,command_not_flat,1777515246.1290715,1777515246.1490715,2.0,0.0,2.413224472978348,0.145082,0.41,command_not_flat,1777515246.1190715,1777515246.1390715,2.0,0.0,2.1125226285176497,0.137002,0.40192,command_not_flat,command_not_flat -> command_not_flat -> command_not_flat,1,command_not_flat,"with 20 ms actuation delay compensation, raw intent still does not move the dominant ankle joint toward reducing the baseline-corrected foot-frame residual"
left,1777515247.138853,311.0,1777515247.138853,311.0,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|tracking_lag,1.0,0.0,1.0,0.0,1.0,0.0,0.09202557495458502,0.02659706706121001,0.741079107805843,0.2899797811594538,0.27944269649868536,0.07746000809984666,1.678768719977287,0.24492514326824738,1.6608058554115248,-0.03451755323043797,1.5833458473116782,36.0,-0.26041200000000003,-0.7522679999999999,0.642544,0.229443,0.11006665229797363,0.4,0.0,0.0,0.08581405299121098,-0.012265572360275756,pitch,heel_first_like,positive,positive,0.27944269649868536,ankle_pitch,0.642544,left_ankle_pitch_joint,left_ankle_roll_joint,0.27944269649868536,0.198011,-0.258938,19.3793,11.9496,0.456949,-0.285606,0.138402,1,0.6166166992615832,0.192807,-0.202969,19.6168,18.2431,0.395776,-0.378537,-0.0647243,1,0.9299732882019492,-0.41,-0.195631,-5.40171,12.8466,-0.21436899999999998,-0.135567,-0.238564,0,2.378246888485313,0.35,-0.292544,29.4499,10.3016,0.642544,-0.001522,-0.230965,1,0.3498008482201977,3.0,0.75,1.0686594310422608,0.642544,0.642544,0.07746000809984666,0.02,-0.41,-0.195631,-5.40171,12.8466,-0.21436899999999998,-0.135567,-0.238564,0,0.11745599999999995,2.378246888485313,1777515247.118853,1777515247.138853,2.0,1.0,0.28133795801503114,0.642544,0.35,filter_delay,1777515247.108853,1777515247.128853,2.0,0.5,1.295560978147589,0.38,0.38,tracking_lag,1777515247.098853,1777515247.118853,2.0,0.5,2.2949098681950098,0.204159715,0.20584028499999998,tracking_lag,filter_delay -> tracking_lag -> tracking_lag,0,command_not_flat,"with 20 ms actuation delay compensation, raw intent still does not move the dominant ankle joint toward reducing the baseline-corrected foot-frame residual"
left,1777515244.4189363,39.0,1777515244.4189363,39.0,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag,0.0,0.0,1.0,0.0,0.0,0.0,0.0501923176002923,0.02879699920094192,0.8695573159941042,0.0908186211066992,-0.03378803373728209,-0.08429941112422124,1.5006018362834694,-0.06830558696772006,1.499046436187457,-0.03451755323043797,1.5833458473116782,36.0,-0.051594999999999946,-0.540981,-0.19634999999999997,0.388624,0.10004615783691406,0.4,0.0,0.0,0.050056506644709675,0.006121803976231577,roll,roll_negative_dominant,negative,negative,0.08429941112422124,ankle_roll,0.388624,left_ankle_roll_joint,left_ankle_pitch_joint,-0.08429941112422124,-0.0410632,-0.0173668,0.170172,-0.561065,-0.0236964,-0.329882,-0.294612,0,nan,0.0251211,-0.0690287,4.02751,1.93163,0.0941498,-0.41,-0.29394,1,0.47960898917693556,0.13542,-0.0383249,4.07397,5.01294,0.1737449,-0.41,-0.300648,1,1.2304803422705617,0.41391,0.025286,13.2106,5.9376,0.388624,-0.41,-0.21365,0,0.44945725402328435,2.0,0.5,0.7198488618235938,0.388624,0.388624,0.03378803373728209,0.02,0.13542,-0.0383249,4.07397,5.01294,0.1737449,-0.41,-0.300648,1,0.11013400000000001,1.2304803422705617,1777515244.3989363,1777515244.4189363,2.0,0.5,0.6186346690848256,0.2983705,0.3236565,tracking_lag,1777515244.3889363,1777515244.4089363,3.0,1.0,0.9020780109156098,0.12989910000000002,0.1551851,coupled_geometry,1777515244.3789363,1777515244.3989363,2.0,1.0,0.9592109743002313,0.09079015,0.11607615,coupled_geometry,tracking_lag -> coupled_geometry -> coupled_geometry,0,residual_not_large_enough,"baseline-corrected foot-frame residual is small, so touchdown-side three-layer cause is not treated as a blocker"
left,1777515245.7589765,173.0,1777515245.7589765,173.0,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag|tracking_lag,0.0,0.0,1.0,0.0,1.0,0.0,0.10273395240092764,0.04306000290457751,0.7412762161007576,0.1445929064294837,-0.05044359127857059,-0.1355084967396729,1.4503280283396733,-0.08496114450900856,1.4478373505720052,-0.03451755323043797,1.5833458473116782,36.0,-0.377594,-0.689424,-0.13669299999999995,0.19816630000000002,0.14995956420898438,0.4,0.0,0.0,0.08835141245129441,0.00036415962382185807,roll,roll_negative_dominant,negative,negative,0.1355084967396729,ankle_roll,0.19816630000000002,left_ankle_roll_joint,left_ankle_pitch_joint,-0.1355084967396729,0.0419648,-0.11605,6.73276,5.87034,0.1580148,-0.401605,-0.443336,1,0.8719069148462146,0.0721582,-0.0443852,1.93441,4.45658,0.1165434,-0.41,-0.426348,1,2.3038445831028582,0.169483,0.112351,0.304013,-1.52113,0.05713199999999999,-0.41,-0.410394,0,nan,0.267761,0.0695947,0.752446,-1.38016,0.19816630000000002,-0.41,-0.273307,0,1.8342312936742307,2.0,0.5,1.6699942638744345,0.19816630000000002,0.19816630000000002,0.05044359127857059,0.02,0.169483,0.112351,0.304013,-1.52113,0.05713199999999999,-0.41,-0.410394,0,0.0998883,nan,1777515245.7389765,1777515245.7589765,2.0,0.0,0.9837515464733991,0.1500098,0.2196045,command_not_flat,1777515245.7289765,1777515245.7489765,2.0,0.0,0.26116907893962055,0.0779548,0.1475495,command_not_flat,1777515245.7189765,1777515245.7389765,2.0,0.0,0.26116907893962055,0.0779548,0.1475495,command_not_flat,command_not_flat -> command_not_flat -> command_not_flat,1,residual_not_large_enough,"baseline-corrected foot-frame residual is small, so touchdown-side three-layer cause is not treated as a blocker"
left,1777515246.4387767,241.0,1777515246.4387767,241.0,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag|tracking_lag,0.0,0.0,1.0,0.0,1.0,0.0,0.06794396325734997,0.03621404601032291,0.7555784236143216,0.1353916411012065,-0.06555152664555715,-0.11846473667093815,1.4682950960414176,-0.10006907987599512,1.46488111064074,-0.03451755323043797,1.5833458473116782,36.0,-0.23939299999999997,-0.8927050000000001,-0.15056899999999995,0.044685,0.1097555160522461,0.4,0.0,0.0,0.06794396325734997,0.002134071905965984,roll,roll_negative_dominant,negative,negative,0.11846473667093815,ankle_pitch,0.15056899999999995,left_ankle_roll_joint,left_ankle_pitch_joint,-0.11846473667093815,-0.0486284,0.0645292,-3.55259,-5.1743,-0.1131576,-0.260322,-0.320725,1,1.456486675918133,-0.0357746,-0.0707558,3.85864,2.16949,0.0349812,-0.41,-0.328842,1,0.5622421371260341,0.0550046,-0.12882,7.76862,4.13981,0.1838246,-0.41,-0.312667,1,0.5328887241234608,0.170608,0.125923,2.30937,3.16467,0.044685,-0.41,-0.259431,0,1.3703607477363957,3.0,0.75,0.9804945712260059,0.1838246,0.044685,0.06555152664555715,0.02,0.0550046,-0.12882,7.76862,4.13981,0.1838246,-0.41,-0.312667,1,0.0709184,0.5328887241234608,1777515246.4187768,1777515246.4387767,3.0,0.6666666666666666,1.2532590546039406,0.0418172,0.12570913333333333,coupled_geometry,1777515246.4087768,1777515246.4287767,2.0,1.0,1.2303161995925662,0.0669825,0.0589405,coupled_geometry,1777515246.3987768,1777515246.4187768,2.0,1.0,0.8507366958742179,0.13086715000000002,0.05994875,coupled_geometry,coupled_geometry -> coupled_geometry -> coupled_geometry,1,residual_not_large_enough,"baseline-corrected foot-frame residual is small, so touchdown-side three-layer cause is not treated as a blocker"
right,1777515247.5087569,348.0,1777515247.5087569,348.0,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|tracking_lag,1.0,0.0,1.0,0.0,1.0,0.0,0.0832743990221052,0.027320224947969207,0.19828167115206172,0.3127064659062613,-0.3012886321720119,0.08372869247457437,1.5460644656388338,-0.3070580506289723,-1.5152658794597826,-0.005769418456960392,-1.598994571934357,36.0,0.2800020000000001,-0.355481,-0.12724210000000002,0.2648606,0.14990019798278809,0.4,0.0,0.0,0.06450768609423307,0.006038585012606845,pitch,toe_first_like,negative,positive,0.3012886321720119,ankle_roll,0.2648606,right_ankle_pitch_joint,right_ankle_roll_joint,-0.3012886321720119,-0.200527,-0.509322,8.46376,12.4069,0.30879500000000004,-0.0358086,0.271158,1,1.4658851385199958,-0.0747657,-0.505131,18.8595,18.1214,0.4303653,-0.0219321,-0.233401,1,0.9608632254301546,-0.107001,-0.311,8.5522,15.123,0.20399899999999999,0.00607179,-0.347877,1,1.7683169243001802,-0.187817,-0.0605749,-1.1498,0.937844,-0.12724210000000002,-0.0403664,-0.305227,0,0.8156583753696296,3.0,0.75,1.25268091590499,0.4303653,0.12724210000000002,0.08372869247457437,0.02,-0.107001,-0.311,8.5522,15.123,0.20399899999999999,0.00607179,-0.347877,1,0.0464261,1.7683169243001802,1777515247.488757,1777515247.5087569,3.0,0.0,1.9277653054506605,0.2121961,0.272771,command_not_flat,1777515247.478757,1777515247.498757,2.0,0.5,2.5237843808082063,0.12807810000000003,0.18865300000000002,coupled_geometry,1777515247.468757,1777515247.488757,2.0,1.0,1.635213539659286,0.0434321,0.104007,coupled_geometry,command_not_flat -> coupled_geometry -> coupled_geometry,0,coupled_geometry,"after 20 ms delay compensation, residual touchdown attitude is more consistent with geometry/coupling than single-axis delay"
left,1777515245.0688696,104.0,1777515245.0688696,104.0,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|tracking_lag,1.0,0.0,1.0,0.0,1.0,0.0,0.09369783856576402,0.046108331004796055,0.7554006401356708,0.2624489266528716,-0.023577224943517043,-0.2613877456293756,1.3232340026822762,-0.05809477817395501,1.3219581016823025,-0.03451755323043797,1.5833458473116782,36.0,-0.48666300000000007,-0.5229820000000001,-0.22134099999999998,0.1359599,0.1399989128112793,0.4,0.0,0.0,0.08615196722974788,0.026195304483712767,roll,roll_negative_dominant,negative,negative,0.2613877456293756,ankle_pitch,0.22134099999999998,left_ankle_roll_joint,left_ankle_pitch_joint,-0.2613877456293756,-0.0183073,-8.70372e-05,3.97898,-0.548105,-0.018220262799999998,-0.277062,-0.402873,0,0.13775012691694855,-0.0100461,-0.210519,9.21737,10.1843,0.2004729,-0.331346,-0.323562,1,1.1049030254834078,-0.001383,-0.162194,3.48015,6.63453,0.160811,-0.41,-0.274411,1,1.9063919658635402,0.170759,0.0347991,9.1702,2.47023,0.1359599,-0.41,-0.188659,0,0.2693758042354583,2.0,0.5,0.8546052306248387,0.2004729,0.1359599,0.023577224943517043,0.02,-0.001383,-0.162194,3.48015,6.63453,0.160811,-0.41,-0.274411,1,0.0361821,1.9063919658635402,1777515245.0488696,1777515245.0688696,3.0,0.6666666666666666,0.2298551064555453,0.06398859666666666,0.07794337,filter_delay,1777515245.0388696,1777515245.0588696,2.0,1.0,1.9063919658635402,0.033724295,0.002457805,coupled_geometry,1777515245.0288696,1777515245.0488696,2.0,1.0,1.6969381995117914,0.04219735,0.00739825,coupled_geometry,filter_delay -> coupled_geometry -> coupled_geometry,0,coupled_geometry,"after 20 ms delay compensation, residual touchdown attitude is more consistent with geometry/coupling than single-axis delay"
right,1777515245.4290211,140.0,1777515245.4290211,140.0,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag|tracking_lag,0.0,0.0,1.0,0.0,1.0,0.0,0.06138633492290857,0.0272861690999896,0.25560180108804986,0.17887603881456665,-0.1185805674691673,0.13392268769958515,1.4703396019202684,-0.1243499859261277,-1.4650718842347719,-0.005769418456960392,-1.598994571934357,36.0,0.069712,-0.618592,-0.16780699999999998,-0.167186,0.13006973266601562,0.4,0.0,0.0,0.05064918010341213,0.003407087860633873,coupled,pitch_roll_coupled,negative,positive,0.13392268769958515,coupled,0.16780699999999998,right_ankle_roll_joint,right_ankle_pitch_joint,0.13392268769958515,0.0065441,0.201772,-5.4751,-8.76828,-0.1952279,-0.29507,-0.342649,1,1.6014830779346496,-0.0282883,-0.0424753,6.72151,2.3296,0.014187000000000002,-0.41,-0.333529,0,0.3465887873409398,-0.0571986,-0.24253,11.4444,10.5826,0.18533139999999998,-0.41,-0.315567,1,0.9246967949390095,-0.241805,-0.074619,-5.1645,5.54039,-0.167186,-0.41,-0.242193,0,1.072783425307387,2.0,0.5,0.9863880213804965,0.1952279,0.167186,0.1185805674691673,0.02,-0.0571986,-0.24253,11.4444,10.5826,0.18533139999999998,-0.41,-0.315567,1,0.017420400000000003,0.9246967949390095,1777515245.4090211,1777515245.4290211,3.0,0.3333333333333333,2.2286934428540337,0.12209906666666666,0.15932926666666666,command_not_flat,1777515245.3990211,1777515245.4190211,1.0,1.0,1.461427660629531,0.0560832,0.0185358,coupled_geometry,1777515245.3890212,1777515245.4090211,2.0,1.0,0.8412646522943668,0.024333350000000004,0.05028565,coupled_geometry,command_not_flat -> coupled_geometry -> coupled_geometry,0,coupled_geometry,"after 20 ms delay compensation, residual touchdown attitude is more consistent with geometry/coupling than single-axis delay"
