side,first_contact_time_sec,first_contact_index,touchdown_time_sec,touchdown_index,touchdown_source,primary_flag,all_flags,has_large_foot_frame_residual_touchdown,has_foot_clearance_deficit,has_hip_knee_tracking_lag,has_early_knee_extension,has_tracking_lag,has_command_not_flat,max_swing_clearance_m,clearance_at_minus_50ms_m,clearance_peak_phase,foot_flat_error_touch_rad,sole_pitch_touch_rad,sole_roll_touch_rad,foot_flat_error_touch_raw_rad,sole_pitch_touch_raw_rad,sole_roll_touch_raw_rad,sole_pitch_bias_rad,sole_roll_bias_rad,sole_bias_sample_count,hip_err_minus_50ms_rad,knee_err_minus_50ms_rad,ankle_pitch_err_touch_rad,ankle_roll_err_touch_rad,knee_peak_to_touchdown_sec,cmd_linear_x,cmd_linear_y,cmd_angular_z,clearance_at_minus_100ms_m,clearance_at_minus_20ms_m,attitude_dominant_axis,touchdown_attitude_type,touchdown_pitch_sign,touchdown_roll_sign,touchdown_dominant_abs_rad,ankle_tracking_dominant_axis,ankle_tracking_dominant_abs_rad,dominant_joint,orthogonal_joint,foot_axis_touch_rad,minus_100ms_raw_rad,minus_100ms_q_rad,minus_100ms_tau_raw,minus_100ms_tau_lpf,minus_100ms_q_err_rad,minus_100ms_orthogonal_raw_rad,minus_100ms_orthogonal_q_rad,minus_100ms_raw_flattening_intent,minus_100ms_tau_lpf_ratio,minus_50ms_raw_rad,minus_50ms_q_rad,minus_50ms_tau_raw,minus_50ms_tau_lpf,minus_50ms_q_err_rad,minus_50ms_orthogonal_raw_rad,minus_50ms_orthogonal_q_rad,minus_50ms_raw_flattening_intent,minus_50ms_tau_lpf_ratio,minus_20ms_raw_rad,minus_20ms_q_rad,minus_20ms_tau_raw,minus_20ms_tau_lpf,minus_20ms_q_err_rad,minus_20ms_orthogonal_raw_rad,minus_20ms_orthogonal_q_rad,minus_20ms_raw_flattening_intent,minus_20ms_tau_lpf_ratio,touch_raw_rad,touch_q_rad,touch_tau_raw,touch_tau_lpf,touch_q_err_rad,touch_orthogonal_raw_rad,touch_orthogonal_q_rad,touch_raw_flattening_intent,touch_tau_lpf_ratio,raw_flattening_intent_count,raw_flattening_intent_ratio,tau_lpf_ratio_mean,dominant_joint_tracking_err_max_rad,dominant_joint_tracking_err_touch_rad,axis_coupling_score_rad,effective_delay_sec,effective_delay_raw_rad,effective_delay_q_rad,effective_delay_tau_raw,effective_delay_tau_lpf,effective_delay_q_err_rad,effective_delay_orthogonal_raw_rad,effective_delay_orthogonal_q_rad,effective_delay_raw_flattening_intent,effective_delay_to_touch_tracking_err_rad,effective_delay_tau_lpf_ratio,delay_10ms_window_start_sec,delay_10ms_window_end_sec,delay_10ms_sample_count,delay_10ms_raw_flattening_intent_ratio,delay_10ms_tau_lpf_ratio_mean,delay_10ms_raw_to_touch_tracking_err_mean_rad,delay_10ms_raw_abs_mean_rad,delay_10ms_root_cause,delay_20ms_window_start_sec,delay_20ms_window_end_sec,delay_20ms_sample_count,delay_20ms_raw_flattening_intent_ratio,delay_20ms_tau_lpf_ratio_mean,delay_20ms_raw_to_touch_tracking_err_mean_rad,delay_20ms_raw_abs_mean_rad,delay_20ms_root_cause,delay_30ms_window_start_sec,delay_30ms_window_end_sec,delay_30ms_sample_count,delay_30ms_raw_flattening_intent_ratio,delay_30ms_tau_lpf_ratio_mean,delay_30ms_raw_to_touch_tracking_err_mean_rad,delay_30ms_raw_abs_mean_rad,delay_30ms_root_cause,delay_sweep_root_cause_sequence,delay_sweep_is_stable,three_layer_root_cause,three_layer_rationale,case_code,case_label,source_diag_csv
left,1778045425.1428285,84,1778045425.1428285,84,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,0,1,1,1,0,0.055134049956822695,0.019412266673803635,0.7465066500490195,0.20416954712721075,0.08157144036118649,-0.18716651434359655,1.5824177881502235,-0.011948927447018105,1.5823726739890043,-0.0935203678082046,1.7695391883326008,246,0.027829999999999966,-0.4746575,-0.33060579999999995,0.5932828090000001,0.22997665405273438,0.4,0.0,0.0,0.03621572141489138,0.007766380175666832,roll,roll_negative_dominant,positive,negative,0.18716651434359655,ankle_roll,0.5932828090000001,left_ankle_roll_joint,left_ankle_pitch_joint,-0.18716651434359655,-0.0183761,-0.0297309,0.377538,0.0297156,0.011354800000000002,-0.268074,-0.272939,0,nan,0.0873115,-0.00441444,2.67385,1.10222,0.09172594,-0.41,-0.316233,1,0.4122220767806721,0.340256,0.00874389,12.2559,5.32724,0.33151211,-0.41,-0.209977,0,0.43466738468819094,0.592979,-0.000303809,21.8229,13.3058,0.5932828090000001,-0.41,-0.0793942,1,0.6097173152972336,2.0,0.5,0.4855355922553655,0.5932828090000001,0.5932828090000001,0.08157144036118649,0.02,0.340256,0.00874389,12.2559,5.32724,0.33151211,-0.41,-0.209977,0,0.340559809,0.43466738468819094,1778045425.1228285,1778045425.1428285,3.0,0.3333333333333333,0.709710804972675,0.46410080900000006,0.463797,command_not_flat,1778045425.1128285,1778045425.1328285,2.0,0.0,0.5502841247167689,0.360625309,0.36032149999999996,command_not_flat,1778045425.1028285,1778045425.1228285,2.0,0.0,0.39051746824905675,0.29930180900000003,0.298998,command_not_flat,command_not_flat -> command_not_flat -> command_not_flat,1,command_not_flat,"with 20 ms actuation delay compensation, raw intent still does not move the dominant ankle joint toward reducing the baseline-corrected foot-frame residual",3505,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv
right,1778045425.452839,115,1778045425.452839,115,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag|early_knee_extension,0,0,1,1,0,0,0.042065672037506,0.019200306856629767,0.24651747696019996,0.08228754361746726,0.08154918304589569,-0.010998662607043519,1.5846078408912672,0.07930674927949778,-1.5826220170757141,-0.0022424337663979046,-1.5716233544686706,246,0.21947099999999997,-0.42310000000000003,-0.24223799999999998,-0.018328500000000005,0.2100048065185547,0.4,0.0,0.0,0.030972117095411145,0.007202869745991047,pitch,heel_first_like,positive,negative,0.08154918304589569,ankle_pitch,0.24223799999999998,right_ankle_pitch_joint,right_ankle_roll_joint,0.08154918304589569,-0.20845,-0.2334,0.570844,0.64071,0.02495,0.0413398,0.0308546,1,1.122390705691923,-0.313438,-0.225698,-2.68534,-1.10271,-0.08773999999999998,0.10661,0.0373107,0,0.41064073823054065,-0.41,-0.281883,-3.11331,-2.86662,-0.12811699999999998,0.211824,0.082068,0,0.9207627894427476,-0.41,-0.167762,-8.19829,-8.5156,-0.24223799999999998,0.0446118,0.0629403,0,1.038704412749488,1.0,0.25,0.8731246615286747,0.24223799999999998,0.24223799999999998,0.010998662607043519,0.02,-0.41,-0.281883,-3.11331,-2.86662,-0.12811699999999998,0.211824,0.082068,0,0.24223799999999998,0.9207627894427476,1778045425.432839,1778045425.452839,3.0,0.0,0.6553754206526032,0.24223799999999998,0.41,command_not_flat,1778045425.422839,1778045425.442839,1.0,0.0,0.4140355270001846,0.24223799999999998,0.41,command_not_flat,1778045425.412839,1778045425.432839,2.0,0.0,0.770991966806015,0.2363205,0.4040825,command_not_flat,command_not_flat -> command_not_flat -> command_not_flat,1,residual_not_large_enough,"baseline-corrected foot-frame residual is small, so touchdown-side three-layer cause is not treated as a blocker",3505,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv
left,1778045425.8128414,151,1778045425.8128414,151,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,0,1,1,1,0,0.053634200825131706,0.017392629966694217,0.7465109974242283,0.21360957441077,0.09305208590006761,-0.19227677860208892,1.5772624792458758,-0.0004682819081369781,1.577262409730512,-0.0935203678082046,1.7695391883326008,246,-0.11807400000000001,-0.406501,-0.26556499999999994,0.29463235,0.20000457763671875,0.4,0.0,0.0,0.03550780452967334,0.0039856654585683216,roll,roll_negative_dominant,positive,negative,0.19227677860208892,coupled,0.29463235,left_ankle_roll_joint,left_ankle_pitch_joint,-0.19227677860208892,-0.005518,-0.00780253,-0.00335506,0.0943293,0.00228453,-0.241205,-0.292572,0,nan,-0.0052849,-0.00241482,-0.10044,-0.00967134,-0.0028700800000000005,-0.265935,-0.237139,0,nan,0.0306162,-0.000482691,0.478914,0.056137,0.031098891,-0.41,-0.226862,1,nan,0.289728,-0.00490435,10.5586,1.96136,0.29463235,-0.41,-0.144435,1,0.1857594756880647,2.0,0.5,0.1857594756880647,0.29463235,0.29463235,0.09305208590006761,0.02,0.0306162,-0.000482691,0.478914,0.056137,0.031098891,-0.41,-0.226862,1,0.03552055,nan,1778045425.7928414,1778045425.8128414,2.0,0.5,0.1127395892290293,0.21608034999999998,0.21117599999999997,filter_delay,1778045425.7828414,1778045425.8028414,2.0,0.5,0.03971970276999389,0.08652445,0.0816201,filter_delay,1778045425.7728415,1778045425.7928414,2.0,1.0,nan,0.02086741,0.01596306,coupled_geometry,filter_delay -> filter_delay -> coupled_geometry,0,coupled_geometry,"after 20 ms delay compensation, residual touchdown attitude is more consistent with geometry/coupling than single-axis delay",3505,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv
right,1778045426.1128397,181,1778045426.1128397,181,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag,0,0,1,0,0,0,0.043320133071520994,0.01520969197302885,0.17507868588145678,0.032316035648866266,-0.0006844976378677951,-0.03230878553957961,1.6039348106076163,-0.0029269314042656997,-1.6039321400082502,-0.0022424337663979046,-1.5716233544686706,246,0.09601500000000007,-0.357917,0.488496,-0.0576521,0.19001483917236328,0.4,0.0,0.0,0.032631317229576795,0.005563492182350249,roll,roll_negative_dominant,negative,negative,0.03230878553957961,ankle_pitch,0.488496,right_ankle_roll_joint,right_ankle_pitch_joint,-0.03230878553957961,0.00511684,-0.00453729,0.220225,0.284571,0.00965413,-0.223554,-0.290372,1,nan,-0.00526391,-0.00306637,0.0249396,-0.216213,-0.00219754,-0.0202051,-0.192497,0,nan,0.0268781,-0.0051359,1.07323,0.128791,0.032014,0.0605064,-0.119894,1,0.1200031680068578,-0.0730147,-0.0153626,-1.90799,2.32822,-0.0576521,0.35,-0.138496,0,1.2202474855738237,2.0,0.5,0.6701253267903408,0.0576521,0.0576521,0.0006844976378677951,0.02,0.0268781,-0.0051359,1.07323,0.128791,0.032014,0.0605064,-0.119894,1,0.0422407,0.1200031680068578,1778045426.0928397,1778045426.1128397,3.0,0.6666666666666666,0.6074484108725938,0.0731527,0.06803183333333333,coupled_geometry,1778045426.0828397,1778045426.1028397,2.0,1.0,0.3010488735219789,0.080903,0.0655404,filter_delay,1778045426.0728397,1778045426.0928397,2.0,1.0,0.1858350748492993,0.03300932,0.017646719999999998,filter_delay,coupled_geometry -> filter_delay -> filter_delay,0,residual_not_large_enough,"baseline-corrected foot-frame residual is small, so touchdown-side three-layer cause is not treated as a blocker",3505,35/0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv
left,1778045945.938313,86,1778045945.938313,86,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag|early_knee_extension|tracking_lag,0,0,1,1,1,0,0.05546748637279619,0.017333992111716878,0.7543052690076908,0.19209635844685494,0.08505973054295363,-0.17223778089752173,1.5830421515855775,-0.0035584994597564735,1.583038152028652,-0.0886182300027101,1.7552759329261738,368,0.17440399999999995,-0.4267646,-0.3468559,0.5873202200000001,0.23000717163085938,0.4,0.0,0.0,0.03807251993617011,0.009222565882915035,roll,roll_negative_dominant,positive,negative,0.17223778089752173,ankle_roll,0.5873202200000001,left_ankle_roll_joint,left_ankle_pitch_joint,-0.17223778089752173,-0.0174266,-0.0291171,0.281995,0.0177832,0.0116905,-0.271084,-0.281884,0,nan,0.180726,0.00452296,3.84487,1.51041,0.17620304,-0.41,-0.327229,0,0.39283772923401833,0.355146,0.0177445,8.84215,4.01622,0.3374015,-0.41,-0.228354,0,0.4542130590410703,0.57908,-0.00824022,15.3361,10.2453,0.5873202200000001,-0.41,-0.0631441,1,0.6680511994574893,1.0,0.25,0.5050339959108593,0.5873202200000001,0.5873202200000001,0.08505973054295363,0.02,0.355146,0.0177445,8.84215,4.01622,0.3374015,-0.41,-0.228354,0,0.36338622000000004,0.4542130590410703,1778045945.918313,1778045945.938313,3.0,0.3333333333333333,0.7013159154784049,0.47919122,0.47095100000000006,command_not_flat,1778045945.908313,1778045945.928313,2.0,0.0,0.7179482734888627,0.42512672,0.4168865,command_not_flat,1778045945.898313,1778045945.918313,1.0,0.0,0.4542130590410703,0.36338622000000004,0.355146,command_not_flat,command_not_flat -> command_not_flat -> command_not_flat,1,command_not_flat,"with 20 ms actuation delay compensation, raw intent still does not move the dominant ankle joint toward reducing the baseline-corrected foot-frame residual",2504,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv
left,1778045946.6283128,155,1778045946.6283128,155,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag|early_knee_extension|tracking_lag,0,0,1,1,1,0,0.053724423880456895,0.019442668756334325,0.7543038530463647,0.1948855547831705,0.08700935794978591,-0.1743839186746019,1.5808928329250136,-0.0016088720529241968,1.5808920142515719,-0.0886182300027101,1.7552759329261738,368,0.00687500000000002,-0.4919821,-0.302834,0.42372286,0.210005521774292,0.4,0.0,0.0,0.03648413841793957,0.006399851874260953,roll,roll_negative_dominant,positive,negative,0.1743839186746019,ankle_roll,0.42372286,left_ankle_roll_joint,left_ankle_pitch_joint,-0.1743839186746019,-0.0213965,-0.0280226,0.168897,-0.0145903,0.006626100000000003,-0.257508,-0.281807,0,nan,0.0488164,-0.0154532,1.36568,0.615161,0.06426960000000001,-0.41,-0.289176,1,0.45044300275320714,0.264293,0.0108485,6.23189,2.28763,0.2534445,-0.41,-0.224695,0,0.36708446394272043,0.420612,-0.00311086,10.8312,6.47058,0.42372286,-0.41,-0.107166,1,0.5974019499224462,2.0,0.5,0.4716431388727913,0.42372286,0.42372286,0.08700935794978591,0.02,0.264293,0.0108485,6.23189,2.28763,0.2534445,-0.41,-0.224695,0,0.26740386,0.36708446394272043,1778045946.6083128,1778045946.6283128,2.0,0.5,0.5368131569562868,0.37998086,0.37687,filter_delay,1778045946.5983129,1778045946.6183128,2.0,0.0,0.42165441396642395,0.30182136,0.2987105,command_not_flat,1778045946.5883129,1778045946.6083128,2.0,0.0,0.41733917437176615,0.21059686,0.207486,command_not_flat,filter_delay -> command_not_flat -> command_not_flat,0,command_not_flat,"with 20 ms actuation delay compensation, raw intent still does not move the dominant ankle joint toward reducing the baseline-corrected foot-frame residual",2504,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv
right,1778045946.9583108,188,1778045946.9583108,188,kinematic_fk_hip,hip_knee_tracking_lag,hip_knee_tracking_lag|early_knee_extension,0,0,1,1,0,0,0.04089316169097723,0.013866431407114022,0.24002076684511375,0.007623189070542009,0.0031635826407460997,-0.006935759257673313,1.57823570215667,0.00026604262460187155,-1.578235679733315,-0.002897540016144228,-1.5712999204756417,368,0.23703700000000005,-0.37128999999999995,-0.241024,-0.13913016,0.2200009822845459,0.4,0.0,0.0,0.02871746573466616,0.0053019928690911655,roll,roll_negative_dominant,positive,negative,0.006935759257673313,ankle_pitch,0.241024,right_ankle_roll_joint,right_ankle_pitch_joint,-0.006935759257673313,0.0285457,0.0245593,0.0174085,0.220857,0.003986400000000001,-0.218549,-0.246159,0,nan,0.0916687,0.0328089,1.32046,0.369767,0.058859800000000004,-0.345771,-0.221611,0,0.28002892931251233,0.174748,0.0475485,2.7035,1.34983,0.1271995,-0.276222,-0.246275,0,0.4992898095061957,-0.145115,-0.00598484,-2.37686,3.5906,-0.13913016,-0.41,-0.168976,0,1.5106485026463483,0.0,0.0,0.7633224138216854,0.13913016,0.13913016,0.0031635826407460997,0.02,0.174748,0.0475485,2.7035,1.34983,0.1271995,-0.276222,-0.246275,0,0.18073283999999998,0.4992898095061957,1778045946.9383109,1778045946.9583108,3.0,0.0,1.008455983564986,0.14516154666666667,0.1431666,command_not_flat,1778045946.9283109,1778045946.9483109,2.0,0.0,0.7573597240243048,0.14817724,0.1421924,command_not_flat,1778045946.9183109,1778045946.9383109,2.0,0.0,0.4165425276052277,0.16258434,0.1565995,command_not_flat,command_not_flat -> command_not_flat -> command_not_flat,1,residual_not_large_enough,"baseline-corrected foot-frame residual is small, so touchdown-side three-layer cause is not treated as a blocker",2504,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv
left,1778045947.2983081,222,1778045947.3183627,224,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|foot_clearance_deficit|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,1,1,1,1,0,0.05644132041683558,0.008401030806505783,0.7400200520555236,0.20445676906793403,0.08799280719542736,-0.1845530717695234,1.5707229856705547,-0.0006254228072827479,1.5707228611566504,-0.0886182300027101,1.7552759329261738,368,-0.10517700000000002,-0.29973299999999997,-0.11360400000000001,0.3697531,0.22005510330200195,0.4,0.0,0.0,0.031234510875050914,-0.00292072433331797,roll,roll_negative_dominant,positive,negative,0.1845530717695234,ankle_roll,0.3697531,left_ankle_roll_joint,left_ankle_pitch_joint,-0.1845530717695234,0.00426828,0.00150252,0.0385471,0.00296889,0.00276576,-0.21296,-0.289187,0,nan,-0.0198217,-0.00324382,-0.272575,-0.374168,-0.01657788,-0.345788,-0.230921,0,nan,0.33224,-0.0102215,8.70044,0.952383,0.3424615,-0.331808,-0.170441,1,0.1094637742459002,0.356299,-0.0134541,9.27273,7.5903,0.3697531,-0.30918,-0.195576,1,0.818561523952493,2.0,0.5,0.4640126490991966,0.3697531,0.3697531,0.08799280719542736,0.02,0.33224,-0.0102215,8.70044,0.952383,0.3424615,-0.331808,-0.170441,1,0.3456941,0.1094637742459002,1778045947.2983627,1778045947.3183627,2.0,1.0,0.5982600356460599,0.3933046,0.3798505,tracking_lag,1778045947.2883627,1778045947.3083627,2.0,1.0,0.2437111607927635,0.3812751,0.36782099999999995,filter_delay,1778045947.2783628,1778045947.2983627,2.0,1.0,0.0649674397146224,0.22173655,0.20828244999999998,filter_delay,tracking_lag -> filter_delay -> filter_delay,0,filter_delay,"with 20 ms delay compensation, lpf torque path is still attenuated before touchdown response should arrive",2504,25/0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv
left,1778046113.9219964,92,1778046113.9219964,92,kinematic_fk_hip,large_foot_frame_residual_touchdown,large_foot_frame_residual_touchdown|hip_knee_tracking_lag|early_knee_extension|tracking_lag,1,0,1,1,1,0,0.05059828818107298,0.012777790312001047,0.7596100395611395,0.23346199251692526,0.08562284144317271,-0.21719399386992766,1.574480394633448,-0.0037459512817342366,1.5744759385059186,-0.08936879272490694,1.7916699323758463,278,-0.054947000000000024,-0.39578199999999997,-0.276567,0.44375315,0.2100207805633545,0.4,0.0,0.0,0.03410845608473334,0.004981587024710021,roll,roll_negative_dominant,positive,negative,0.21719399386992766,ankle_roll,0.44375315,left_ankle_roll_joint,left_ankle_pitch_joint,-0.21719399386992766,-0.0141012,-0.0156051,0.0636663,-0.0855755,0.0015039000000000007,-0.240871,-0.283601,0,nan,-0.00467401,-0.0124658,0.305369,0.0208184,0.007791790000000001,-0.41,-0.253239,0,nan,0.112094,0.00843573,3.59101,0.0526469,0.10365827,-0.41,-0.209064,0,0.014660750039682431,0.440019,-0.00373415,17.7258,6.99579,0.44375315,-0.41,-0.133433,1,0.3946670954202349,1.0,0.25,0.20466392272995867,0.44375315,0.44375315,0.08562284144317271,0.02,0.112094,0.00843573,3.59101,0.0526469,0.10365827,-0.41,-0.209064,0,0.11582815,0.014660750039682431,1778046113.9019964,1778046113.9219964,3.0,1.0,0.35828047754249415,0.27985715,0.27612299999999995,filter_delay,1778046113.8919964,1778046113.9119964,1.0,1.0,0.20341154589324936,0.17635214999999999,0.172618,filter_delay,1778046113.8819964,1778046113.9019964,1.0,0.0,0.014660750039682431,0.11582815,0.112094,command_not_flat,filter_delay -> filter_delay -> command_not_flat,0,command_not_flat,"with 20 ms actuation delay compensation, raw intent still does not move the dominant ankle joint toward reducing the baseline-corrected foot-frame residual",4005,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv
right,1778046114.241992,124,1778046114.2519724,125,kinematic_fk_hip,foot_clearance_deficit,foot_clearance_deficit|hip_knee_tracking_lag|early_knee_extension,0,1,1,1,0,0,0.045647822506753755,0.004637501811934064,0.202462592909792,0.00915247060423261,0.009051756746068815,-0.0013540376550671418,1.573430721998277,0.005160027387807434,-1.5734222608840185,-0.0038917293582613824,-1.5720682232289513,278,0.26619,-0.258253,0.289549,-0.2038536,0.2199547290802002,0.4,0.0,0.0,0.028906331538121333,-0.006416830267261142,pitch,heel_first_like,positive,negative,0.009051756746068815,ankle_pitch,0.289549,right_ankle_pitch_joint,right_ankle_roll_joint,0.009051756746068815,-0.17105,-0.234576,1.83306,1.45103,0.063526,0.00842684,0.0102071,1,0.7915889278037818,-0.0247136,-0.105211,1.95354,2.46063,0.0804974,0.0720638,0.0114381,1,1.2595749255198256,0.131903,-0.102033,12.5065,2.43148,0.23393599999999998,0.0798224,0.0021622,1,0.19441730300243873,0.106316,-0.183233,12.1318,15.1304,0.289549,-0.225397,-0.0215434,1,1.2471685982294465,4.0,1.0,0.8731874386388732,0.289549,0.289549,0.0013540376550671418,0.02,0.131903,-0.102033,12.5065,2.43148,0.23393599999999998,0.0798224,0.0021622,1,0.31513599999999997,0.19441730300243873,1778046114.2319725,1778046114.2519724,3.0,1.0,0.9018069830771333,0.34992333333333336,0.1666903333333333,tracking_lag,1778046114.2219725,1778046114.2419724,2.0,1.0,0.2593680799312106,0.389592,0.206359,filter_delay,1778046114.2119725,1778046114.2319725,1.0,1.0,0.19441730300243873,0.31513599999999997,0.131903,filter_delay,tracking_lag -> filter_delay -> filter_delay,0,residual_not_large_enough,"baseline-corrected foot-frame residual is small, so touchdown-side three-layer cause is not treated as a blocker",4005,40/0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv
