dataset,case_label,kp,kd,file,side,axis,reference_col,ref_valid_ratio,duration_s,fs_hz,n_td,frf_gain_at_fn_swing,frf_coherence_swing,zeta_frf_swing,fn_frf_swing_hz,n_swing_segs,damping_status,tracking_lag_ms,xcorr_coeff,range_gain_phase,fn_swing_hz,fn_swing_prominence,fn_swing_n_windows,fn_swing_resolution_hz,fn_stance_hz,fn_stance_prominence,fn_frf_hz,zeta_theory,G_fn,zeta_frf,coh_at_fn,zeta_hat,zeta_hat_r2,zeta_hat_n_events,zeta_hat_n_total,zeta_hat_n_forced,zeta_BW,zeta_BW_peak_hz,fn_stance_n_windows,fn_full_hz,fn_full_prominence,fn_equiv_BW_hz,Mr_theory,PM_theory_deg,PM_frf_deg,tau_theory_ms,tau_frf_ms,fn_theory_hz,e_rms_rad,e_rms_swing_rad,e_rms_stance_rad,amplitude_gain_swing_median,amplitude_gain_swing_std,amplitude_gain_swing_n_valid,amplitude_gain_td_median,amplitude_gain_td_std,amplitude_gain_td_n_valid,n_self_excite_swing,n_self_excite_td,delay_ms_median,delay_ms_iqr,delay_corr_median,delay_n_valid,delay_n_total,delay_phase_loss_at_fn_deg,transfer_gain,transfer_phase_deg,transfer_coherence,A_peak,A_peak_n_events,target_dir_chg_swing_hz,target_dir_chg_td_hz,joint_dir_chg_swing_hz,joint_dir_chg_td_hz,jeff_hat,DeltaLR_e_rms_rad,DeltaLR_e_rms_swing_rad,DeltaLR_e_rms_stance_rad,DeltaLR_fn_swing_hz,DeltaLR_zeta_hat,DeltaLR_amplitude_gain_swing_median,DeltaLR_delay_ms_median
sim,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,left,pitch,pos_des_raw_left_ankle_pitch_joint,1.0,15.52579,100.0064,40,0.24913,0.23034,2.00696,4.00026,21,unknown_low_gain,-149.9904,0.90152,0.33764,3.22601,1.33371,15,2.3811,3.26108,7.65862,2.25014,0.13603,0.19149,2.61113,0.94635,,,0,40,39,0.03409,2.83158,39,2.75018,30.93731,2.83323,3.71008,15.49045,261.113,386.0,20.10949,3.03103,0.27347,0.26875,0.28614,0.33764,0.26822,15,0.27292,0.16518,40,0,1,-149.9904,259.98336,0.90152,40,40,174.19355,0.18517,-144.83626,0.87483,2.33519,39,20.00128,18.28074,10.00064,11.95729,0.1751,1.07233,1.03194,1.14695,0.77419,,0.50807,
sim,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,left,roll,pos_des_raw_left_ankle_roll_joint,1.0,15.52579,100.0064,40,0.24249,0.42832,2.06191,3.50022,21,overdamped,19.99872,0.84404,0.14466,3.22601,1.15291,15,2.3811,3.26108,4.67868,2.50016,0.13603,0.79585,0.62826,0.99505,,,0,40,39,0.03409,2.83158,39,2.75018,81.66497,2.83323,3.71008,15.49045,62.82568,386.0,83.57809,3.03103,0.19594,0.21733,0.11782,0.14466,0.07426,15,0.53008,0.10304,40,0,0,19.99872,342.47808,0.84404,40,40,23.22581,0.80049,-82.16847,0.978,0.48344,39,19.04884,28.57326,6.66709,17.39242,0.14183,1.41107,1.65581,0.80661,0.77419,,2.11839,-0.13793
sim,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,right,pitch,pos_des_raw_right_ankle_pitch_joint,1.0,15.52579,100.0064,44,0.33937,0.47226,1.47331,1.25008,38,overdamped,0.0,0.78377,0.66456,4.16693,1.0,1,4.16693,3.26108,2.95415,3.25021,0.13603,0.23671,2.11231,0.83265,,,0,44,43,0.03409,2.83158,43,2.75018,16.96427,2.83323,3.71008,15.49045,211.23055,386.0,24.85839,3.03103,0.25503,0.26044,0.24948,0.66456,0.0,1,0.42658,0.09095,44,0,0,0.0,29.99808,0.78377,44,44,0.0,0.36607,136.627,0.93308,3.44007,42,25.0016,27.47429,16.66773,9.2875,0.08392,1.07233,1.03194,1.14695,0.77419,,0.50807,
sim,35/0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,right,roll,pos_des_raw_right_ankle_roll_joint,0.99936,15.52579,100.0064,44,0.04212,0.16533,10.0,5.00032,38,unknown_low_gain,-144.99072,0.78194,0.06829,4.16693,1.0,1,4.16693,4.3481,2.97738,4.25027,0.13603,0.03003,10.0,0.97333,,,0,44,43,0.02239,4.31451,43,4.25027,33.94601,4.31559,3.71008,15.49045,1000.0,386.0,5.25085,3.03103,0.13886,0.13125,0.14607,0.06829,0.0,1,0.14669,0.08442,44,0,0,-144.99072,239.98464,0.78194,44,44,217.5,0.18131,-66.10791,0.92918,1.61105,42,16.66773,30.43673,25.0016,20.6535,0.04908,1.41107,1.65581,0.80661,0.77419,,2.11839,-0.13793
sim,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,pitch,pos_des_raw_left_ankle_pitch_joint,1.0,14.86528,100.00128,42,0.22389,0.30424,2.23327,3.75005,17,unknown_low_gain,-74.99904,0.60106,0.6631,3.22585,1.17774,1,3.22585,3.26091,6.42571,0.75001,0.12876,0.20337,2.45859,0.89154,,,0,42,41,0.03488,2.88982,41,2.75004,28.60356,2.89158,3.91565,14.67259,245.8587,482.5,25.27017,2.56169,0.28807,0.31129,0.25838,0.6631,0.0,1,0.28333,0.13608,42,0,0,-74.99904,259.99667,0.60106,42,42,87.09677,0.14843,-164.50169,0.88771,2.40646,41,32.25848,25.68117,9.67754,9.43688,1.12576,1.1657,1.08292,1.33021,,,,-3.75
sim,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,left,roll,pos_des_raw_left_ankle_roll_joint,1.0,14.86528,100.00128,42,0.42244,0.40422,1.18359,2.25003,17,overdamped,44.99942,0.82241,0.12714,3.22585,1.35355,1,3.22585,3.26091,4.62479,2.00003,0.12876,0.41107,1.21634,0.80068,,,0,42,41,0.03571,2.82262,41,2.75004,57.52887,2.82442,3.91565,14.67259,121.63371,482.5,51.07868,2.56169,0.26034,0.28968,0.22128,0.12714,0.0,1,0.30745,0.05344,42,0,0,44.99942,199.99744,0.82241,42,42,52.25806,0.46058,-103.24977,0.93645,1.32243,41,35.48433,32.60911,6.4517,14.05464,0.15831,1.43048,1.61313,1.19882,,,,
sim,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,pitch,pos_des_raw_right_ankle_pitch_joint,0.99933,14.86528,100.00128,41,,,,,0,unknown,19.99974,0.75717,,,,0,,3.26091,3.83316,2.50003,0.12876,0.14247,3.50959,0.87378,,,0,41,41,0.03571,2.82451,41,2.75004,17.7166,2.82632,3.91565,14.67259,350.95945,482.5,17.70259,2.56169,0.24712,0.28745,0.19424,,,0,0.34263,0.07191,41,0,0,19.99974,199.99744,0.75717,41,41,,0.17644,-50.32461,0.97077,2.24789,41,,32.25848,,6.59349,0.10132,1.1657,1.08292,1.33021,,,,-3.75
sim,25/0.4,25.0,0.4,t27_tracking_lag_b1_diag_20260506_133905_2504.csv,right,roll,pos_des_raw_right_ankle_roll_joint,0.99933,14.86528,100.00128,41,,,,,0,unknown,0.0,0.79737,,,,0,,4.34788,3.00354,4.00005,0.12876,0.19635,2.54643,0.7965,,,0,41,41,0.02344,4.30402,41,4.25005,31.34516,4.30521,3.91565,14.67259,254.64314,482.5,24.39842,2.56169,0.182,0.17957,0.18458,,,0,0.1177,0.05986,41,0,0,0.0,259.99667,0.79737,41,41,,0.07333,-54.62487,0.75201,1.29502,41,,29.3482,,13.63654,0.03958,1.43048,1.61313,1.19882,,,,
sim,40/0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,left,pitch,pos_des_raw_left_ankle_pitch_joint,0.99946,18.39806,100.00128,33,0.3542,0.50618,1.41162,3.75005,33,overdamped,-229.99706,1.31268,0.3002,3.22585,1.51152,24,2.32561,3.26091,8.76574,3.00004,0.12725,0.14651,3.41284,0.9958,,,0,33,33,0.0283,2.88047,33,2.75004,54.27592,2.88163,3.96158,14.50157,341.28358,386.0,14.3919,3.24031,0.2745,0.27157,0.286,0.3002,0.117,24,0.27455,0.02649,33,0,0,-229.99706,49.99936,1.31268,33,33,267.09677,0.17585,-129.61253,0.88924,2.31195,32,9.30244,19.56547,6.97683,14.13062,0.11258,1.10628,1.15389,1.08524,0.80645,,0.5309,23.0
sim,40/0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,left,roll,pos_des_raw_left_ankle_roll_joint,0.99946,18.39806,100.00128,33,0.28698,0.54889,1.74228,1.25002,33,overdamped,99.99872,0.83495,0.2542,3.22585,1.32395,24,2.32561,3.26091,4.59291,4.50006,0.12725,0.81363,0.61453,0.98558,,,0,33,32,0.0283,2.88047,33,2.75004,70.39424,2.88163,3.96158,14.50157,61.4527,386.0,79.92685,3.24031,0.17275,0.1868,0.09707,0.2542,0.04386,24,0.6645,0.08846,33,0,0,99.99872,89.99885,0.83495,33,33,116.12903,0.84033,-66.64189,0.99495,0.5154,32,13.95367,27.17426,9.30244,16.30456,0.05003,1.27437,1.60991,0.61832,0.80645,,2.59363,
