dataset,case_label,kp,kd,axis,ref_valid_ratio,e_rms_rad,e_rms_swing_rad,e_rms_stance_rad,frf_gain_at_fn_swing,frf_coherence_swing,zeta_frf_swing,fn_frf_swing_hz,fn_swing_hz,fn_stance_hz,fn_full_hz,fn_frf_hz,zeta_theory,zeta_hat,zeta_hat_r2,zeta_BW,zeta_frf,G_fn,coh_at_fn,Mr_theory,PM_theory_deg,PM_frf_deg,tau_theory_ms,tau_frf_ms,fn_theory_hz,amplitude_gain_swing_median,amplitude_gain_td_median,range_gain_phase,delay_ms_median,tracking_lag_ms,delay_phase_loss_at_fn_deg,transfer_gain,transfer_coherence,A_peak,jeff_hat,n_td,n_swing_segs,n_self_excite_swing,n_self_excite_td,delay_n_valid,zeta_hat_n_events,zeta_hat_n_forced,damping_risk
real,20260429_161248,0.0,0.0,pitch,1.0,0.28615,0.27881,0.31341,,,,,4.09699,3.26087,2.875,,,0.09104,0.28931,0.0142,,,,,,,,,,0.23497,0.95952,0.23497,95.0,95.0,146.88963,0.35164,0.34177,1.96369,,147,77,5,2,140,2,123,unknown
real,20260429_161248,0.0,0.0,roll,1.0,0.26123,0.27377,0.21571,,,,,4.09699,3.80435,3.625,,,,,0.0142,,,,,,,,,,0.59766,0.33665,0.59766,7.5,7.5,10.38462,0.62666,0.24458,1.82902,,147,77,3,0,147,0,147,unknown
real,25/0.4,25.0,0.4,pitch,1.0,0.32211,0.31938,0.31442,0.21816,0.07911,2.29426,,3.4561,3.29683,2.75011,4.25016,0.12876,,,0.03704,3.59149,0.14383,0.20151,3.91565,14.67259,359.14907,482.5,17.87161,2.56169,0.4422,0.58191,0.4422,94.99635,94.99635,113.37793,0.08381,0.06564,1.73585,0.03542,44,20,0,0,44,0,44,safe
real,25/0.4,25.0,0.4,roll,1.0,0.29748,0.26174,0.29539,0.48154,0.16335,1.24667,4.50017,3.4561,3.8463,2.75011,3.25012,0.12876,,,0.03095,3.48612,0.14452,0.16845,3.91565,14.67259,348.61236,482.5,17.9574,2.56169,2.25121,0.47603,2.25121,49.99808,49.99808,68.62876,0.13158,0.11085,1.85484,0.05995,44,20,5,1,44,0,44,safe
real,30/0.4,30.0,0.4,pitch,1.0,0.31619,0.24544,0.38231,0.49115,0.05005,1.64234,4.75024,3.04008,3.26104,2.87515,2.0001,0.11755,0.08892,0.27491,0.01453,1.36411,0.36667,0.2153,4.28337,13.40692,136.41121,482.5,41.59208,2.80619,1.10377,0.98016,1.10377,0.0,0.0,0.0,0.51872,0.20871,2.07347,0.18996,38,19,0,0,34,1,36,safe
real,30/0.4,30.0,0.4,roll,1.0,0.36648,0.24185,0.37028,0.53989,0.12178,1.257,,4.35594,3.80454,3.50018,,0.11755,,,0.01453,4.33572,0.44077,0.27418,4.28337,13.40692,433.57213,482.5,49.99715,2.80619,1.01028,0.42617,1.01028,-9.99949,-9.99949,12.41379,0.72771,0.18914,1.60093,,38,19,1,0,37,0,38,safe
real,35/0.5,35.0,0.5,pitch,1.0,0.46397,0.44786,0.32774,0.14729,0.10489,5.97259,4.62506,4.27757,3.27883,3.50004,3.50004,0.13603,,,0.01587,4.16504,0.1507,0.5464,3.71008,15.49045,416.50424,386.0,15.82581,3.03103,0.07786,0.23959,0.07786,99.99872,99.99872,153.99061,0.00147,0.00901,1.30243,0.07237,18,7,0,1,13,0,18,safe
real,35/0.5,35.0,0.5,roll,1.0,0.24305,0.17805,0.28311,0.26887,0.39226,2.27971,4.00005,2.8691,3.27883,3.50004,3.75005,0.13603,,,0.01587,5.23854,0.24878,0.51292,3.71008,15.49045,523.85408,386.0,26.12574,3.03103,0.31986,0.26712,0.31986,-59.99923,-59.99923,103.28638,0.07367,0.10099,1.57429,0.06304,18,7,0,0,14,0,18,safe
real,40/0.8,40.0,0.8,pitch,1.0,0.31623,0.21608,0.38761,0.3335,0.28411,2.78139,4.62541,4.22412,3.27908,2.62524,3.62532,0.20359,0.17807,0.7739,0.05556,1.38156,0.70267,0.80668,2.5084,22.99647,138.15596,241.25,69.02632,3.24031,2.99494,0.51952,2.99494,49.99552,49.99552,76.0274,0.2856,0.20038,1.48311,0.07737,21,8,1,0,21,1,20,safe
real,40/0.8,40.0,0.8,roll,1.0,0.21419,0.25752,0.19264,1.33141,0.35125,0.64018,3.75034,3.53913,5.46513,4.00036,4.37539,0.20359,,,0.04607,2.33485,1.05721,0.41877,2.5084,22.99647,233.48473,241.25,103.85395,3.24031,9.05087,0.76034,9.05087,-29.99731,-29.99731,83.21918,0.30493,0.16899,1.99138,0.05628,21,8,1,6,21,0,21,low
