dataset,case_label,diag_csv,step_index,touchdown_side,window,side,axis,touchdown_time_sec,lag_samples,lag_ms,corr,tracking_lag_ms,xcorr_coeff,range_gain_phase,joint_vel_rms_radps,target_vel_rms_radps,velocity_self_excitation_ratio,joint_lock_flag,raw_sample_count,aligned_sample_count,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,joint_hp_rms_rad,joint_direction_change_rate_hz,target_direction_change_rate_hz,joint_extrema_rate_hz,joint_dominant_freq_hz,target_dominant_freq_hz,f_modal_candidate_hz,freq_gap_hz,amplitude_gain,aligned_tracking_err_rms_rad,aligned_tracking_err_hp_rms_rad,aligned_tracking_err_path_rad,step_risk_score,step_accumulation_score,risk_tags,overall_status
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,roll,1777514424.878831,5,49.997568130493164,0.63124208682104,49.997568130493164,0.63124208682104,0.10033962093951682,0.6214375104908355,5.9462394004122405,0.10450933247789393,0,33,28,0.6296726,0.06318111,1.1389901999999998,0.13788741000000004,0.0034327809996890376,11.11165155284275,22.2233031056855,11.11165155284275,7.143204569684625,3.5716022848423123,3.5716022848423123,0.0,0.10033962093951682,0.3278422431567948,0.030864361101652412,1.0886758099999998,60.0,1,high_tracking_err;joint_lock;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,left,pitch,1777514424.878831,1,9.999513626098633,0.37100133007605074,9.999513626098633,0.37100133007605074,0.4916540666589767,2.250964595067339,11.45109050425249,0.19657207269747964,0,33,32,0.641534,0.3154128,1.8624379999999998,0.38745149999999995,0.008561454442966058,6.451926708102242,35.48559689456233,6.451926708102242,3.1251519992370236,3.1251519992370236,3.1251519992370236,0.0,0.4916540666589767,0.18946439496899398,0.0758453096940124,1.8597189000000005,60.0,1,high_tracking_err;joint_lock;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,right,roll,1777514424.878831,20,199.99027252197266,0.6683149379550061,199.99027252197266,0.6683149379550061,0.0887686450167973,0.4086000528255331,2.909291762462512,0.14044657125749455,1,33,13,0.22325,0.019817599999999998,0.239473,0.039303199999999996,0.0028623283815818134,16.667477329264123,25.00121599389619,8.333738664632062,7.69268184427575,7.69268184427575,7.69268184427575,0.0,0.0887686450167973,0.2914091396352439,0.018590204713791265,0.2472608000000001,60.0,1,high_tracking_err;joint_lock;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,right,pitch,1777514424.878831,12,119.9941635131836,0.7562918049974321,119.9941635131836,0.7562918049974321,0.07599868421052632,0.4378107450783652,11.471284514518585,0.03816579952526256,0,33,21,0.76,0.057759000000000005,1.688488,0.07021700000000003,0.0021715577696691797,15.000729596337713,20.00097279511695,5.000243198779238,4.76213637978975,4.76213637978975,4.76213637978975,0.0,0.07599868421052632,0.2993052436044458,0.0645983264620592,1.6886789999999998,60.0,1,high_tracking_err;joint_lock;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,left,roll,1777514424.878831,0,0.0,0.011432187782624845,0.0,0.011432187782624845,0.6278091876680817,1.3829404211244012,2.2946141326034777,0.6026897513941971,0,15,15,0.272561,0.1711163,0.27501500000000006,0.1711163,0.005091058419078019,0.0,14.28640913936925,0.0,6.66699093170565,6.66699093170565,6.66699093170565,0.0,0.6278091876680817,0.42375999989851104,0.016448718390448716,0.44367730000000005,60.0,1,high_tracking_err;joint_lock;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,left,pitch,1777514424.878831,4,39.99805450439453,-0.18218788742653622,39.99805450439453,-0.18218788742653622,0.40061137843192757,2.2000078808995345,8.713763536823256,0.2524750495698651,0,15,11,0.5299499999999999,0.212304,0.6526807999999998,0.21230400000000002,0.008376968693234833,0.0,30.001459192675426,0.0,9.091351270507705,9.091351270507705,9.091351270507705,0.0,0.40061137843192757,0.16322496982258455,0.05892095501466424,0.6359148000000001,60.0,1,high_tracking_err;joint_lock;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,right,roll,1777514424.878831,2,19.999027252197266,0.06530354589484849,19.999027252197266,0.06530354589484849,1.586465575857868,1.1785484834668298,1.0493425207915945,1.1231303984305963,0,15,13,0.08544729999999999,0.1355592,0.09660039999999998,0.13555920000000002,0.004612881063295682,0.0,25.00121599389619,0.0,7.69268184427575,7.69268184427575,7.69268184427575,0.0,1.586465575857868,0.02538289145098601,0.0052668318648968915,0.09655914000000002,60.0,1,high_tracking_err;joint_lock;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,right,pitch,1777514424.878831,4,39.99805450439453,-0.3471114450999301,39.99805450439453,-0.3471114450999301,0.18799107617125244,0.8353948443191082,3.4275939189530202,0.24372631766550826,0,15,11,0.23532499999999998,0.04423899999999997,0.27793,0.07209099999999996,0.005713974335289196,10.000486397558475,30.001459192675426,10.000486397558475,9.091351270507705,9.091351270507705,9.091351270507705,0.0,0.18799107617125244,0.11956177802025042,0.02111303179747132,0.3058329999999999,60.0,1,high_tracking_err;joint_lock;risk,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,left,roll,1777514425.088886,13,129.99367713928223,0.303137596433407,129.99367713928223,0.303137596433407,0.695959511276039,1.3803941212543098,4.290787813060527,0.3217111125962913,0,33,20,0.22663100000000003,0.157726,0.5563330000000002,0.23300430000000005,0.005566543453999746,5.263413893451829,31.580483360710975,0.0,5.000243198779238,5.000243198779238,5.000243198779238,0.0,0.695959511276039,0.40174946946485635,0.034169286495963,0.5267537000000001,30.0,1,high_tracking_err;warn,fail
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,left,pitch,1777514425.088886,5,49.997568130493164,0.48544204859306317,49.997568130493164,0.48544204859306317,0.553811114256062,1.5958217809479476,10.50952478860218,0.15184528444888895,0,33,28,0.5299499999999999,0.29349220000000004,1.6966228,0.35937720000000006,0.005971369747246729,3.7038838509475833,25.927186956633083,3.7038838509475833,3.5716022848423123,3.5716022848423123,3.5716022848423123,0.0,0.553811114256062,0.2518192279384952,0.06276927029984217,1.6669188,30.0,1,high_tracking_err;warn,fail
