dataset,case_label,side,axis,phase,n_samples,duration_sec,pos_peak1_hz,pos_peak1_amp,pos_peak2_hz,pos_peak2_amp,pos_peak3_hz,pos_peak3_amp,pos_energy_2-4Hz,pos_energy_4-8Hz,pos_energy_8-15Hz,pos_energy_15-20Hz,pos_osc_rad,des_peak1_hz,des_peak1_amp,des_peak2_hz,des_peak2_amp,des_peak3_hz,des_peak3_amp,des_energy_2-4Hz,des_energy_4-8Hz,des_energy_8-15Hz,des_energy_15-20Hz,des_osc_rad,err_peak1_hz,err_peak1_amp,err_peak2_hz,err_peak2_amp,err_peak3_hz,err_peak3_amp,err_energy_2-4Hz,err_energy_4-8Hz,err_energy_8-15Hz,err_energy_15-20Hz,err_osc_rad
real,25/0.4 all_ankles,left,pitch,all,1419,14.19,0.634,0.02618,0.705,0.02517,0.564,0.02396,0.0521,0.0192,0.0024,0.0001,0.12065,1.409,0.06059,2.889,0.05993,1.48,0.05719,0.2301,0.0779,0.0431,0.0086,0.32128,2.889,0.07499,2.819,0.06065,1.409,0.05869,0.2575,0.087,0.0427,0.0082,0.32276
real,25/0.4 all_ankles,left,pitch,swing,1143,11.43,0.787,0.01613,1.4,0.0151,0.7,0.01456,0.086,0.0194,0.0049,0.0006,0.11195,1.487,0.09069,2.887,0.07422,2.8,0.07371,0.3518,0.0984,0.0626,0.0108,0.32643,1.487,0.08306,2.887,0.07969,2.8,0.07065,0.339,0.0931,0.0584,0.0098,0.32299
real,25/0.4 all_ankles,left,pitch,stance,276,2.76,2.536,0.03686,1.449,0.03183,0.725,0.0291,0.0784,0.0421,0.0444,0.0063,0.13691,2.536,0.03408,5.073,0.0334,2.174,0.03107,0.0213,0.0196,0.0102,0.0061,0.19673,2.536,0.07093,2.174,0.0559,1.449,0.05515,0.1458,0.0566,0.0535,0.0135,0.27898
real,25/0.4 all_ankles,left,roll,all,1419,14.19,1.48,0.00966,1.409,0.00938,4.228,0.00896,0.1359,0.2221,0.0229,0.0009,0.05816,1.409,0.08353,1.339,0.05437,1.55,0.04801,0.1752,0.0481,0.0144,0.0042,0.27771,1.409,0.07435,1.339,0.04793,2.819,0.04297,0.1875,0.0751,0.0162,0.0042,0.28278
real,25/0.4 all_ankles,left,roll,swing,1143,11.43,5.075,0.0101,4.987,0.00972,5.162,0.00948,0.0271,0.2385,0.0239,0.0023,0.05554,2.712,0.06301,2.8,0.06182,1.487,0.05194,0.3108,0.0653,0.0226,0.0036,0.28121,2.712,0.06393,2.8,0.05989,1.487,0.04768,0.2693,0.0704,0.0209,0.0031,0.28829
real,25/0.4 all_ankles,left,roll,stance,276,2.76,2.536,0.02057,2.899,0.0157,4.71,0.01313,0.1839,0.1124,0.038,0.0273,0.06747,2.899,0.08507,2.536,0.08479,3.261,0.06025,0.3292,0.0696,0.0306,0.0092,0.20164,2.536,0.07424,2.899,0.07063,3.261,0.05717,0.3886,0.0801,0.0475,0.0127,0.18942
real,25/0.4 all_ankles,right,pitch,all,1419,14.19,1.409,0.05084,1.48,0.04374,1.339,0.04118,0.0664,0.0175,0.0015,0.0,0.13591,1.48,0.08025,1.409,0.07972,2.819,0.05809,0.2027,0.0779,0.0193,0.0066,0.28589,1.339,0.09841,1.409,0.09287,2.819,0.0668,0.257,0.0871,0.0206,0.0061,0.32006
real,25/0.4 all_ankles,right,pitch,swing,536,5.36,1.679,0.11071,1.866,0.10385,1.493,0.05888,0.0738,0.0136,0.0027,0.0002,0.18164,2.052,0.04567,1.866,0.03785,2.239,0.03133,0.0508,0.0172,0.0098,0.0024,0.22987,1.679,0.12189,1.866,0.08519,1.493,0.08423,0.1723,0.0372,0.0189,0.0035,0.30722
real,25/0.4 all_ankles,right,pitch,stance,883,8.83,2.605,0.00444,2.718,0.00428,2.492,0.00415,0.0042,0.0127,0.0066,0.0022,0.09551,1.472,0.12024,2.831,0.11413,1.359,0.10775,0.3975,0.1386,0.0268,0.0058,0.30592,1.472,0.12343,2.831,0.11419,1.359,0.10559,0.3752,0.1349,0.0275,0.0058,0.32342
real,25/0.4 all_ankles,right,roll,all,1419,14.19,3.806,0.02259,4.158,0.02177,3.876,0.02107,0.3989,0.4671,0.0109,0.001,0.09156,1.409,0.09772,1.48,0.08016,2.889,0.0584,0.1414,0.0389,0.0118,0.002,0.23348,1.409,0.09037,1.48,0.07462,2.889,0.05469,0.1547,0.0955,0.0124,0.0019,0.24515
real,25/0.4 all_ankles,right,roll,swing,536,5.36,5.038,0.05361,4.851,0.04305,5.224,0.04197,0.1506,0.6963,0.0332,0.0024,0.13222,1.866,0.08126,1.679,0.06726,3.731,0.02334,0.0636,0.03,0.0281,0.0068,0.17912,1.866,0.07501,1.679,0.05365,5.038,0.05345,0.1043,0.3489,0.0495,0.0055,0.20348
real,25/0.4 all_ankles,right,roll,stance,883,8.83,1.586,0.00358,1.472,0.00351,1.699,0.0035,0.0511,0.1366,0.0417,0.0106,0.05066,2.831,0.10247,1.472,0.08094,1.359,0.07895,0.2088,0.0541,0.0167,0.0014,0.25255,2.831,0.1009,1.472,0.08095,1.359,0.07578,0.187,0.0491,0.0147,0.0013,0.25403
real,30/0.4 all_ankles,left,pitch,all,2415,24.15,1.408,0.01233,1.449,0.01207,1.367,0.01098,0.0622,0.0062,0.0012,0.0,0.11911,1.449,0.02331,1.408,0.02219,2.857,0.02214,0.0045,0.008,0.0024,0.0005,0.08625,1.449,0.03503,1.408,0.02112,4.265,0.01938,0.0045,0.0066,0.002,0.0004,0.16613
real,30/0.4 all_ankles,left,pitch,swing,474,4.74,1.899,0.08669,2.11,0.06526,1.688,0.05177,0.1462,0.0294,0.0027,0.0003,0.16152,1.899,0.02341,2.11,0.02321,1.688,0.01304,0.0056,0.0036,0.0026,0.0006,0.07966,1.899,0.1012,2.11,0.08154,1.688,0.06113,0.1193,0.0187,0.0068,0.0012,0.19819
real,30/0.4 all_ankles,left,pitch,stance,1941,19.41,0.515,0.00052,0.567,0.00046,0.618,0.0004,0.0011,0.0007,0.0005,0.0003,0.06708,1.443,0.0237,4.276,0.02104,2.834,0.021,0.0044,0.0083,0.0025,0.0006,0.08602,1.443,0.0239,2.834,0.02113,4.276,0.02101,0.0035,0.0064,0.0019,0.0004,0.12155
real,30/0.4 all_ankles,left,roll,all,2415,24.15,2.857,0.00541,2.816,0.00511,2.899,0.00507,0.0043,0.0022,0.0001,0.0,0.12761,1.449,0.0711,1.408,0.06196,1.491,0.04788,0.0073,0.025,0.0036,0.0006,0.25579,1.449,0.07388,1.408,0.06155,1.491,0.04585,0.0017,0.0065,0.0009,0.0001,0.34598
real,30/0.4 all_ankles,left,roll,swing,474,4.74,3.798,0.03938,4.009,0.03495,3.376,0.02734,0.39,0.2734,0.0219,0.004,0.11945,1.899,0.11231,2.11,0.08079,1.688,0.06491,0.1819,0.0345,0.0165,0.0043,0.21039,1.899,0.09892,2.11,0.06599,1.688,0.0592,0.2034,0.0429,0.0205,0.0068,0.20902
real,30/0.4 all_ankles,left,roll,stance,1941,19.41,0.515,0.00088,0.567,0.00078,0.618,0.0007,0.0,0.0,0.0,0.0,0.08174,1.443,0.09296,1.391,0.06953,1.494,0.0337,0.0027,0.0198,0.0026,0.0003,0.21813,1.443,0.09327,1.391,0.0692,1.494,0.03351,0.0007,0.0051,0.0007,0.0001,0.27325
real,30/0.4 all_ankles,right,pitch,all,2415,24.15,1.408,0.00975,1.449,0.00941,1.367,0.00882,0.0628,0.0075,0.0007,0.0,0.10713,1.449,0.03276,2.857,0.02773,1.408,0.02739,0.019,0.0231,0.0079,0.0012,0.10737,1.449,0.04155,2.857,0.03281,5.715,0.02208,0.0535,0.048,0.0156,0.0023,0.1571
real,30/0.4 all_ankles,right,pitch,swing,2255,22.55,1.996,0.00556,2.04,0.00554,2.084,0.00532,0.0403,0.0041,0.0004,0.0,0.10026,1.419,0.031,2.838,0.02781,1.463,0.02639,0.0195,0.0236,0.0074,0.0008,0.10311,1.419,0.02813,1.463,0.02703,2.838,0.02631,0.0487,0.0485,0.0149,0.0017,0.1456
real,30/0.4 all_ankles,right,pitch,stance,160,1.6,2.5,0.05594,7.5,0.05531,6.875,0.05033,0.1533,0.2365,0.1267,0.1007,0.17768,0.625,0.13252,2.5,0.07405,1.875,0.05535,0.0714,0.0155,0.0129,0.0037,0.15151,0.625,0.13223,2.5,0.12996,1.875,0.08006,0.1956,0.0723,0.0405,0.0363,0.26963
