dataset,case_label,axis,phase,n_joints,total_duration_sec,pos_peak1_hz_med,pos_peak2_hz_med,pos_energy_2-4Hz_med,pos_energy_4-8Hz_med,pos_energy_8-15Hz_med,pos_energy_15-20Hz_med,pos_osc_rad_med,err_peak1_hz_med,err_peak2_hz_med,err_energy_2-4Hz_med,err_energy_4-8Hz_med,err_energy_8-15Hz_med,err_energy_15-20Hz_med,err_osc_rad_med
real,25/0.4 all_ankles,pitch,all,2,28.38,1.02,1.09,0.059,0.018,0.002,0.0,0.1283,2.11,2.11,0.257,0.087,0.032,0.007,0.3214
real,25/0.4 all_ankles,pitch,swing,2,16.79,1.23,1.63,0.08,0.017,0.004,0.0,0.1468,1.58,2.38,0.256,0.065,0.039,0.007,0.3151
real,25/0.4 all_ankles,pitch,stance,2,11.59,2.57,2.08,0.041,0.027,0.026,0.004,0.1162,2.0,2.5,0.261,0.096,0.041,0.01,0.3012
real,25/0.4 all_ankles,roll,all,2,28.38,2.64,2.78,0.267,0.345,0.017,0.001,0.0749,1.41,1.41,0.171,0.085,0.014,0.003,0.264
real,25/0.4 all_ankles,roll,swing,2,16.79,5.06,4.92,0.089,0.467,0.029,0.002,0.0939,2.29,2.24,0.187,0.21,0.035,0.004,0.2459
real,25/0.4 all_ankles,roll,stance,2,11.59,2.06,2.19,0.118,0.124,0.04,0.019,0.0591,2.68,2.19,0.288,0.065,0.031,0.007,0.2217
real,30/0.4 all_ankles,pitch,all,2,48.3,1.41,1.45,0.062,0.007,0.001,0.0,0.1131,1.45,2.13,0.029,0.027,0.009,0.001,0.1616
real,30/0.4 all_ankles,pitch,swing,2,27.29,1.95,2.08,0.093,0.017,0.002,0.0,0.1309,1.66,1.79,0.084,0.034,0.011,0.001,0.1719
real,30/0.4 all_ankles,pitch,stance,2,21.01,1.51,4.03,0.077,0.119,0.064,0.05,0.1224,1.03,2.67,0.1,0.039,0.021,0.018,0.1956
real,30/0.4 all_ankles,roll,all,2,48.3,3.46,3.42,0.014,0.046,0.001,0.0,0.1011,1.45,1.41,0.033,0.059,0.007,0.001,0.2708
real,30/0.4 all_ankles,roll,swing,2,27.29,4.09,4.22,0.198,0.161,0.011,0.002,0.096,1.66,1.79,0.132,0.075,0.017,0.004,0.203
real,30/0.4 all_ankles,roll,stance,2,21.01,0.57,1.53,0.06,0.073,0.029,0.027,0.0688,2.91,2.57,0.068,0.128,0.024,0.017,0.222
real,35/0.5 all_ankles,pitch,all,2,44.12,1.34,1.34,0.122,0.076,0.024,0.007,0.0681,2.86,2.88,0.151,0.144,0.017,0.002,0.3184
real,35/0.5 all_ankles,pitch,swing,2,22.810000000000002,2.67,3.01,0.191,0.075,0.029,0.009,0.1103,2.46,2.7,0.134,0.143,0.038,0.015,0.2975
real,35/0.5 all_ankles,pitch,stance,2,21.31,2.01,1.38,0.202,0.048,0.075,0.036,0.0935,2.04,2.62,0.27,0.137,0.04,0.01,0.3144
real,35/0.5 all_ankles,roll,all,2,44.12,3.13,3.17,0.156,0.119,0.029,0.005,0.0411,2.13,1.43,0.132,0.108,0.026,0.001,0.2136
real,35/0.5 all_ankles,roll,swing,2,22.810000000000002,3.82,2.58,0.148,0.125,0.03,0.008,0.0674,3.87,3.58,0.102,0.24,0.069,0.019,0.1765
real,35/0.5 all_ankles,roll,stance,2,21.31,4.68,5.26,0.081,0.065,0.114,0.077,0.0631,2.52,4.56,0.244,0.178,0.079,0.033,0.24
real,40/0.8 all_ankles,pitch,all,2,18.6,1.51,1.24,0.076,0.007,0.001,0.0,0.1195,1.72,1.08,0.11,0.103,0.016,0.003,0.2214
real,40/0.8 all_ankles,pitch,swing,2,10.59,2.01,1.86,0.062,0.02,0.001,0.0,0.109,1.58,2.16,0.179,0.22,0.033,0.006,0.2031
real,40/0.8 all_ankles,pitch,stance,2,8.01,0.76,3.22,0.022,0.061,0.005,0.01,0.1216,0.76,2.74,0.005,0.163,0.022,0.019,0.2413
real,40/0.8 all_ankles,roll,all,2,18.6,3.17,3.28,0.084,0.338,0.007,0.001,0.0973,1.4,1.51,0.143,0.262,0.015,0.002,0.2015
real,40/0.8 all_ankles,roll,swing,2,10.59,3.05,5.12,0.098,0.228,0.185,0.017,0.1373,5.0,2.8,0.153,0.19,0.131,0.012,0.2366
real,40/0.8 all_ankles,roll,stance,2,8.01,6.22,6.76,0.128,0.081,0.049,0.008,0.0864,1.19,2.7,0.168,0.125,0.065,0.013,0.1804
sim,2504,pitch,all,2,29.76,1.41,1.48,0.003,0.003,0.001,0.0,0.0694,1.41,2.19,0.173,0.075,0.028,0.005,0.2377
sim,2504,pitch,swing,2,15.75,2.6,2.61,0.031,0.003,0.001,0.0,0.069,2.6,2.61,0.33,0.136,0.033,0.013,0.2491
sim,2504,pitch,stance,2,14.01,3.14,4.81,0.014,0.004,0.003,0.001,0.0693,3.14,4.81,0.218,0.173,0.123,0.034,0.2129
sim,2504,roll,all,2,29.76,2.15,2.15,0.279,0.117,0.044,0.004,0.0259,1.41,1.48,0.034,0.027,0.014,0.006,0.1699
sim,2504,roll,swing,2,15.75,2.6,2.61,0.293,0.203,0.061,0.029,0.027,2.6,2.61,0.332,0.045,0.016,0.013,0.1729
sim,2504,roll,stance,2,14.01,4.74,4.89,0.414,0.166,0.201,0.067,0.0225,3.14,3.14,0.271,0.1,0.035,0.017,0.1599
sim,3505,pitch,all,2,31.08,1.42,1.48,0.005,0.003,0.001,0.0,0.0658,1.42,2.16,0.198,0.098,0.032,0.004,0.2313
sim,3505,pitch,swing,2,19.2,2.33,2.44,0.024,0.003,0.002,0.0,0.0675,2.33,2.44,0.172,0.103,0.063,0.022,0.2309
sim,3505,pitch,stance,2,11.879999999999999,10.4,2.45,0.011,0.002,0.002,0.001,0.0627,4.57,4.52,0.083,0.162,0.143,0.078,0.2357
sim,3505,roll,all,2,31.08,1.42,1.48,0.089,0.085,0.031,0.006,0.0499,1.42,1.48,0.069,0.058,0.027,0.006,0.1367
sim,3505,roll,swing,2,19.2,2.34,2.44,0.358,0.041,0.073,0.013,0.0518,2.34,2.44,0.216,0.117,0.025,0.005,0.1403
sim,3505,roll,stance,2,11.879999999999999,4.57,4.52,0.171,0.203,0.124,0.068,0.0421,2.39,4.76,0.132,0.123,0.089,0.068,0.1104
sim,4005,pitch,all,2,36.82,1.41,1.47,0.006,0.003,0.001,0.0,0.0646,1.41,2.17,0.194,0.113,0.038,0.004,0.2271
sim,4005,pitch,swing,2,25.09,2.11,2.09,0.024,0.004,0.001,0.001,0.0671,2.11,2.09,0.207,0.119,0.059,0.02,0.2223
sim,4005,pitch,stance,2,11.73,2.63,8.87,0.01,0.002,0.002,0.001,0.0581,6.05,5.72,0.069,0.058,0.157,0.11,0.2347
sim,4005,roll,all,2,36.82,1.41,1.47,0.097,0.097,0.023,0.004,0.0596,1.41,1.47,0.075,0.06,0.032,0.005,0.1258
sim,4005,roll,swing,2,25.09,2.11,2.09,0.306,0.082,0.021,0.008,0.0636,2.11,3.4,0.213,0.115,0.028,0.012,0.1234
sim,4005,roll,stance,2,11.73,6.05,5.72,0.079,0.119,0.155,0.105,0.044,2.63,2.43,0.149,0.105,0.115,0.064,0.1036
sim,5008,pitch,all,2,37.38,1.45,1.39,0.006,0.002,0.001,0.0,0.0641,1.45,2.12,0.187,0.14,0.044,0.006,0.2233
sim,5008,pitch,swing,2,23.5,2.33,2.31,0.028,0.002,0.002,0.001,0.068,2.33,3.22,0.239,0.116,0.099,0.016,0.2217
sim,5008,pitch,stance,2,13.88,4.43,4.27,0.009,0.007,0.002,0.001,0.0582,4.43,5.85,0.052,0.137,0.166,0.081,0.222
sim,5008,roll,all,2,37.38,1.45,1.39,0.099,0.079,0.013,0.003,0.0744,1.45,1.39,0.091,0.079,0.043,0.008,0.1137
sim,5008,roll,swing,2,23.5,2.33,2.31,0.283,0.105,0.063,0.02,0.0757,2.33,2.31,0.2,0.18,0.082,0.027,0.1035
sim,5008,roll,stance,2,13.88,4.33,5.95,0.111,0.264,0.054,0.016,0.0686,4.43,4.27,0.138,0.166,0.1,0.014,0.1077
