step_index,window,step_start_s,step_end_s,joint,side,axis,sample_count,lag_ms,corr,aligned_tracking_err_rms_rad,target_range_rad,joint_range_rad,amplitude_gain,target_vel_rms_radps,joint_vel_rms_radps,velocity_self_excitation_ratio,target_direction_change_rate_hz,joint_direction_change_rate_hz,target_dominant_freq_hz,joint_dominant_freq_hz,error_dominant_freq_hz,joint_lock_flag
1,full_step,0.0,0.55,left_ankle_pitch_joint,left,pitch,48,80.02939200000014,0.2925938205941215,0.1403923714468363,0.4362972,0.16077200000000003,0.3684919362306245,5.38875590427714,0.7684656343624594,0.14260538944666545,19.197862248926278,8.532383221745013,4.166786943019223,2.0833934715096114,2.0833934715096114,0
1,full_step,0.0,0.55,left_ankle_roll_joint,left,roll,46,100.03674000000018,0.6356589315170272,0.09063444095697074,0.44955199999999995,0.2313233,0.5145640548813041,2.596545132428284,2.0428257332923243,0.7867476316045688,8.911950978173845,6.683963233630384,2.173975796357855,2.173975796357855,2.173975796357855,0
1,full_step,0.0,0.55,right_ankle_pitch_joint,right,pitch,51,50.01837000000009,0.31523969194045875,0.21871002963092212,0.594347,0.129053,0.21713409843071474,6.45005614386669,0.5491552192437609,0.08513960297321574,7.015724399221771,6.013478056475804,1.9608409143619872,1.9608409143619872,1.9608409143619872,0
1,full_step,0.0,0.55,right_ankle_roll_joint,right,roll,52,40.01469600000007,0.5522114694294094,0.2298721467794895,0.6032669,0.09453218000000001,0.15670042563250197,3.3627814219083736,0.6708826966505846,0.1995023203946035,13.754316600687144,14.736767786450512,1.923132435239641,1.923132435239641,1.923132435239641,0
1,swing_approx,0.0,0.55,left_ankle_pitch_joint,left,pitch,25,80.01033200000008,0.5853031031442338,0.09785642632117117,0.3186925,0.15871500000000002,0.4980192505314685,5.7246264791855745,1.046957876028492,0.18288667039415987,10.416587674210136,4.166635069684054,4.000115465298453,4.000115465298453,4.000115465298453,0
1,swing_approx,0.0,0.55,left_ankle_roll_joint,left,roll,23,100.01291500000009,0.7160758162843497,0.09339467023315483,0.339971,0.2312607,0.6802365495880531,2.7211274844080693,2.7574107409649105,1.013333905436163,6.815465731170388,4.543643820780258,4.34795159271571,4.34795159271571,4.34795159271571,0
1,swing_approx,0.0,0.55,right_ankle_pitch_joint,right,pitch,27,60.007749000000054,0.5172831460641362,0.23699062020787828,0.594347,0.12699400000000002,0.2136697922257537,6.86903911609711,0.6994106841325587,0.10182074556738788,1.9233098358980505,5.769929507694151,3.7038106160170865,3.7038106160170865,3.7038106160170865,0
1,swing_approx,0.0,0.55,right_ankle_roll_joint,right,roll,29,40.00516600000004,0.726970707772339,0.28652314834289555,0.6032669,0.09453218000000001,0.15670042563250197,4.027898215418422,0.6555406345894568,0.1627500496611627,5.355628323707401,12.496466088650603,3.4483754011193564,3.4483754011193564,3.4483754011193564,0
1,touchdown_approx,0.0,0.55,left_ankle_pitch_joint,left,pitch,11,40.004646000000086,0.565323283471712,0.5585623636067051,0.16706999999999997,0.024841000000000002,0.14868617944574133,6.171186037426714,0.3570324503040395,0.057854754035727686,9.990766932831358,4.995383466415679,9.09117151204194,9.09117151204194,9.09117151204194,0
1,touchdown_approx,0.0,0.55,left_ankle_roll_joint,left,roll,10,50.00580750000011,0.9172925514454686,0.366060376626179,0.374267,0.05297199999999999,0.14153532104086117,4.6619697542975995,0.8792572872146761,0.18860210030409139,0.0,5.548683018420973,10.000288663246135,10.000288663246135,10.000288663246135,0
