timestamp_ns,phase_sin,phase_cos,cmd_linear_x,cmd_linear_y,cmd_angular_z,left_contact,right_contact,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint
1779267013041424525,0,1,0,0,0,1,1,0.00944003,0.036394,-0.135027,-0.000253719,0.000280806,-0.000215984,-0.634734,0.405457,0.00306892,-1.3431,0.082633,0.404705,nan,nan,0,0.373082,0.0441985,-0.00306892,2.02686,0.236541,0.0446466,nan,nan,0,0.129385,-0.299227,0.00306892,-3.24786,-0.245308,-0.299101,nan,nan,0,-0.460858,0.512261,0.00306892,-6.61783,0.259571,0.511673,nan,nan,0,0.245681,-0.212369,-1.02636e-06,3.14149,-0.0871596,nan,2.50419,0.00583342,1,0.107591,0.00356092,-0.00317075,-1.93915,0.0537953,nan,1.75979,0.00409936,1,0.663375,-0.404881,0.00306892,1.3431,-0.0683124,-0.404097,nan,nan,0,-0.124576,-0.054553,0.00306892,1.3431,-0.112288,-0.0546875,nan,nan,0,0.0505793,0.295392,0.00306892,4.51771,0.33529,0.295485,nan,nan,0,-0.456434,0.520507,-0.00306892,-9.25519,0.261783,0.519904,nan,nan,0,0.671985,-0.210215,-0.00192963,1.82491,0.125993,nan,6.72511,0.0156659,1,0.0214464,-0.0020921,-0.00633455,1.98749,0.0107232,nan,0.451703,0.00105222,1
1779267013050460074,0,1,0,0,0,1,1,0.00942045,0.0363887,-0.135021,-0.00349792,-0.000812311,0.000324893,-0.442394,0.405457,-0.00306892,-1.24542,0.178803,0.300071,nan,nan,0,0.497715,0.0440063,-0.00306892,1.3431,0.298857,0.107267,nan,nan,0,0.0782077,-0.299035,0.0398932,-1.24542,-0.270896,-0.281647,nan,nan,0,-0.615395,0.512261,0.00920582,-3.49207,0.182303,0.429416,nan,nan,0,0.166743,-0.212369,-0.00386542,1.3572,-0.126628,nan,1.71675,0.817357,1,0.0820001,0.00356092,0.00316689,-0.567696,0.0410001,nan,1.30879,0.574617,1,0.454958,-0.404881,0.00306892,1.19658,-0.172521,-0.295018,nan,nan,0,-0.196272,-0.054553,-0.00306892,0.65934,-0.148136,-0.0735241,nan,nan,0,-0.0277966,0.295392,-0.0398932,1.68498,0.296102,0.308353,nan,nan,0,-0.572668,0.520507,0.00306892,-4.27351,0.203666,0.435732,nan,nan,0,0.599349,-0.210215,-0.00385881,0.582446,0.0896747,nan,5.99971,2.19807,1,0.0692383,-0.00229049,-0.0158375,0.66249,0.0346191,nan,1.29976,0.14916,1
1779267013060258705,0,1,0,0,0,1,1,0.00941981,0.0363705,-0.135013,-0.00093712,-0.00259286,0.00227722,-0.336504,0.405457,-0.00306892,-4.12698,0.231748,0.198684,nan,nan,0,0.394012,0.0440063,0.00306892,2.5641,0.247006,0.20648,nan,nan,0,0.0914778,-0.297118,0.248566,-0.757019,-0.264261,-0.267771,nan,nan,0,-0.707741,0.512453,0.0276184,-7.39927,0.13613,0.300302,nan,nan,0,0.301486,-0.212367,-0.125561,1.27917,-0.0592571,nan,3.12497,1.60231,1,0.098405,0.00356092,0.221782,0.141308,0.0492025,nan,1.48656,1.13879,1,0.565095,-0.404689,0.0153437,5.05495,-0.117452,-0.190338,nan,nan,0,-0.323015,-0.0547447,-0.00306892,-0.0244217,-0.211507,-0.109057,nan,nan,0,-0.0425657,0.292899,-0.291528,2.36874,0.288717,0.312013,nan,nan,0,-0.463941,0.521082,0.0705805,-8.22955,0.258029,0.310592,nan,nan,0,0.825144,-0.212294,-0.0540449,2.21052,0.202572,nan,8.32433,4.73827,1,0.0352592,-0.00629173,-0.18062,0.426448,0.0176296,nan,0.927556,0.621872,1
1779267013070395457,0,1,0,0,0,1,1,0.00942789,0.0363011,-0.135047,0.00674224,-0.0269365,-0.000644061,-0.330569,0.404689,-0.101268,-7.74115,0.234715,0.181427,nan,nan,0,0.519991,0.0441985,0.0153437,6.27595,0.309996,0.259505,nan,nan,0,0.121405,-0.294433,0.248566,-0.65934,-0.249297,-0.263742,nan,nan,0,-0.687422,0.51207,-0.0828552,-16.4347,0.146289,0.195625,nan,nan,0,0.353138,-0.214435,-0.0963982,1.54862,-0.0334309,nan,3.66828,2.33084,1,0.100323,0.00914992,0.440656,0.873277,0.0501616,nan,1.21508,1.34854,1,0.644986,-0.403923,0.125817,8.96215,-0.0775072,-0.138051,nan,nan,0,-0.281751,-0.0547447,-0.00920582,-1.78266,-0.190875,-0.157569,nan,nan,0,-0.0448215,0.290406,-0.205604,2.02686,0.287589,0.302644,nan,nan,0,-0.396652,0.521466,-0.0337563,-16.4347,0.291674,0.245118,nan,nan,0,1.04749,-0.212291,0.112201,4.26585,0.313744,nan,10.4646,6.7407,1,0.0586677,-0.00886565,-0.199855,0.734944,0.0293338,nan,1.43691,0.980173,1
1779267013080250264,0,1,0,0,0,1,1,0.00955895,0.035422,-0.135076,0.00976843,-0.0948507,-0.00887057,-0.352046,0.402772,-0.23629,-6.61783,0.223977,0.203007,nan,nan,0,0.503967,0.0443902,0.0521679,7.59463,0.301984,0.286719,nan,nan,0,0.202343,-0.292515,0.181053,-0.170937,-0.208829,-0.258054,nan,nan,0,-0.686567,0.510152,-0.26084,-21.514,0.146716,0.144084,nan,nan,0,0.291926,-0.21442,0.0198084,1.93463,-0.0640369,nan,2.99776,3.0762,1,0.103014,0.0135091,0.542364,1.29784,0.0515071,nan,1.05875,1.31789,1,0.536939,-0.402005,0.26084,9.20635,-0.13153,-0.102284,nan,nan,0,-0.344864,-0.0551286,-0.046031,-2.51526,-0.222432,-0.189363,nan,nan,0,-0.121279,0.288872,-0.174916,1.3431,0.24936,0.293033,nan,nan,0,-0.309193,0.520123,-0.199466,-18.0464,0.335404,0.246604,nan,nan,0,1.11542,-0.210213,0.322826,6.2492,0.347711,nan,10.9971,8.67832,1,0.0712424,-0.0113966,-0.266693,1.13918,0.0356212,nan,1.77897,1.22272,1
1779267013090329747,-0.630772,0.775968,0.8,0,0,1,0,0.0096311,0.0339929,-0.135337,-0.00446755,-0.0863629,-0.0439866,-0.364214,0.399129,-0.377452,-5.73871,0.217893,0.220404,nan,nan,0,0.81973,0.045157,0.0705805,9.59707,0.459865,0.302594,nan,nan,0,0.366213,-0.290214,0.23629,-0.122101,-0.126893,-0.238988,nan,nan,0,-0.658015,0.505359,-0.5002,-23.956,0.160993,0.132799,nan,nan,0,-0.204246,-0.214404,0.238631,2.70781,-0.312123,nan,-2.07371,3.29778,1,0.183236,0.0230205,0.641587,1.48493,0.0916181,nan,2.08012,1.15189,1,0.477475,-0.397787,0.4511,9.54823,-0.161263,-0.0989952,nan,nan,0,-0.477043,-0.056087,-0.09513,-3.7851,-0.288522,-0.208271,nan,nan,0,-0.269672,0.287147,-0.131955,1.14774,0.175164,0.275394,nan,nan,0,-0.437092,0.517056,-0.371314,-17.8022,0.271454,0.283294,nan,nan,0,0.582024,-0.203965,0.62763,8.07911,0.0810121,nan,5.38572,10.1338,1,0.0459543,-0.0160112,-0.552001,1.49702,0.0229772,nan,1.64059,1.5027,1
1779267013100243549,-0.538847,0.842404,0.8,0,0,1,0,0.00981469,0.0328567,-0.135685,0.0289168,-0.028522,-0.0258426,-0.4333,0.395294,-0.4511,-4.90842,0.18335,0.224342,nan,nan,0,0.885484,0.0459242,0.0889931,10.525,0.492742,0.357607,nan,nan,0,0.398,-0.287913,0.309939,-0.122101,-0.111,-0.192761,nan,nan,0,-0.627596,0.499414,-0.71501,-23.4188,0.176202,0.141603,nan,nan,0,-0.500756,-0.21021,0.433606,2.63246,-0.460378,nan,-5.22016,1.50866,1,0.151644,0.0270849,0.59439,1.34385,0.075822,nan,1.4086,1.35401,1,0.553783,-0.392801,0.598398,8.52259,-0.123109,-0.123841,nan,nan,0,-0.479744,-0.0572376,-0.14423,-5.29915,-0.289872,-0.241372,nan,nan,0,-0.267504,0.285613,-0.187191,0.757019,0.176248,0.234109,nan,nan,0,-0.486909,0.512836,-0.481788,-15.116,0.246545,0.297081,nan,nan,0,0.337573,-0.195616,0.884938,9.10498,-0.0412135,nan,2.64559,9.02727,1,-0.00219,-0.0181973,-0.804474,1.83249,-0.001095,nan,1.00082,1.69794,1
1779267013110247263,-0.43924,0.89837,0.8,0,0,1,0,0.0102622,0.0323298,-0.136017,0.0501409,0.000693681,-0.0403053,-0.519749,0.390116,-0.537024,-3.73627,0.140126,0.210776,nan,nan,0,0.721935,0.0466909,0.0767183,13.0159,0.410967,0.431983,nan,nan,0,0.473317,-0.28312,0.537024,0.0244217,-0.0733414,-0.143735,nan,nan,0,-0.606475,0.491553,-0.929819,-23.0769,0.186762,0.158291,nan,nan,0,-0.638817,-0.203924,0.453982,1.8194,-0.529409,nan,-6.73668,-1.76406,1,0.153664,0.0285206,0.381636,1.55966,0.0768319,nan,1.50008,1.53504,1,0.667425,-0.385898,0.708872,7.69231,-0.0662873,-0.135814,nan,nan,0,-0.449629,-0.0587716,-0.156505,-6.71551,-0.274815,-0.273108,nan,nan,0,-0.244149,0.282736,-0.328352,0.317459,0.187926,0.195342,nan,nan,0,-0.475904,0.507468,-0.586123,-13.0647,0.252048,0.279694,nan,nan,0,0.144193,-0.185155,1.02332,9.31984,-0.137904,nan,0.433369,6.00509,1,-0.021516,-0.0288006,-0.919781,1.47972,-0.010758,nan,1.09138,1.61157,1
1779267013120277494,-0.333875,0.942618,0.8,0,0,1,0,0.0107434,0.0328264,-0.136412,0.0389336,0.0426158,-0.0409828,-0.526227,0.384172,-0.64136,-3.49207,0.136887,0.179863,nan,nan,0,0.643834,0.0472665,0.0583057,16.8254,0.371917,0.45338,nan,nan,0,0.43008,-0.277367,0.579986,1.24542,-0.09496,-0.103439,nan,nan,0,-0.536799,0.479856,-1.11394,-19.9512,0.221601,0.174712,nan,nan,0,-0.73807,-0.20184,0.220113,-1.17084,-0.579035,nan,-7.65396,-4.76783,1,0.169945,0.0322292,0.155936,1.39848,0.0849725,nan,1.76805,1.52549,1,0.663185,-0.378419,0.782521,9.20635,-0.0684073,-0.113972,nan,nan,0,-0.528782,-0.0604973,-0.14423,-9.15751,-0.314391,-0.284301,nan,nan,0,-0.268879,0.278518,-0.444963,0.0244217,0.17556,0.180252,nan,nan,0,-0.448391,0.500565,-0.721148,-14.0904,0.265804,0.260921,nan,nan,0,0.17204,-0.178898,0.645104,7.22293,-0.12398,nan,0.775806,2.86393,1,-0.0445512,-0.0363204,-0.262392,0.479483,-0.0222756,nan,0.622763,1.40031,1
1779267013130246803,-0.224368,0.974505,0.8,0,0,1,1,0.0107414,0.0341728,-0.136912,-0.0190916,0.0648334,-0.0490876,-0.484388,0.376694,-0.782521,-3.39439,0.157806,0.151718,nan,nan,0,0.526224,0.0476499,0.00920582,16.6789,0.313112,0.424808,nan,nan,0,0.370096,-0.271423,0.579986,2.27106,-0.124952,-0.0858779,nan,nan,0,-0.518488,0.468159,-1.16918,-20.3907,0.230756,0.196015,nan,nan,0,-0.844314,-0.201827,-0.105878,-3.46426,-0.632157,nan,-8.55366,-6.74164,1,0.203745,0.0332183,0.138848,1.61505,0.101872,nan,2.33347,1.58057,1,0.61889,-0.370366,0.800934,8.66911,-0.0905551,-0.085858,nan,nan,0,-0.657493,-0.0612645,-0.0644426,-10.4762,-0.378747,-0.29537,nan,nan,0,-0.290535,0.273916,-0.457238,-0.268623,0.164733,0.176318,nan,nan,0,-0.423029,0.491169,-0.942094,-12.7717,0.278486,0.256477,nan,nan,0,0.112847,-0.176848,0.130327,4.7652,-0.153576,nan,0.400261,1.03142,1,-0.112482,-0.0344929,0.374591,0.644501,-0.0562408,nan,-0.948471,0.987598,1
